,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.12342137098312378,90,DC,Augsburg,Greuther Fuerth,2,1,2022-05-14,17814,2021,535475,0,0,0,0,0.12342137098312378,0.052380017936229706,0.052380017936229706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,RasenBallsport Leipzig,Augsburg,4,0,2022-05-08,17811,2021,533981,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.46462956070899963,90,DC,Augsburg,FC Cologne,1,4,2022-04-30,17796,2021,530352,0,0,0,0,0.46462956070899963,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.057297784835100174,90,DC,Bochum,Augsburg,0,2,2022-04-24,17787,2021,529491,0,0,0,0,0.057297784835100174,0.11438718438148499,0.11438718438148499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,87,DC,Augsburg,Hertha Berlin,0,1,2022-04-16,17778,2021,526340,0,0,0,0,0,0.046040698885917664,0.046040698885917664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DC,Bayern Munich,Augsburg,1,0,2022-04-09,17776,2021,524468,0,0,0,0,0,0.13588735461235046,0.13588735461235046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Augsburg,Mainz 05,2,1,2022-04-06,17742,2021,524100,0,0,0,0,0,0.10843659937381744,0.10843659937381744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.06286855787038803,90,DC,Augsburg,Wolfsburg,3,0,2022-04-03,17760,2021,523493,1.470973253250122,1,2,0,0.06286855787038803,0.03200560063123703,0.03200560063123703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,VfB Stuttgart,Augsburg,3,2,2022-03-19,17755,2021,521154,0,0,0,0,0,0.4574407935142517,0.4574407935142517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Arminia Bielefeld,Augsburg,0,1,2022-03-04,17734,2021,517145,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
