,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,20,Sub,Leicester,Southampton,4,1,2022-05-22,16752,2021,537866,0.5704619884490967,1,1,0,0,1.2191952466964722,1.2191952466964722,1.0,0.0,17.0,0.0,0.0,207.0,377.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,20.0,16.0,0.0,0.0,0.0,0.0,38.0,0.0,139098.0,1.0,4.0,0.0,4.0,-1213.0,509.0,1722.0,52.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.03322218731045723,90,DR,Everton,Leicester,1,1,2022-04-20,16547,2021,527872,0,0,0,0,0.03322218731045723,0.19195279479026794,0.15873059630393982,0.0,0.0,9.0,0.0,2.6,207.0,172.0,1.0,0.0,1.5,4.6,2022-04-20T18:45:00Z,90.0,8.0,0.0,0.0,0.0,0.0,33.0,0.0,152962.0,1.0,1.0,8.0,2.0,3974.0,7085.0,3111.0,52.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,62,DR,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520346,0,0,0,0,0,0,0,0.0,0.0,13.0,0.0,1.9,207.0,281.0,2.0,0.0,1.0,5.6,2022-03-13T16:30:00Z,60.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,133028.0,0.0,2.0,2.0,1.0,-2241.0,107.0,2348.0,52.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,0.10681135207414627,48,DR,Burnley,Leicester,0,2,2022-03-01,16588,2021,517081,0.030092306435108185,0,1,0,0.10681135207414627,0.09879936277866364,0.06870704889297485,0.0,0.0,8.0,0.0,11.6,207.0,213.0,0.0,0.0,4.0,8.4,2022-03-01T19:45:00Z,45.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,142124.0,2.0,0.0,20.0,1.0,3968.0,5029.0,1061.0,52.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.05296166241168976,90,DR,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514970,0.01737760752439499,0,1,0,0.05296166241168976,0.21834944188594818,0.18893307447433472,0.0,0.0,11.0,0.0,15.8,207.0,260.0,2.0,0.0,6.0,24.8,2022-02-20T16:30:00Z,90.0,20.0,0.0,0.0,0.0,0.0,26.0,0.0,133684.0,1.0,2.0,19.0,0.0,1412.0,2209.0,797.0,52.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,0.1445433795452118,90,DR,Leicester,West Ham,2,2,2022-02-13,16620,2021,513483,0.0419502928853035,0,1,1,0.1445433795452118,0.35054123401641846,0.3048170208930969,0.0,0.0,23.0,0.0,12.7,207.0,245.0,2.0,1.0,10.6,56.4,2022-02-13T16:30:00Z,90.0,19.0,0.0,0.0,0.0,0.0,25.0,0.0,131985.0,2.0,2.0,37.0,6.0,20.0,399.0,379.0,52.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DR,Leeds,Leicester,1,1,2021-11-07,16482,2021,494627,0,0,0,0,0,0.184880793094635,0.184880793094635,0.0,0.0,14.0,0.0,0.4,207.0,107.0,1.0,0.0,2.4,23.8,2021-11-07T14:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,203608.0,1.0,1.0,0.0,2.0,-29239.0,181.0,29420.0,54.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,MR,Brentford,Leicester,1,2,2021-10-24,16457,2021,490462,0.02739901654422283,0,1,0,0,0.0669453889131546,0.03954637423157692,0.0,0.0,16.0,0.0,12.8,207.0,82.0,1.0,0.0,3.9,24.0,2021-10-24T13:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,253004.0,2.0,1.0,2.0,2.0,-5602.0,7732.0,13334.0,54.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0.17049098014831543,90,MR,Leicester,Manchester United,4,2,2021-10-16,16450,2021,488103,0,0,0,0,0.17049098014831543,0.7513295412063599,0.5808385610580444,0.0,0.0,13.0,0.0,2.1,207.0,75.0,2.0,0.0,3.2,12.2,2021-10-16T14:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,8.0,0.0,256420.0,2.0,4.0,18.0,1.0,-34320.0,3783.0,38103.0,54.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,50,DR,Leicester,Burnley,2,2,2021-09-25,16430,2021,484672,0.15550249814987183,0,1,0,0,0.6955374479293823,0.6955374479293823,0.0,0.0,7.0,0.0,12.8,207.0,57.0,2.0,0.0,2.2,6.8,2021-09-25T14:00:00Z,45.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,320118.0,2.0,2.0,2.0,0.0,11581.0,36537.0,24956.0,55.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
