,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.045966535806655884,17,Sub,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456358,0,0,0,0,0.045966535806655884,0,0,0.0,,,,0.0,2.0,0.0,,,1.1,,,428.0,,,270.0,,0.0,0.0,1.0,,0.4,,2021-03-13T15:00:00Z,,,,19.0,,,6.0,0.0,,0.0,0.0,,0.0,28.0,0.0,5571.0,,,,0.0,1.0,8.0,1.0,-53.0,49.0,102.0,56.0,False,,0.0
1,0,1,0.05972662195563316,11,Sub,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454203,0,0,0,0,0.05972662195563316,0.10745570808649063,0.047729089856147766,0.0,,,,0.0,3.0,0.0,,,1.6,,,428.0,,,287.0,,0.0,0.0,2.4,,4.2,,2021-03-04T18:00:00Z,,,,12.0,,,7.0,0.0,,0.0,0.0,,0.0,26.0,0.0,5596.0,,,,1.0,0.0,18.0,1.0,-248.0,27.0,275.0,56.0,True,,0.0
2,0,1,0.03498733043670654,89,MR,West Bromwich Albion,Manchester United,1,1,2021-02-14,14673,2020,449643,0,0,0,0,0.03498733043670654,0.03498733043670654,0,0.0,,,,0.0,9.0,0.0,,,2.2,,,428.0,,,237.0,,1.0,0.0,3.4,,12.6,,2021-02-14T14:00:00Z,,,,86.0,,,13.0,0.0,,0.0,0.0,,0.0,24.0,0.0,5860.0,,,,1.0,1.0,19.0,1.0,-132.0,80.0,212.0,56.0,True,,1.0
3,0,0,0,81,MR,Tottenham,West Bromwich Albion,2,0,2021-02-07,14663,2020,448063,0.41563016176223755,0,1,0,0,0.41563016176223755,0,0.0,,,,0.0,14.0,0.0,,,19.8,,,428.0,,,227.0,,2.0,0.0,4.0,,18.4,,2021-02-07T12:00:00Z,,,,79.0,,,17.0,0.0,,0.0,0.0,,0.0,23.0,0.0,5928.0,,,,0.0,2.0,2.0,1.0,-192.0,69.0,261.0,56.0,False,,1.0
4,0,0,0,90,MC,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446732,0.035849180072546005,0,1,0,0,0.035849180072546005,0.035849180072546005,0.0,,,,0.0,10.0,0.0,,,11.8,,,428.0,,,214.0,,2.0,0.0,2.8,,14.6,,2021-02-02T18:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,22.0,0.0,6081.0,,,,1.0,2.0,2.0,2.0,-3.0,223.0,226.0,56.0,False,,0.0
5,0,0,0,90,AMC,West Bromwich Albion,Fulham,2,2,2021-01-30,14640,2020,445658,0,0,0,0,0,0.049963243305683136,0.049963243305683136,0.0,,,,0.0,12.0,0.0,,,1.8,,,428.0,,,207.0,,2.0,0.0,1.0,,8.6,,2021-01-30T15:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,21.0,0.0,6040.0,,,,2.0,2.0,0.0,2.0,-261.0,119.0,380.0,57.0,True,,0.0
6,0,0,0,62,MR,West Bromwich Albion,Manchester City,0,5,2021-01-26,14629,2020,445039,0.08855319023132324,0,1,0,0,0.08855319023132324,0,0.0,,,,0.0,4.0,0.0,,,15.2,,,428.0,,,193.0,,5.0,0.0,1.9,,2.2,,2021-01-26T20:15:00Z,,,,58.0,,,12.0,0.0,,0.0,0.0,,0.0,20.0,0.0,6281.0,,,,5.0,0.0,2.0,1.0,-46.0,405.0,451.0,57.0,True,,0.0
7,0,1,0.065686896443367,90,AMR,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442093,0,0,0,0,0.065686896443367,0.08239875733852386,0.01671186275780201,0.0,,,,0.0,13.0,0.0,,,1.7,,,428.0,,,188.0,,2.0,0.0,4.1,,15.2,,2021-01-16T12:30:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,19.0,0.0,6389.0,,,,3.0,2.0,24.0,2.0,606.0,842.0,236.0,57.0,False,,0.0
8,0,0,0,1,Sub,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435378,0,0,0,0,0,0.0160553976893425,0.0160553976893425,0.0,,,,0.0,3.0,0.0,,,0.5,,,428.0,,,125.0,,0.0,0.0,0.1,,0.2,,2020-12-16T20:00:00Z,,,,2.0,,,6.0,0.0,,0.0,0.0,,0.0,13.0,0.0,5547.0,,,,1.0,1.0,0.0,1.0,-42.0,83.0,125.0,57.0,True,,0.0
9,0,0,0,1,Sub,Leeds,West Ham,1,2,2020-12-11,14548,2020,432695,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,428.0,,,113.0,,0.0,0.0,0.0,,0.0,,2020-12-11T20:00:00Z,,,,1.0,,,10.0,0.0,,0.0,0.0,,0.0,12.0,0.0,5533.0,,,,2.0,1.0,0.0,1.0,-125.0,76.0,201.0,57.0,False,,0.0
10,0,0,0,1,Sub,Tottenham,West Ham,3,3,2020-10-18,14483,2020,422072,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,428.0,,,47.0,,0.0,0.0,0.0,,0.0,,2020-10-18T15:30:00Z,,,,1.0,,,17.0,0.0,,0.0,0.0,,0.0,5.0,0.0,6317.0,,,,3.0,3.0,0.0,1.0,-688.0,144.0,832.0,58.0,False,,0.0
11,0,0,0,1,Sub,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387779,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.1,,,393.0,,,281.0,,0.0,0.0,0.0,,0.2,,2020-03-07T15:00:00Z,,,,1.0,,,1.0,0.0,,0.0,0.0,,0.0,29.0,0.0,138651.0,,,,0.0,1.0,0.0,1.0,-4937.0,24397.0,29334.0,53.0,False,,0.0
12,0,0,0,9,Sub,West Ham,Southampton,3,1,2020-02-29,11922,2019,387518,0,0,0,0,0,0,0,0.0,,,,0.0,5.0,0.0,,,1.0,,,393.0,,,280.0,,0.0,0.0,0.5,,3.6,,2020-02-29T15:00:00Z,,,,12.0,,,16.0,0.0,,0.0,0.0,,0.0,28.0,0.0,164957.0,,,,1.0,3.0,0.0,1.0,56960.0,64383.0,7423.0,52.0,True,,0.0
13,0,0,0,85,AMR,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387393,0.019879702478647232,1,1,0,0,0.08711265027523041,0.08711265027523041,1.0,,,,0.0,20.0,0.0,,,18.9,,,393.0,,,266.0,,3.0,0.0,4.8,,25.0,,2020-02-24T20:00:00Z,,,,83.0,,,10.0,0.0,,0.0,0.0,,0.0,27.0,0.0,86045.0,,,,2.0,3.0,4.0,5.0,-2219.0,11048.0,13267.0,52.0,False,,0.0
14,0,0,0,81,FW,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387122,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,4.8,,,393.0,,,256.0,,2.0,0.0,0.8,,1.6,,2020-02-19T19:30:00Z,,,,79.0,,,11.0,0.0,,0.0,0.0,,0.0,26.0,0.0,87976.0,,,,0.0,2.0,2.0,2.0,13489.0,23867.0,10378.0,52.0,False,,0.0
15,2,3,0.14047300815582275,86,MR,West Ham,Brighton,3,3,2020-02-01,11892,2019,386639,0.4275749921798706,1,2,2,0.14047300815582275,0.24582499265670776,0.12299761176109314,1.0,,,,3.0,58.0,0.0,,,30.2,,,393.0,,,250.0,,3.0,2.0,14.9,,91.6,,2020-02-01T15:00:00Z,,,,84.0,,,4.0,0.0,,0.0,0.0,,0.0,25.0,0.0,72722.0,,,,3.0,3.0,27.0,18.0,-18301.0,2179.0,20480.0,52.0,True,,0.0
