,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,3,0.19136399030685425,71,FW,Lazio,Inter,3,1,2022-08-26,18603,2022,544085,0,0,0,0,0.19136399030685425,0.12346898019313812,0.0760410875082016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.4493870437145233,68,FW,Inter,Spezia,3,0,2022-08-20,18594,2022,542739,0.09741396456956863,1,2,0,0.4493870437145233,0.6711975932121277,0.12439655512571335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3,0.9111103415489197,90,FW,Lecce,Inter,1,2,2022-08-13,18585,2022,541031,0,0,0,1,0.9111103415489197,0.9360148906707764,0.02490454725921154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,0.15925216674804688,79,FW,Chelsea,Leicester,1,1,2022-05-19,16639,2021,536840,0.6113542318344116,0,2,0,0.15925216674804688,1.0828888416290283,0.3122824430465698,0.0,,,,0.0,5.0,0.0,,,21.8,,,529.0,,,264.0,,1.0,0.0,5.1,,0.0,,2022-05-19T19:00:00Z,,,,77.0,,,9.0,0.0,,0.0,0.0,,0.0,37.0,0.0,687025.0,,,,1.0,1.0,30.0,1.0,8704.0,12531.0,3827.0,114.0,True,,1.0
4,1,6,0.7123793959617615,90,FW,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534766,0.05450567603111267,0,1,1,0.7123793959617615,0.8361693024635315,0.06928423792123795,0.0,,,,0.0,25.0,1.0,,,17.8,,,529.0,,,323.0,,0.0,1.0,11.8,,34.2,,2022-05-11T18:30:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,36.0,0.0,675996.0,,,,3.0,0.0,66.0,6.0,-2433.0,1774.0,4207.0,114.0,False,,0.0
5,2,4,1.006075143814087,90,FW,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534264,0.18718664348125458,0,3,1,0.24490630626678467,0.43209293484687805,0,0.0,,,,3.0,52.0,0.0,,,35.4,,,529.0,,,355.0,,1.0,2.0,18.5,,76.2,,2022-05-07T14:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,36.0,0.0,675996.0,,,,2.0,2.0,73.0,13.0,-2433.0,1774.0,4207.0,114.0,True,,0.0
6,0,0,0,20,Sub,Manchester United,Chelsea,1,1,2022-04-28,16742,2021,530012,0,0,0,0,0,0.0366273857653141,0.0366273857653141,0.0,,,,0.0,2.0,0.0,,,1.3,,,529.0,,,364.0,,0.0,0.0,0.1,,0.0,,2022-04-28T18:45:00Z,,,,20.0,,,13.0,0.0,,0.0,0.0,,0.0,34.0,0.0,681503.0,,,,1.0,1.0,0.0,1.0,-3600.0,1717.0,5317.0,114.0,False,,0.0
7,0,1,0.0293385349214077,11,Sub,Chelsea,West Ham,1,0,2022-04-24,16711,2021,529361,0.05547846481204033,0,1,0,0.0293385349214077,0.08481699973344803,0,0.0,,,,0.0,6.0,0.0,,,10.0,,,529.0,,,335.0,,0.0,0.0,3.6,,4.0,,2022-04-24T13:00:00Z,,,,14.0,,,19.0,0.0,,0.0,0.0,,0.0,34.0,0.0,681503.0,,,,0.0,1.0,22.0,1.0,-3600.0,1717.0,5317.0,114.0,True,,0.0
8,0,1,0.06224413216114044,62,FW,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527922,0.09779733419418335,0,1,0,0.06224413216114044,0.06224413216114044,0,0.0,,,,0.0,1.0,0.0,,,11.5,,,529.0,,,243.0,,3.0,0.0,1.7,,0.0,,2022-04-20T18:45:00Z,,,,59.0,,,1.0,0.0,,0.0,0.0,,0.0,33.0,0.0,684204.0,,,,4.0,2.0,6.0,1.0,-10731.0,60.0,10791.0,114.0,True,,0.0
9,0,0,0,23,Sub,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522786,0,0,0,0,0,0.2879660725593567,0.2879660725593567,0.0,,,,0.0,3.0,0.0,,,2.7,,,529.0,,,303.0,,1.0,0.0,1.1,,4.0,,2022-04-02T14:00:00Z,,,,25.0,,,3.0,0.0,,0.0,0.0,,0.0,31.0,0.0,701045.0,,,,4.0,1.0,4.0,1.0,-7721.0,3056.0,10777.0,114.0,True,,0.0
10,0,0,0,25,Sub,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519904,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.4,,,529.0,,,284.0,,0.0,0.0,0.2,,0.0,,2022-03-13T14:00:00Z,,,,27.0,,,14.0,0.0,,0.0,0.0,,0.0,29.0,0.0,719506.0,,,,0.0,1.0,2.0,1.0,-63476.0,2568.0,66044.0,115.0,True,,0.0
11,0,1,0.1406221240758896,3,Sub,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518992,0,0,0,0,0.1406221240758896,0.1406221240758896,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,529.0,,,297.0,,0.0,0.0,1.9,,0.2,,2022-03-10T19:30:00Z,,,,4.0,,,15.0,0.0,,0.0,0.0,,0.0,28.0,0.0,817206.0,,,,3.0,1.0,18.0,1.0,57234.0,73786.0,16552.0,115.0,False,,0.0
12,0,0,0,90,FW,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514227,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,1.0,,,0.4,,,529.0,,,254.0,,0.0,0.0,0.1,,0.2,,2022-02-19T15:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,26.0,0.0,748874.0,,,,1.0,0.0,0.0,2.0,-5309.0,13952.0,19261.0,115.0,False,,0.0
13,0,3,0.27663758397102356,90,FW,Chelsea,Tottenham,2,0,2022-01-23,16598,2021,510555,0,0,0,0,0.27663758397102356,0.5657767653465271,0.2891392111778259,0.0,,,,0.0,3.0,1.0,,,3.7,,,529.0,,,223.0,,0.0,0.0,5.2,,1.4,,2022-01-23T16:30:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,23.0,0.0,882814.0,,,,0.0,2.0,47.0,2.0,-40108.0,22066.0,62174.0,115.0,True,,0.0
14,0,2,0.09290038049221039,81,FW,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508937,0.1361979842185974,0,2,0,0.09290038049221039,0.2290983647108078,0.049430087208747864,0.0,,,,0.0,7.0,0.0,,,21.0,,,529.0,,,232.0,,1.0,0.0,6.6,,8.4,,2022-01-18T20:00:00Z,,,,79.0,,,4.0,0.0,,0.0,0.0,,0.0,22.0,0.0,1027821.0,,,,1.0,1.0,37.0,2.0,104748.0,163220.0,58472.0,115.0,False,,0.0
15,0,1,0.4463259279727936,90,FW,Manchester City,Chelsea,1,0,2022-01-15,16590,2021,507898,0,0,0,0,0.4463259279727936,0.5759875178337097,0.12966160476207733,0.0,,,,0.0,3.0,0.0,,,1.8,,,529.0,,,215.0,,1.0,0.0,1.4,,3.2,,2022-01-15T12:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,22.0,0.0,1027821.0,,,,0.0,1.0,9.0,2.0,104748.0,163220.0,58472.0,115.0,False,,0.0
