,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,20,Sub,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552388,0.12011824548244476,0,1,0,0,0.15498456358909607,0.03486631065607071,0,,,,0,3,0,,,13.0,,,359,,,84,,1,0,1.8,,3.2,,2022-10-01T14:00:00Z,,,,24,,,9,0,,0,0,,0,9,0,10999,,,,4,1,2.0,1,-301,1232,1533,53,False,,0
1,0,4,0.17551754415035248,76,FWL,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550684,0.04947710037231445,0,1,0,0.17551754415035248,0.09735757112503052,0,0,,,,0,8,0,,,12.5,,,359,,,77,,1,0,4.1,,3.6,,2022-09-17T14:00:00Z,,,,70,,,3,0,,0,0,,0,8,0,11673,,,,1,1,25.0,2,1596,2387,791,53,True,,0
2,0,1,0.08445249497890472,72,FWL,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547285,0,0,0,0,0.08445249497890472,0.08445249497890472,0,0,,,,0,4,1,,,7.0,,,359,,,57,,0,0,4.5,,0.0,,2022-09-03T14:00:00Z,,,,69,,,7,0,,0,0,,0,6,0,9216,,,,0,0,38.0,2,1500,2412,912,53,True,,1
3,0,1,0.04934601113200188,68,FWL,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546456,0,0,0,0,0.04934601113200188,0.04934601113200188,0,0,,,,0,7,0,,,1.0,,,359,,,48,,1,0,1.1,,8.8,,2022-08-31T19:00:00Z,,,,63,,,12,0,,0,0,,0,5,0,7069,,,,1,2,1.0,2,-912,202,1114,53,False,,0
4,0,0,0,23,Sub,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545106,0.13059820234775543,0,2,0,0,0.1053389310836792,0.1053389310836792,0,,,,0,7,0,,,29.4,,,359,,,40,,0,0,4.0,,8.6,,2022-08-28T13:00:00Z,,,,25,,,20,0,,0,0,,0,4,0,7803,,,,1,1,2.0,1,-2608,142,2750,53,False,,0
5,0,0,0,7,Sub,Newcastle United,Nottingham Forest,2,0,2022-08-06,18206,2022,539467,0.05523020401597023,0,1,0,0,0.05523020401597023,0.05523020401597023,0,,,,0,4,0,,,10.3,,,359,,,7,,0,0,1.3,,2.2,,2022-08-06T14:00:00Z,,,,9,,,16,0,,0,0,,0,1,0,14743,,,,0,2,0.0,1,0,0,0,55,True,,0
6,0,1,0.39852046966552734,12,Sub,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536730,0.09148966521024704,0,1,0,0.39852046966552734,0.490010142326355,0,0,,,,0,1,0,,,10.3,,,298,,,365,,0,0,3.4,,6.2,,2022-05-16T19:00:00Z,,,,13,,,1,0,,0,0,,0,37,0,25694,,,,0,2,17.0,1,-2360,26,2386,51,True,,0
7,0,0,0,12,FWR,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524193,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.5,,,298,,,317,,0,0,0.0,,0.0,,2022-04-08T19:00:00Z,,,,12,,,20,0,,0,0,,0,32,0,123989,,,,0,1,0.0,1,2046,15846,13800,53,True,,0
8,0,0,0,90,FWR,Tottenham,Newcastle United,5,1,2022-04-03,16678,2021,523661,0.06086558848619461,0,1,0,0,0.07478830218315125,0.07478830218315125,0,,,,0,9,0,,,17.1,,,298,,,308,,5,0,2.8,,7.0,,2022-04-03T15:30:00Z,,,,90,,,17,0,,0,0,,0,31,0,121704,,,,1,5,4.0,2,-10749,9656,20405,53,False,,0
9,0,2,0.08830108493566513,86,FWL,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520803,0.1520567685365677,0,2,0,0.08830108493566513,0.17100945115089417,0,0,,,,0,8,1,,,34.0,,,298,,,195,,0,0,5.3,,8.4,,2022-03-17T19:45:00Z,,,,84,,,8,0,,0,0,,0,29,0,197863,,,,0,1,11.0,3,85062,102577,17515,53,False,,0
