,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,35,DC,Norwich,Tottenham,0,5,2022-05-22,16755,2021,537942,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,321.0,,,380.0,,2.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,35.0,,,17.0,0.0,,0.0,0.0,,0.0,38.0,0.0,1990.0,,,,5.0,0.0,0.0,-1.0,3.0,113.0,110.0,44.0,True,,1.0
1,0,0,0,90,DC,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536040,0,0,0,0,0,0.27743810415267944,0.27743810415267944,0.0,,,,0.0,11.0,0.0,,,0.8,,,321.0,,,370.0,,1.0,0.0,1.7,,16.6,,2022-05-15T13:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,37.0,0.0,1936.0,,,,1.0,1.0,0.0,2.0,-84.0,64.0,148.0,44.0,False,,0.0
2,0,1,0.036383215337991714,90,DC,Leicester,Norwich,3,0,2022-05-11,16582,2021,534842,0,0,0,0,0.036383215337991714,0,0,0.0,,,,0.0,13.0,0.0,,,0.3,,,321.0,,,207.0,,3.0,0.0,2.0,,15.2,,2022-05-11T18:45:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,36.0,0.0,2045.0,,,,0.0,3.0,4.0,1.0,-60.0,181.0,241.0,44.0,False,,0.0
3,0,0,0,90,DC,Norwich,West Ham,0,4,2022-05-08,16726,2021,533366,0.07395307719707489,0,1,0,0,0.010136330500245094,0.010136330500245094,0.0,,,,0.0,17.0,0.0,,,10.8,,,321.0,,,360.0,,4.0,0.0,4.1,,26.0,,2022-05-08T13:00:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,36.0,0.0,2045.0,,,,4.0,0.0,4.0,0.0,-60.0,181.0,241.0,44.0,True,,0.0
4,0,0,0,90,DC,Aston Villa,Norwich,2,0,2022-04-30,16725,2021,530569,0,0,0,0,0,0.150287464261055,0.150287464261055,0.0,,,,0.0,17.0,0.0,,,1.1,,,321.0,,,341.0,,2.0,0.0,2.5,,21.6,,2022-04-30T14:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,35.0,0.0,2067.0,,,,0.0,2.0,2.0,1.0,-22.0,282.0,304.0,44.0,False,,0.0
5,0,0,0,90,DR,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528697,0,0,0,0,0,0.08090262115001678,0.08090262115001678,0.0,,,,0.0,14.0,0.0,,,1.9,,,321.0,,,340.0,,3.0,0.0,1.7,,15.0,,2022-04-23T14:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,34.0,0.0,2106.0,,,,3.0,0.0,0.0,1.0,285.0,479.0,194.0,44.0,True,,0.0
6,0,2,0.14136570692062378,90,DR,Manchester United,Norwich,3,2,2022-04-16,16702,2021,526383,0.06190631538629532,0,1,0,0.14136570692062378,0.2599373459815979,0.2298051416873932,0.0,,,,0.0,15.0,0.0,,,11.8,,,321.0,,,324.0,,3.0,0.0,5.8,,21.8,,2022-04-16T14:00:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,33.0,0.0,1822.0,,,,2.0,3.0,24.0,1.0,302.0,418.0,116.0,44.0,False,,0.0
7,0,1,0.08587343245744705,90,DR,Norwich,Burnley,2,0,2022-04-10,16688,2021,525241,0,0,0,0,0.08587343245744705,0,0,0.0,,,,0.0,19.0,1.0,,,1.8,,,321.0,,,318.0,,0.0,0.0,2.8,,19.8,,2022-04-10T13:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,32.0,0.0,1419.0,,,,0.0,2.0,6.0,6.0,56.0,103.0,47.0,44.0,True,,0.0
8,0,0,0,90,DR,Brighton,Norwich,0,0,2022-04-02,16685,2021,522735,0,0,0,0,0,0.052983563393354416,0.052983563393354416,0.0,,,,0.0,22.0,1.0,,,0.8,,,321.0,,,301.0,,0.0,0.0,2.0,,19.0,,2022-04-02T14:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,31.0,0.0,1342.0,,,,0.0,0.0,0.0,6.0,16.0,41.0,25.0,44.0,False,,0.0
9,0,2,0.052933622151613235,90,DR,Norwich,Brentford,1,3,2022-03-05,16652,2021,517577,0.057541996240615845,0,1,0,0.052933622151613235,0.12552441656589508,0.035276103764772415,0.0,,,,0.0,18.0,0.0,,,13.3,,,321.0,,,277.0,,3.0,0.0,7.9,,22.8,,2022-03-05T15:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,28.0,0.0,1314.0,,,,3.0,1.0,43.0,1.0,-51.0,36.0,87.0,44.0,True,,0.0
10,0,0,0,26,Sub,Norwich,Manchester City,0,4,2022-02-12,16623,2021,512861,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.1,,,321.0,,,248.0,,2.0,0.0,0.6,,4.0,,2022-02-12T17:30:00Z,,,,27.0,,,12.0,0.0,,0.0,0.0,,0.0,25.0,0.0,1273.0,,,,4.0,0.0,2.0,0.0,-15.0,20.0,35.0,44.0,True,,0.0
11,0,0,0,1,Sub,Watford,Norwich,0,3,2022-01-21,16605,2021,509455,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,1.3,,,321.0,,,230.0,,0.0,0.0,0.4,,2.4,,2022-01-21T20:00:00Z,,,,3.0,,,18.0,0.0,,0.0,0.0,,0.0,23.0,0.0,1310.0,,,,3.0,0.0,0.0,1.0,77.0,117.0,40.0,44.0,False,,0.0
12,0,0,0,12,Sub,Norwich,Everton,2,1,2022-01-15,16592,2021,508122,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,321.0,,,217.0,,0.0,0.0,0.3,,3.4,,2022-01-15T15:00:00Z,,,,13.0,,,8.0,0.0,,0.0,0.0,,0.0,22.0,0.0,1233.0,,,,1.0,2.0,0.0,1.0,28.0,100.0,72.0,44.0,True,,0.0
13,0,1,0.04658527299761772,90,DR,Crystal Palace,Norwich,3,0,2021-12-28,16570,2021,505272,0.062495552003383636,0,1,0,0.04658527299761772,0.26763370633125305,0.20513814687728882,0.0,,,,0.0,5.0,0.0,,,11.9,,,321.0,,,194.0,,3.0,0.0,6.9,,21.4,,2021-12-28T15:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,20.0,0.0,1158.0,,,,0.0,3.0,36.0,0.0,15.0,58.0,43.0,44.0,False,,1.0
14,0,0,0,45,Sub,Norwich,Aston Villa,0,2,2021-12-14,16541,2021,503047,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,2.0,,,321.0,,,167.0,,1.0,0.0,0.6,,4.0,,2021-12-14T19:45:00Z,,,,45.0,,,2.0,0.0,,0.0,0.0,,0.0,17.0,0.0,1101.0,,,,2.0,0.0,0.0,0.0,-47.0,114.0,161.0,44.0,True,,1.0
15,0,0,0,26,DL,Norwich,Liverpool,0,1,2020-02-15,11899,2019,386990,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,1.1,,,454.0,,,257.0,,0.0,0.0,0.4,,2.4,,2020-02-15T17:30:00Z,,,,26.0,,,10.0,0.0,,0.0,0.0,,0.0,26.0,0.0,8946.0,,,,1.0,0.0,0.0,1.0,115.0,262.0,147.0,44.0,True,,0.0
16,0,4,0.6812039017677307,90,DL,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386623,0,0,0,0,0.6812039017677307,0,0,0.0,,,,0.0,19.0,1.0,,,4.4,,,454.0,,,247.0,,0.0,0.0,8.4,,10.4,,2020-02-01T15:00:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,25.0,0.0,8783.0,,,,0.0,0.0,69.0,6.0,-10.0,211.0,221.0,44.0,False,,0.0
17,0,0,0,90,DL,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386490,0.1411527544260025,0,2,0,0,0.1411527544260025,0,0.0,,,,0.0,12.0,0.0,,,22.3,,,454.0,,,240.0,,2.0,0.0,4.5,,18.6,,2020-01-22T19:30:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,24.0,0.0,8758.0,,,,1.0,2.0,4.0,1.0,154.0,330.0,176.0,44.0,False,,0.0
18,0,0,0,90,DL,Norwich,Bournemouth,1,0,2020-01-18,11869,2019,386120,0.03698975592851639,0,1,0,0,0.233669713139534,0.233669713139534,0.0,,,,2.0,28.0,1.0,,,17.1,,,454.0,,,227.0,,0.0,0.0,3.1,,14.0,,2020-01-18T15:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,23.0,0.0,8555.0,,,,0.0,1.0,0.0,8.0,-55.0,209.0,264.0,44.0,True,,0.0
19,0,0,0,90,DL,Manchester United,Norwich,4,0,2020-01-11,11862,2019,385838,0.023516925051808357,0,1,0,0,0.02862708456814289,0.02862708456814289,0.0,,,,0.0,17.0,0.0,,,14.6,,,454.0,,,217.0,,4.0,0.0,3.6,,19.6,,2020-01-11T15:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,22.0,0.0,8537.0,,,,0.0,4.0,2.0,0.0,-86.0,139.0,225.0,44.0,False,,0.0
20,0,0,0,90,DL,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385634,0.0715874508023262,0,1,0,0,0.21632343530654907,0.14473597705364227,0.0,,,,0.0,15.0,0.0,,,12.8,,,454.0,,,207.0,,1.0,0.0,4.5,,26.0,,2020-01-01T17:30:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,21.0,0.0,8546.0,,,,1.0,1.0,6.0,2.0,-57.0,167.0,224.0,44.0,True,,0.0
21,0,4,0.7569902539253235,90,DL,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372551,0.0888463705778122,0,1,0,0.7569902539253235,0.6158926486968994,0.24378885328769684,0.0,,,,0.0,7.0,0.0,,,12.3,,,454.0,,,181.0,,1.0,0.0,6.5,,14.4,,2019-12-26T15:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,19.0,0.0,8558.0,,,,0.0,1.0,38.0,2.0,-63.0,111.0,174.0,44.0,False,,0.0
22,0,0,0,90,DL,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371510,0,0,0,0,0,0.015262914821505547,0.015262914821505547,0.0,,,,0.0,13.0,0.0,,,1.9,,,454.0,,,177.0,,2.0,0.0,1.7,,13.0,,2019-12-21T15:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,18.0,0.0,8614.0,,,,2.0,1.0,2.0,0.0,-15.0,140.0,155.0,44.0,True,,1.0
23,0,0,0,90,DL,Leicester,Norwich,1,1,2019-12-14,11807,2019,369812,0,0,0,0,0,0.6356709599494934,0.6356709599494934,0.0,,,,0.0,14.0,0.0,,,3.4,,,454.0,,,165.0,,1.0,0.0,2.7,,17.4,,2019-12-14T15:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,17.0,0.0,8533.0,,,,1.0,1.0,6.0,2.0,-92.0,111.0,203.0,44.0,False,,0.0
24,0,0,0,74,DL,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,368998,0,0,0,0,0,0.015821099281311035,0.015821099281311035,0.0,,,,0.0,18.0,0.0,,,3.5,,,454.0,,,157.0,,2.0,0.0,1.4,,10.0,,2019-12-08T14:00:00Z,,,,71.0,,,15.0,0.0,,0.0,0.0,,0.0,16.0,0.0,8568.0,,,,2.0,1.0,0.0,1.0,-92.0,96.0,188.0,44.0,True,,0.0
25,0,3,0.1826954185962677,90,DL,Southampton,Norwich,2,1,2019-12-04,11790,2019,367709,0,0,0,0,0.1826954185962677,0.26615622639656067,0.08346082270145416,0.0,,,,0.0,2.0,0.0,,,2.3,,,454.0,,,150.0,,2.0,0.0,4.3,,11.6,,2019-12-04T19:30:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,15.0,0.0,8629.0,,,,1.0,2.0,29.0,0.0,-53.0,80.0,133.0,44.0,False,,1.0
26,0,0,0,90,DL,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366787,0,0,0,0,0,0.10209067165851593,0.10209067165851593,0.0,,,,0.0,12.0,0.0,,,2.5,,,454.0,,,137.0,,2.0,0.0,3.3,,28.4,,2019-12-01T14:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,14.0,0.0,8659.0,,,,2.0,2.0,2.0,1.0,-1.0,164.0,165.0,44.0,True,,0.0
27,0,3,0.5313087105751038,90,DL,Everton,Norwich,0,2,2019-11-23,11768,2019,364810,0,0,0,0,0.5313087105751038,0.3325291872024536,0.18230874836444855,0.0,,,,0.0,14.0,1.0,,,2.0,,,454.0,,,126.0,,0.0,0.0,5.1,,15.2,,2019-11-23T15:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,13.0,0.0,8568.0,,,,2.0,0.0,34.0,5.0,-324.0,58.0,382.0,44.0,False,,1.0
28,0,0,0,21,Sub,Norwich,Manchester United,1,3,2019-10-27,11739,2019,360345,0,0,0,0,0,0.04928210377693176,0.04928210377693176,0.0,,,,0.0,2.0,0.0,,,0.3,,,454.0,,,97.0,,1.0,0.0,0.5,,2.6,,2019-10-27T16:30:00Z,,,,24.0,,,12.0,0.0,,0.0,0.0,,0.0,10.0,0.0,9294.0,,,,3.0,1.0,2.0,1.0,-315.0,56.0,371.0,44.0,True,,0.0
29,0,0,0,90,DR,Burnley,Norwich,2,0,2019-09-21,11696,2019,352256,0,0,0,0,0,0.05123387277126312,0.05123387277126312,0.0,,,,0.0,12.0,0.0,,,7.6,,,454.0,,,52.0,,2.0,0.0,4.4,,30.8,,2019-09-21T14:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,6.0,0.0,10090.0,,,,0.0,2.0,6.0,1.0,1293.0,1859.0,566.0,44.0,False,,0.0
30,0,1,0.04009231552481651,90,DR,Norwich,Manchester City,3,2,2019-09-14,11689,2019,349261,0,0,0,0,0.04009231552481651,0,0,0.0,,,,0.0,11.0,0.0,,,1.0,,,454.0,,,46.0,,2.0,0.0,5.7,,37.8,,2019-09-14T16:30:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,5.0,0.0,8378.0,,,,2.0,3.0,18.0,0.0,-396.0,385.0,781.0,44.0,True,,1.0
