,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,43,Sub,Southampton,West Bromwich Albion,2,0,2020-10-04,14473,2020,419978,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,0.4,,,423.0,,,37.0,,1.0,0.0,1.4,,13.8,,2020-10-04T11:00:00Z,,,,45.0,,,16.0,0.0,,0.0,0.0,,0.0,4.0,0.0,1704.0,,,,0.0,2.0,0.0,1.0,-150.0,53.0,203.0,49.0,False,,0.0
1,0,0,0,1,Sub,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417595,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,423.0,,,27.0,,1.0,0.0,0.1,,1.0,,2020-09-26T16:30:00Z,,,,1.0,,,5.0,0.0,,0.0,0.0,,0.0,3.0,0.0,1778.0,,,,3.0,3.0,0.0,1.0,-135.0,201.0,336.0,49.0,True,,0.0
2,0,0,0,12,Sub,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415594,0,0,0,0,0,0,0,0.0,,,,0.0,6.0,0.0,,,0.1,,,423.0,,,12.0,,0.0,0.0,0.5,,5.2,,2020-09-19T11:30:00Z,,,,15.0,,,7.0,0.0,,0.0,0.0,,0.0,2.0,0.0,1693.0,,,,2.0,5.0,0.0,1.0,-353.0,42.0,395.0,50.0,False,,0.0
3,0,1,0.05920182168483734,5,Sub,Bournemouth,West Bromwich Albion,2,1,2018-03-17,7419,2017,223953,0.07054398208856583,0,1,0,0.05920182168483734,0.24834610521793365,0.11860030144453049,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,16.3,0.0,0.0,433.0,0.0,0.0,301.0,0.0,1.0,0.0,4.0,17519.0,5.2,1.0,2018-03-17T15:00:00Z,17 Mar 15:00,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,7806.0,0.0,0.0,0.0,1.0,2.0,18.0,1.0,-57.0,21.0,78.0,44.0,False,0.0,0.0
4,0,0,0,30,Sub,West Bromwich Albion,Leicester,1,4,2018-03-10,7417,2017,222305,0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,433.0,0.0,0.0,299.0,1.0,3.0,0.0,0.6,17127.0,3.2,0.0,2018-03-10T15:00:00Z,10 Mar 15:00,0.0,0.0,31.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,7892.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,-41.0,19.0,60.0,44.0,True,0.0,0.0
5,0,0,0,1,Sub,Watford,West Bromwich Albion,1,0,2018-03-03,7408,2017,221048,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,433.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,16494.0,0.0,0.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,8411.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-46.0,13.0,59.0,45.0,False,0.0,0.0
6,0,0,0,58,MR,Manchester City,West Bromwich Albion,3,0,2018-01-31,7366,2017,215533,0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,1.2,0.0,0.0,433.0,0.0,0.0,246.0,1.0,1.0,0.0,0.8,13999.0,6.4,0.0,2018-01-31T20:00:00Z,31 Jan 20:00,0.0,0.0,54.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,8894.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,-329.0,13.0,342.0,45.0,False,0.0,0.0
7,0,0,0,48,MC,Swansea,West Bromwich Albion,1,0,2017-12-09,7271,2017,198979,0.0201621875166893,0,1,0,0,0,0,0.0,14.0,0.0,0.0,0.0,-1.0,0.0,2.0,12.0,15.3,0.0,0.0,433.0,0.0,0.0,157.0,1.0,0.0,0.0,2.0,8714.0,5.0,1.0,2017-12-09T15:00:00Z,09 Dec 15:00,0.0,0.0,45.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,13063.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,842.0,1788.0,946.0,45.0,False,0.0,1.0
8,0,3,0.2047264277935028,90,MC,West Bromwich Albion,Crystal Palace,0,0,2017-12-02,7265,2017,178855,0.07618289440870285,0,1,0,0.2047264277935028,0.39230960607528687,0.11140027642250061,0.0,44.0,0.0,0.0,0.0,11.0,1.0,4.0,33.0,14.8,2.0,0.0,433.0,0.0,0.0,150.0,3.0,0.0,0.0,8.8,8140.0,16.8,1.0,2017-12-02T15:00:00Z,02 Dec 15:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,12024.0,3.0,2.0,0.0,0.0,0.0,56.0,2.0,2709.0,3256.0,547.0,45.0,True,0.0,1.0
9,1,1,0.3303445875644684,85,MC,West Bromwich Albion,Newcastle United,2,2,2017-11-28,7252,2017,179049,0,0,0,1,0.3303445875644684,0.3303445875644684,0,0.0,31.0,0.0,0.0,2.0,31.0,0.0,3.0,26.0,3.8,1.0,0.0,433.0,0.0,0.0,134.0,4.0,2.0,1.0,6.3,7569.0,42.4,0.0,2017-11-28T20:00:00Z,28 Nov 20:00,0.0,0.0,83.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,9079.0,1.0,2.0,0.0,2.0,2.0,17.0,9.0,-199.0,75.0,274.0,45.0,True,0.0,0.0
10,0,0,0,70,ML,Tottenham,West Bromwich Albion,1,1,2017-11-25,7239,2017,179773,0.012582153081893921,0,1,0,0,0.012582153081893921,0,0.0,16.0,0.0,0.0,0.0,9.0,1.0,1.0,13.0,10.8,0.0,0.0,433.0,0.0,0.0,128.0,0.0,0.0,0.0,2.2,6999.0,11.6,1.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,66.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,9266.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,-424.0,20.0,444.0,45.0,False,0.0,0.0
11,0,0,0,87,MC,Burnley,West Bromwich Albion,0,1,2017-08-19,7132,2017,176117,0,0,0,0,0,0.013707256875932217,0.013707256875932217,0.0,17.0,0.0,0.0,0.0,6.0,1.0,2.0,7.0,0.3,0.0,0.0,433.0,0.0,0.0,12.0,0.0,0.0,0.0,1.1,944.0,8.6,0.0,2017-08-19T14:00:00Z,19 Aug 15:00,0.0,0.0,85.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4928.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,706.0,1292.0,586.0,45.0,False,0.0,0.0
12,0,0,0,71,MC,West Bromwich Albion,Bournemouth,1,0,2017-08-12,7121,2017,176047,0,0,0,0,0,0.06603407859802246,0.06603407859802246,0.0,12.0,0.0,0.0,0.0,6.0,1.0,2.0,10.0,1.3,0.0,0.0,433.0,0.0,0.0,8.0,1.0,0.0,0.0,0.5,433.0,3.2,0.0,2017-08-12T14:00:00Z,12 Aug 15:00,0.0,0.0,69.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2503.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,45.0,True,0.0,0.0
