,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,1,Sub,Burnley,Fulham,2,1,2019-01-12,9415,2018,303412,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,11615.0,0.0,0.0,2019-01-12T15:00:00Z,12 Jan 15:00,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,79242.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-4512.0,7827.0,12339.0,53.0,True,0.0,0.0
1,0,1,0.060742802917957306,1,Sub,Burnley,West Ham,2,0,2018-12-30,9395,2018,291627,0,0,0,0,0.060742802917957306,0,0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,84.0,0.0,0.0,192.0,0.0,0.0,0.0,0.5,10477.0,0.0,0.0,2018-12-30T14:15:00Z,30 Dec 14:15,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,84889.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,470.0,7369.0,6899.0,53.0,True,0.0,0.0
2,0,0,0,77,FW,Burnley,Everton,1,5,2018-12-26,9385,2018,279202,0,0,0,0,0,0,0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,84.0,0.0,0.0,182.0,1.0,4.0,0.0,0.4,9909.0,0.8,0.0,2018-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,72.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,83720.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,-5004.0,5319.0,10323.0,53.0,True,0.0,0.0
3,0,0,0,11,Sub,Arsenal,Burnley,3,1,2018-12-22,9376,2018,278780,0,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.3,0.0,0.0,84.0,0.0,0.0,171.0,0.0,1.0,0.0,0.2,9344.0,0.2,0.0,2018-12-22T12:30:00Z,22 Dec 12:30,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,88268.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,-10896.0,2668.0,13564.0,53.0,False,0.0,0.0
4,0,0,0,1,Sub,Tottenham,Burnley,1,0,2018-12-15,9359,2018,278557,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,8782.0,0.0,0.0,2018-12-15T15:00:00Z,15 Dec 15:00,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,99057.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-4683.0,9961.0,14644.0,53.0,False,0.0,0.0
5,0,0,0,18,Sub,Burnley,Liverpool,1,3,2018-12-05,9343,2018,278070,0,0,0,0,0,0.022333767265081406,0.022333767265081406,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.5,0.0,0.0,84.0,0.0,0.0,143.0,0.0,1.0,0.0,0.5,7665.0,4.0,0.0,2018-12-05T19:45:00Z,05 Dec 19:45,0.0,0.0,19.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,103761.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,-828.0,11498.0,12326.0,53.0,True,0.0,0.0
6,0,1,0.047878287732601166,29,Sub,Crystal Palace,Burnley,2,0,2018-12-01,9333,2018,277806,0.15845301747322083,0,1,0,0.047878287732601166,0,0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.3,0.0,0.0,84.0,0.0,0.0,134.0,1.0,1.0,0.0,2.2,7109.0,3.0,0.0,2018-12-01T15:00:00Z,01 Dec 15:00,0.0,0.0,30.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,105208.0,0.0,1.0,0.0,0.0,2.0,18.0,1.0,14580.0,20400.0,5820.0,53.0,False,0.0,0.0
7,1,5,0.8265050053596497,90,FW,Burnley,Newcastle United,1,2,2018-11-26,9326,2018,277624,0.3234914541244507,0,2,1,0.8265050053596497,0.5191689729690552,0.05362578481435776,0.0,29.0,0.0,1.0,2.0,26.0,0.0,0.0,17.0,24.3,3.0,0.0,84.0,0.0,0.0,123.0,2.0,2.0,1.0,11.5,6556.0,33.6,2.0,2018-11-26T20:30:00Z,26 Nov 20:30,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,89947.0,1.0,0.0,3.0,2.0,1.0,57.0,8.0,7920.0,16057.0,8137.0,53.0,True,0.0,0.0
8,0,0,0,73,FW,Leicester,Burnley,0,0,2018-11-10,9310,2018,277194,0,0,0,0,0,0,0,0.0,26.0,0.0,0.0,0.0,4.0,1.0,0.0,12.0,7.3,0.0,0.0,84.0,0.0,0.0,116.0,1.0,0.0,0.0,0.8,6004.0,0.0,0.0,2018-11-10T15:00:00Z,10 Nov 15:00,0.0,0.0,72.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,80214.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-1323.0,8288.0,9611.0,53.0,False,0.0,0.0
9,0,1,0.026230843737721443,76,FW,West Ham,Burnley,4,2,2018-11-03,9298,2018,276862,0,0,0,0,0.026230843737721443,0.026230843737721443,0,0.0,26.0,0.0,0.0,0.0,6.0,0.0,2.0,16.0,1.3,0.0,0.0,84.0,0.0,0.0,109.0,0.0,2.0,0.0,1.4,5454.0,4.6,0.0,2018-11-03T15:00:00Z,03 Nov 15:00,0.0,0.0,71.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,81896.0,2.0,0.0,0.0,2.0,4.0,8.0,2.0,14315.0,21932.0,7617.0,53.0,False,0.0,0.0
