,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,61,MC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468694,0,0,0,0,0,0.05423903837800026,0.05423903837800026,0,0,1,0,1.3,360,346,1,0,1.0,0.2,2021-05-08T14:00:00Z,59,6,0,0,0,0,35,0,6630,2,0,8.0,1,38,71,33,49,True,0
1,0,0,0,41,Sub,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467843,0.037914667278528214,0,1,0,0,0.19570676982402802,0.1577921062707901,0,0,3,0,11.5,360,337,3,0,1.8,2.0,2021-05-02T18:15:00Z,45,17,0,0,0,0,34,0,6583,0,4,4.0,1,-40,6,46,49,False,0
2,0,0,0,11,MC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435625,0,0,0,0,0,0,0,0,0,2,0,0.2,360,124,0,0,0.0,0.0,2020-12-17T20:00:00Z,11,13,0,0,0,0,13,0,15662,3,2,0.0,1,-860,444,1304,50,True,0
3,0,2,0.14067977666854858,90,MC,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433451,0,0,0,0,0.14067977666854858,0.14067977666854858,0,0,0,4,0,2.3,360,117,3,0,1.1,0.2,2020-12-13T12:00:00Z,90,16,0,0,0,0,12,0,16430,0,3,8.0,2,-1182,716,1898,50,False,0
4,0,0,0,90,MC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432030,0.010452328249812126,0,1,0,0,0.09647392481565475,0.08602159470319748,0,0,9,0,12.3,360,105,2,0,2.3,9.0,2020-12-06T14:15:00Z,90,9,0,0,0,0,11,0,17499,2,1,2.0,2,-1507,1257,2764,50,True,0
5,0,1,0.035901233553886414,90,MC,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429957,0.6590346097946167,0,2,0,0.035901233553886414,1.4776103496551514,1.441709041595459,0,0,15,0,25.2,360,97,1,0,5.3,18.2,2020-11-28T20:00:00Z,90,18,0,0,0,0,10,0,19089,0,1,10.0,1,1116,2979,1863,50,False,1
6,0,0,0,90,MC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428528,0.020536093041300774,0,1,0,0,0.19843317568302155,0.19843317568302155,0,0,12,0,15.3,360,86,1,0,3.7,17.8,2020-11-22T14:00:00Z,90,19,0,0,0,0,9,0,17910,1,0,4.0,2,3320,5783,2463,50,True,0
7,0,1,0.05147629603743553,90,MC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426505,0.5657672882080078,1,1,0,0.05147629603743553,0.07809585332870483,0.07809585332870483,1,0,20,0,12.8,360,71,4,0,3.9,20.6,2020-11-07T17:30:00Z,90,5,0,0,0,0,8,0,13881,1,4,6.0,4,843,2268,1425,50,False,1
8,0,1,0.04887041449546814,90,MC,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424227,0.24166730046272278,0,2,0,0.04887041449546814,0.2905377149581909,0,0,0,11,0,16.3,360,66,1,0,4.9,11.0,2020-10-31T12:30:00Z,90,12,0,0,0,0,7,0,12880,1,0,22.0,2,1953,3029,1076,50,True,0
9,1,2,0.8443896770477295,90,MC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423230,0.06326749175786972,0,2,0,0.08322085440158844,0.2538358271121979,0.1284535825252533,0,1,30,0,25.4,360,54,2,1,10.5,48.8,2020-10-24T19:00:00Z,90,11,0,0,0,0,6,0,10337,1,2,31.0,7,-632,603,1235,50,False,1
