,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,470000,0,0,0,0,0,0,0,1.0,,,,0.0,19.0,0.0,,,1.1,,,486.0,,,317.0,,3.0,0.0,2.2,,18.6,,2021-05-11T19:15:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,35.0,0.0,40756.0,,,,1.0,3.0,2.0,4.0,3301.0,3931.0,630.0,42.0,False,,0.0
1,0,0,0,90,DC,Crystal Palace,Manchester City,0,2,2021-05-01,14768,2020,466828,0,0,0,0,0,0,0,0.0,,,,0.0,12.0,0.0,,,0.3,,,486.0,,,332.0,,2.0,0.0,2.0,,17.2,,2021-05-01T11:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,34.0,0.0,37047.0,,,,2.0,0.0,2.0,1.0,-41.0,177.0,218.0,42.0,True,,0.0
2,0,0,0,90,DC,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466543,0,0,0,0,0,0.04314514994621277,0.04314514994621277,0.0,,,,0.0,9.0,0.0,,,0.3,,,486.0,,,323.0,,2.0,0.0,1.3,,11.0,,2021-04-26T19:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,33.0,0.0,37048.0,,,,1.0,2.0,2.0,1.0,-239.0,47.0,286.0,42.0,False,,0.0
3,0,0,0,90,DC,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449029,0,0,0,0,0,0.015472433529794216,0.015472433529794216,0.0,,,,0.0,16.0,0.0,,,0.3,,,486.0,,,232.0,,3.0,0.0,2.9,,28.2,,2021-02-13T15:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,24.0,0.0,41883.0,,,,3.0,0.0,0.0,1.0,348.0,1933.0,1585.0,43.0,True,,0.0
4,0,0,0,90,DC,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448688,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,0.4,,,486.0,,,222.0,,2.0,0.0,1.2,,7.4,,2021-02-08T20:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,23.0,0.0,41433.0,,,,0.0,2.0,4.0,1.0,-321.0,659.0,980.0,43.0,False,,0.0
5,0,0,0,90,DC,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446783,0,0,0,0,0,0.13657905161380768,0.13657905161380768,0.0,,,,0.0,16.0,0.0,,,0.3,,,486.0,,,217.0,,1.0,0.0,3.2,,32.0,,2021-02-02T20:15:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,22.0,0.0,41709.0,,,,2.0,1.0,0.0,2.0,319.0,987.0,668.0,43.0,False,,0.0
6,0,0,0,90,DC,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445680,0,0,0,0,0,0.07446449995040894,0.07446449995040894,0.0,,,,0.0,28.0,1.0,,,0.7,,,486.0,,,202.0,,0.0,0.0,1.7,,13.8,,2021-01-30T15:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,21.0,0.0,41282.0,,,,0.0,1.0,2.0,6.0,-1499.0,136.0,1635.0,43.0,True,,0.0
7,0,1,0.07845623046159744,90,DC,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438117,0,0,0,0,0.07845623046159744,0.08040621876716614,0.08040621876716614,0.0,,,,0.0,13.0,0.0,,,0.6,,,486.0,,,140.0,,3.0,0.0,1.6,,11.0,,2020-12-26T15:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,15.0,0.0,55165.0,,,,0.0,3.0,4.0,1.0,-4205.0,1019.0,5224.0,44.0,False,,0.0
8,0,1,0.01646529883146286,90,DC,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435382,0,0,0,0,0.01646529883146286,0.3324403166770935,0.3324403166770935,0.0,,,,0.0,13.0,0.0,,,0.3,,,486.0,,,125.0,,1.0,0.0,3.4,,13.4,,2020-12-16T20:00:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,13.0,0.0,62389.0,,,,1.0,1.0,20.0,2.0,-6201.0,414.0,6615.0,44.0,False,,0.0
9,0,0,0,90,DC,Crystal Palace,Newcastle United,0,2,2020-11-27,14530,2020,429231,0,0,0,0,0,0.09245601296424866,0.09245601296424866,0.0,,,,0.0,10.0,0.0,,,0.3,,,486.0,,,92.0,,2.0,0.0,1.4,,13.4,,2020-11-27T20:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,10.0,0.0,78758.0,,,,2.0,0.0,0.0,0.0,7574.0,11319.0,3745.0,44.0,True,,1.0
