,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,3,Sub,Chelsea,Huddersfield,1,1,2018-05-09,7460,2017,238785,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0.0,1,0,462,0,0,344,0,0,0,0.1,21531,1.0,0,2018-05-09T18:45:00Z,09 May 19:45,0,0,5,0,0,5,0,0,0,0,1,0,37,0,9453,0,0,0,1,1,0.0,1,-126,52,178,43,False,0,0
1,0,1,0.02988157421350479,12,Sub,Manchester City,Huddersfield,0,0,2018-05-06,7480,2017,237929,0,0,0,0,0.02988157421350479,0.02988157421350479,0,0,2,0,0,0,5,0,1,2,0.0,0,0,462,0,0,367,0,0,0,1.3,21532,6.2,0,2018-05-06T12:30:00Z,06 May 13:30,0,0,12,0,0,11,0,0,0,0,2,0,37,0,9453,0,1,0,0,0,7.0,1,-126,52,178,43,False,0,0
2,0,1,0.26809602975845337,27,Sub,Huddersfield,Everton,0,2,2018-04-28,7471,2017,235779,0,0,0,0,0.26809602975845337,0.26809602975845337,0,0,11,0,1,0,-3,0,0,9,0.7,1,0,462,0,0,353,0,1,0,2.3,20619,2.0,0,2018-04-28T14:00:00Z,28 Apr 15:00,0,0,28,0,0,7,0,0,0,0,1,0,36,0,9585,4,0,0,2,0,20.0,1,-178,21,199,43,True,0,0
3,0,0,0,3,Sub,Newcastle United,Huddersfield,1,0,2018-03-31,7436,2017,226916,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,4.1,0,0,462,0,0,317,1,0,0,0.9,18057,3.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,4,0,1,13,0,0,0,0,1,0,32,0,10611,0,1,0,0,1,2.0,1,-260,200,460,43,False,0,0
4,0,0,0,48,DL,Huddersfield,Crystal Palace,0,2,2018-03-17,7421,2017,223960,0,0,0,0,0,0,0,0,21,0,0,0,3,0,1,7,0.8,1,0,462,0,0,303,1,1,0,0.7,17524,6.6,0,2018-03-17T15:00:00Z,17 Mar 15:00,0,0,45,0,0,6,0,0,0,0,4,0,31,0,12322,3,1,0,2,0,0.0,1,1154,1341,187,43,True,0,0
5,0,1,0.04505704715847969,90,DL,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222377,0.04519348219037056,0,2,0,0.04505704715847969,0.39528927206993103,0.35009580850601196,0,74,0,0,0,26,1,3,64,30.6,0,0,462,0,0,295,1,0,0,7.9,17156,20.0,2,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,90,0,0,16,0,0,0,0,4,0,30,0,9671,1,1,0,0,0,28.0,6,-17,218,235,43,True,0,0
6,0,0,0,54,DL,Huddersfield,Bournemouth,4,1,2018-02-11,7381,2017,215106,0,0,0,0,0,0.38026365637779236,0.38026365637779236,0,21,0,0,0,5,0,4,14,1.3,0,0,462,0,0,263,3,1,0,0.6,15266,2.6,0,2018-02-11T12:00:00Z,11 Feb 12:00,0,0,51,0,0,2,0,0,0,0,4,0,27,0,10744,0,1,0,1,4,2.0,1,-274,171,445,43,True,0,0
7,0,0,0,90,DL,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209269,0.02088116481900215,0,1,0,0,0,0,0,34,0,0,0,7,0,5,16,11.7,0,0,462,1,0,238,0,2,0,2.1,13425,9.4,1,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,90,0,0,15,0,0,0,0,2,0,24,0,12133,1,1,0,0,2,0.0,1,-245,502,747,43,False,0,0
8,0,1,0.013067665509879589,90,DL,Huddersfield,West Ham,1,4,2018-01-13,7342,2017,207684,0,0,0,0,0.013067665509879589,0.38954874873161316,0.38954874873161316,0,41,0,0,0,10,0,5,26,3.0,1,0,462,0,0,224,0,4,0,1.4,12827,9.8,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,90,0,0,20,0,0,0,0,5,0,23,0,12342,1,1,1,4,1,1.0,0,-235,710,945,43,True,0,0
9,0,0,0,12,Sub,Leicester,Huddersfield,3,0,2018-01-01,7334,2017,206462,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,3,0.0,0,0,462,0,0,215,2,1,0,0.1,12219,1.4,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,14,0,0,9,0,0,0,0,3,0,22,0,12513,0,1,0,0,3,0.0,0,323,907,584,43,False,0,1
