,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.04802665859460831,90,MC,Chelsea,Sunderland,5,1,2017-05-21,3512,2016,125213,0.13067984580993652,0,1,0,0.04802665859460831,0,0,1.0,29.0,0.0,0.0,0.0,20.0,0.0,3.0,25.0,19.2,0.0,0.0,349.0,0.0,0.0,373.0,0.0,5.0,0.0,3.6,23354.0,9.0,1.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,90.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,0.0,1041.0,0.0,0.0,0.0,1.0,5.0,8.0,5.0,-18.0,26.0,44.0,47.0,False,0.0,0.0
1,0,0,0,90,MC,Arsenal,Sunderland,2,0,2017-05-16,3470,2016,135110,0,0,0,0,0,0.11316473037004471,0.11316473037004471,0.0,40.0,0.0,0.0,0.0,10.0,0.0,6.0,30.0,6.3,0.0,0.0,349.0,0.0,0.0,331.0,3.0,2.0,0.0,2.5,22509.0,16.8,0.0,2017-05-16T18:45:00Z,16 May 19:45,0.0,0.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,37.0,0.0,1053.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,103.0,115.0,12.0,47.0,False,0.0,0.0
2,0,1,0.06303238868713379,90,MC,Sunderland,Swansea,0,2,2017-05-13,3506,2016,133772,0.15376180410385132,0,4,0,0.06303238868713379,0.1340855211019516,0.023044917732477188,0.0,65.0,0.0,0.0,0.0,17.0,0.0,0.0,54.0,55.5,0.0,0.0,349.0,0.0,0.0,367.0,1.0,2.0,0.0,8.6,22510.0,18.6,4.0,2017-05-13T14:00:00Z,13 May 15:00,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,37.0,0.0,1053.0,0.0,2.0,0.0,2.0,0.0,12.0,1.0,103.0,115.0,12.0,47.0,True,0.0,1.0
3,0,1,0.032570354640483856,10,Sub,Hull,Sunderland,0,2,2017-05-06,3494,2016,134922,0.5888075828552246,1,1,0,0.032570354640483856,0,0,1.0,4.0,1.0,0.0,0.0,17.0,0.0,1.0,3.0,14.3,0.0,0.0,349.0,0.0,0.0,355.0,0.0,0.0,0.0,4.9,21657.0,25.2,1.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,12.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,947.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,-5.0,19.0,24.0,47.0,False,0.0,0.0
4,0,0,0,42,ML,Sunderland,Manchester United,0,3,2017-04-09,3452,2016,133693,0,0,0,0,0,0.5431296825408936,0.5431296825408936,0.0,13.0,0.0,0.0,0.0,-2.0,0.0,5.0,11.0,7.8,0.0,0.0,349.0,0.0,0.0,317.0,2.0,3.0,0.0,1.1,18877.0,3.4,0.0,2017-04-09T12:30:00Z,09 Apr 13:30,0.0,0.0,42.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,1.0,32.0,0.0,1195.0,1.0,2.0,0.0,3.0,0.0,0.0,-2.0,-23.0,15.0,38.0,47.0,True,0.0,0.0
5,0,2,0.07630875706672668,74,ML,Leicester,Sunderland,2,0,2017-04-04,3445,2016,132390,0.1100359782576561,0,3,0,0.07630875706672668,0.18096593022346497,0.14085088670253754,0.0,35.0,0.0,0.0,0.0,11.0,0.0,1.0,27.0,43.4,0.0,0.0,349.0,0.0,0.0,304.0,2.0,1.0,0.0,6.2,18216.0,8.4,3.0,2017-04-04T18:45:00Z,04 Apr 19:45,0.0,0.0,72.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,1210.0,0.0,1.0,1.0,0.0,2.0,10.0,2.0,-25.0,8.0,33.0,47.0,False,0.0,0.0
6,0,2,0.13381722569465637,82,MC,Sunderland,Burnley,0,0,2017-03-18,3423,2016,133718,0.30336347222328186,0,2,0,0.13381722569465637,0.42927610874176025,0.02163281850516796,0.0,23.0,1.0,0.0,0.0,19.0,1.0,5.0,16.0,30.2,1.0,0.0,349.0,0.0,0.0,287.0,0.0,0.0,0.0,6.0,16905.0,18.0,2.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,77.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,0.0,1221.0,1.0,2.0,1.0,0.0,0.0,12.0,3.0,37.0,78.0,41.0,47.0,True,0.0,0.0
7,0,1,0.0403134748339653,90,MC,Sunderland,Manchester City,0,2,2017-03-05,3404,2016,133116,0.09235657751560211,0,1,0,0.0403134748339653,0.1618935763835907,0.1215800940990448,0.0,38.0,0.0,0.0,0.0,13.0,0.0,3.0,29.0,18.8,1.0,0.0,349.0,0.0,1.0,265.0,4.0,2.0,0.0,4.5,15983.0,9.6,1.0,2017-03-05T16:00:00Z,05 Mar 16:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,0.0,1242.0,1.0,3.0,0.0,2.0,0.0,17.0,2.0,-64.0,34.0,98.0,47.0,True,0.0,0.0
8,0,0,0,90,MC,Everton,Sunderland,2,0,2017-02-25,3393,2016,131618,0.116142138838768,0,2,0,0,0,0,0.0,31.0,0.0,0.0,0.0,8.0,0.0,1.0,20.0,30.5,0.0,0.0,349.0,0.0,0.0,253.0,5.0,2.0,0.0,3.5,15309.0,4.2,2.0,2017-02-25T15:00:00Z,25 Feb 15:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,26.0,0.0,1299.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-92.0,24.0,116.0,47.0,False,0.0,0.0
9,0,1,0.06555068492889404,59,MC,Sunderland,Southampton,0,4,2017-02-11,3384,2016,131159,0,0,0,0,0.06555068492889404,0,0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,1.0,30.0,10.0,0.0,0.0,349.0,0.0,0.0,248.0,1.0,2.0,0.0,1.7,14758.0,0.0,0.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,57.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,1376.0,3.0,0.0,0.0,4.0,0.0,8.0,1.0,51.0,154.0,103.0,47.0,True,0.0,0.0
