,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,1,0.055372823029756546,17,Sub,Brentford,Leeds,1,2,2022-05-22,16747,2021,537700,0,0,0,1,0.055372823029756546,0.055372823029756546,0,0.0,0.0,12.0,0.0,0.0,696.0,378.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,778773.0,1.0,3.0,0.0,2.0,190673.0,220100.0,29427.0,81.0,True,0.0
1,0,1,0.040995966643095016,9,Sub,Brentford,West Ham,2,0,2022-04-10,16693,2021,525133,0,0,0,0,0.040995966643095016,0.040995966643095016,0,0.0,0.0,6.0,0.0,1.1,696.0,316.0,0.0,0.0,0.3,2.2,2022-04-10T15:30:00Z,20.0,12.0,0.0,0.0,0.0,0.0,32.0,0.0,224237.0,2.0,2.0,0.0,1.0,-32578.0,12186.0,44764.0,80.0,False,0.0
2,0,0,0,1,Sub,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522802,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,696.0,306.0,0.0,0.0,0.0,0.0,2022-04-02T11:30:00Z,0.0,18.0,0.0,0.0,0.0,0.0,31.0,0.0,257901.0,0.0,2.0,0.0,0.0,30605.0,43806.0,13201.0,81.0,True,0.0
3,0,2,0.09670202434062958,76,ML,Brentford,Burnley,2,0,2022-03-12,16657,2021,519335,0.20957918465137482,0,3,0,0.09670202434062958,0.3291008770465851,0.022819658741354942,0.0,0.0,24.0,1.0,24.1,696.0,283.0,0.0,1.0,11.3,40.4,2022-03-12T12:30:00Z,90.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,232171.0,2.0,0.0,48.0,8.0,60517.0,80314.0,19797.0,80.0,False,0.0
4,0,2,0.11425720155239105,84,ML,Norwich,Brentford,1,3,2022-03-05,16652,2021,517599,0.04921283200383186,0,1,0,0.11425720155239105,0.16347002983093262,0,0.0,0.0,7.0,1.0,17.7,696.0,274.0,0.0,0.0,8.0,1.0,2022-03-05T17:30:00Z,90.0,19.0,0.0,0.0,0.0,0.0,28.0,0.0,162734.0,0.0,1.0,61.0,3.0,18399.0,39800.0,21401.0,80.0,True,0.0
5,0,0,0,15,Sub,Brentford,Newcastle United,0,2,2022-02-26,16637,2021,516004,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,88,DMR,Arsenal,Brentford,2,1,2022-02-19,16626,2021,514166,0,0,0,0,0,0,0,0.0,2.0,32.0,0.0,56.2,696.0,256.0,1.0,1.0,17.2,43.0,2022-02-19T15:00:00Z,89.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,148277.0,1.0,3.0,73.0,9.0,105431.0,115173.0,9742.0,80.0,True,0.0
7,0,1,0.5624945163726807,87,DMR,Brentford,Crystal Palace,0,0,2022-02-12,16616,2021,512648,0.3990978002548218,0,1,0,0.5624945163726807,1.6543043851852417,0.6927120685577393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,64,FW,Manchester City,Brentford,2,0,2022-02-09,16615,2021,512222,0.02634066343307495,0,1,0,0,0.02634066343307495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.15225949883460999,90,DMR,Brentford,Wolverhampton Wanderers,1,2,2022-01-22,16597,2021,509787,0,0,0,0,0.15225949883460999,0.15225949883460999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,66,DML,Brentford,Manchester United,1,3,2022-01-19,16537,2021,509190,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.09566961228847504,40,Sub,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508494,0,0,0,0,0.09566961228847504,0.09566961228847504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,79,DML,Southampton,Brentford,4,1,2022-01-11,16551,2021,507749,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,56,DML,Brentford,Aston Villa,2,1,2022-01-02,16577,2021,505598,0,0,0,0,0,0.05749393254518509,0.05749393254518509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,19,Sub,Brentford,Manchester City,0,1,2021-12-29,16567,2021,505382,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,3,0.1827957183122635,90,DMR,Brighton,Brentford,2,0,2021-12-26,16557,2021,505192,0.07202242314815521,0,2,0,0.1827957183122635,0.1329992115497589,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,4,0.9388849139213562,75,FW,Leeds,Brentford,2,2,2021-12-05,16518,2021,500502,0.04164569079875946,0,1,1,0.9388849139213562,1.0557241439819336,0.07519346475601196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,72,DMR,Tottenham,Brentford,2,0,2021-12-02,16515,2021,499423,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.09375586360692978,89,DMR,Brentford,Everton,1,0,2021-11-28,16497,2021,497930,0,0,0,0,0.09375586360692978,0.09375586360692978,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,2,0.1784425675868988,90,DMR,Newcastle United,Brentford,3,3,2021-11-20,16491,2021,495747,0.5458442568778992,2,2,0,0.1784425675868988,0.6600101590156555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,5,0.4892202913761139,90,DMR,Brentford,Norwich,1,2,2021-11-06,16477,2021,493997,0,0,0,0,0.4892202913761139,0.9371780157089233,0.5446701049804688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.0590512678027153,79,DMR,Burnley,Brentford,3,1,2021-10-30,16467,2021,492310,0.09811120480298996,0,1,0,0.0590512678027153,0.212912917137146,0.055750444531440735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,90,DMR,Brentford,Leicester,1,2,2021-10-24,16457,2021,490448,0.05468132719397545,0,2,0,0,0.22739015519618988,0.20484256744384766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,75,DMR,Brentford,Chelsea,0,1,2021-10-16,16448,2021,488339,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,2,0.1442509889602661,90,DMR,West Ham,Brentford,1,2,2021-10-03,16444,2021,487061,0,0,0,0,0.1442509889602661,0.1908973604440689,0.0466463640332222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,DMR,Brentford,Liverpool,3,3,2021-09-25,16432,2021,484972,0,0,0,0,0,0.40493103861808777,0.40493103861808777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
