,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,0.3665228486061096,90,DR,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387753,0,0,0,0,0.3665228486061096,0.3904663026332855,0.3904663026332855,0.0,0.0,19.0,1.0,5.0,5.0,281.0,0.0,0.0,1.4,4.6,2020-03-07T15:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,29.0,0.0,106342.0,0.0,1.0,4.0,5.0,5315.0,7141.0,1826.0,48.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385783,0,0,0,0,0,0.4340868890285492,0.4340868890285492,0.0,0.0,9.0,0.0,0.2,5.0,214.0,1.0,0.0,1.9,16.4,2020-01-11T12:30:00Z,90.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,112350.0,1.0,1.0,2.0,2.0,17320.0,21122.0,3802.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.7903546690940857,90,DC,Arsenal,Manchester United,2,0,2020-01-01,11844,2019,385687,0,0,0,1,0.7903546690940857,0,0,0.0,3.0,37.0,1.0,0.2,5.0,201.0,0.0,1.0,8.9,56.0,2020-01-01T20:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,21.0,0.0,92895.0,0.0,2.0,33.0,15.0,-4502.0,29.0,4531.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,78,DC,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372438,0,0,0,0,0,0.35547518730163574,0.35547518730163574,0.0,0.0,16.0,0.0,0.7,5.0,182.0,1.0,0.0,2.0,19.0,2019-12-26T15:00:00Z,76.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,99995.0,1.0,1.0,0.0,2.0,-1458.0,659.0,2117.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Arsenal,Manchester City,0,3,2019-12-15,11803,2019,370542,0,0,0,0,0,0.09853454679250717,0.09853454679250717,0.0,0.0,7.0,0.0,0.3,5.0,161.0,3.0,0.0,1.2,11.4,2019-12-15T16:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,110140.0,3.0,0.0,0.0,0.0,-4778.0,825.0,5603.0,49.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DC,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369425,0,0,0,0,0,0.9143176674842834,0.9143176674842834,0.0,0.0,12.0,0.0,0.3,5.0,160.0,1.0,0.0,2.2,21.4,2019-12-09T20:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,16.0,0.0,114496.0,3.0,1.0,0.0,2.0,-6449.0,437.0,6886.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367833,0,0,0,0,0,0.16458143293857574,0.16458143293857574,0.0,0.0,14.0,0.0,0.2,5.0,141.0,2.0,0.0,3.1,30.6,2019-12-05T20:15:00Z,90.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,120723.0,2.0,1.0,0.0,0.0,-6451.0,512.0,6963.0,50.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,2,0.10874859988689423,90,DC,Arsenal,Southampton,2,2,2019-11-23,11763,2019,364822,0,0,0,0,0.10874859988689423,0.07526819407939911,0.07526819407939911,0.0,0.0,14.0,0.0,4.4,5.0,121.0,2.0,0.0,5.8,17.2,2019-11-23T15:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,13.0,0.0,134726.0,2.0,2.0,36.0,0.0,-3598.0,5284.0,8882.0,50.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.017750682309269905,90,DC,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,2019,361472,0,0,0,0,0.017750682309269905,0.07201562821865082,0.07201562821865082,0.0,0.0,16.0,0.0,0.4,5.0,101.0,1.0,0.0,4.6,41.4,2019-11-02T15:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,140515.0,1.0,1.0,4.0,2.0,9750.0,14209.0,4459.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,0.08006667345762253,90,DC,Arsenal,Crystal Palace,2,2,2019-10-27,11733,2019,360281,0,0,0,1,0.08006667345762253,0.13858620822429657,0.13858620822429657,0.0,0.0,27.0,0.0,0.3,5.0,91.0,2.0,1.0,7.8,58.8,2019-10-27T16:30:00Z,90.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,128277.0,2.0,2.0,19.0,7.0,-908.0,3080.0,3988.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358965,0,0,0,0,0,0.014122107066214085,0.014122107066214085,0.0,0.0,8.0,0.0,0.8,5.0,88.0,1.0,0.0,1.2,9.2,2019-10-21T19:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,9.0,0.0,128763.0,0.0,1.0,2.0,1.0,2072.0,6641.0,4569.0,50.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DC,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356918,0,0,0,0,0,0.05464360490441322,0.05464360490441322,0.0,0.0,24.0,1.0,0.7,5.0,71.0,0.0,0.0,1.8,17.6,2019-10-06T13:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,125237.0,0.0,1.0,0.0,6.0,-728.0,5475.0,6203.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,DC,Manchester United,Arsenal,1,1,2019-09-30,11712,2019,355790,0,0,0,0,0,0.05944904685020447,0.05944904685020447,0.0,0.0,7.0,0.0,0.3,5.0,67.0,1.0,0.0,1.5,14.6,2019-09-30T19:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,124166.0,1.0,1.0,0.0,2.0,-10276.0,2893.0,13169.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.087061308324337,90,DC,Arsenal,Aston Villa,3,2,2019-09-22,11702,2019,353083,0.3942606747150421,0,1,0,0.087061308324337,0.14850886166095734,0.14850886166095734,0.0,0.0,12.0,0.0,10.5,5.0,51.0,2.0,0.0,3.7,18.6,2019-09-22T15:30:00Z,90.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,133852.0,2.0,3.0,8.0,1.0,-3067.0,6209.0,9276.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,DC,Watford,Arsenal,2,2,2019-09-15,11691,2019,349862,0,0,0,0,0,0.6279090046882629,0.6279090046882629,0.0,0.0,10.0,0.0,0.2,5.0,49.0,2.0,0.0,1.4,13.8,2019-09-15T15:30:00Z,90.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,135300.0,2.0,2.0,0.0,1.0,4377.0,17808.0,13431.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DC,Arsenal,Tottenham,2,2,2019-09-01,11682,2019,348097,0,0,0,0,0,0.0972638726234436,0.0972638726234436,0.0,0.0,9.0,0.0,0.2,5.0,31.0,2.0,0.0,0.8,8.0,2019-09-01T15:30:00Z,90.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,124969.0,2.0,2.0,0.0,0.0,-3108.0,9514.0,12622.0,50.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,DC,Liverpool,Arsenal,3,1,2019-08-24,11670,2019,344248,0,0,0,0,0,0,0,0.0,0.0,16.0,0.0,0.3,5.0,24.0,3.0,0.0,3.4,33.4,2019-08-24T16:30:00Z,90.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,121345.0,1.0,3.0,0.0,1.0,-6542.0,10002.0,16544.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,DC,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341761,0.3587149679660797,0,1,0,0,0.3585618734359741,0.3585618734359741,0.0,0.0,20.0,0.0,11.4,5.0,11.0,1.0,0.0,3.7,24.0,2019-08-17T11:30:00Z,90.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,120270.0,1.0,2.0,2.0,2.0,10172.0,19403.0,9231.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,DC,Newcastle United,Arsenal,0,1,2019-08-11,11650,2019,341526,0,0,0,0,0,0.3383611738681793,0.3383611738681793,0.0,2.0,28.0,1.0,0.4,5.0,10.0,0.0,0.0,2.1,20.2,2019-08-11T13:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,79581.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,90,DC,Arsenal,Brighton,1,1,2019-05-05,9566,2018,331092,0,0,0,0,0,0.1293775886297226,0.1293775886297226,0.0,0.0,12.0,0.0,1.3,12.0,361.0,1.0,0.0,2.2,21.0,2019-05-05T15:30:00Z,90.0,3.0,0.0,0.0,0.0,0.0,37.0,0.0,72872.0,1.0,1.0,0.0,1.0,1113.0,1765.0,652.0,51.0,True,1.0,64.0,0.0,0.0,3.0,59.0,0.0,0.0,0.0,0.0,1.0,20563.0,0.0,05 May 16:30,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
20,0,0,0,90,DC,Leicester,Arsenal,3,0,2019-04-28,9552,2018,328674,0,0,0,0,0,0.31004101037979126,0.31004101037979126,0.0,0.0,5.0,0.0,0.0,12.0,355.0,3.0,0.0,1.6,16.0,2019-04-28T11:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,36.0,0.0,71526.0,0.0,3.0,0.0,0.0,628.0,1146.0,518.0,51.0,False,1.0,26.0,0.0,0.0,6.0,14.0,1.0,0.0,0.0,0.0,1.0,19948.0,0.0,28 Apr 12:00,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
21,1,1,0.48318248987197876,90,DC,Wolverhampton Wanderers,Arsenal,3,1,2019-04-24,9497,2018,327622,0,0,0,1,0.48318248987197876,0,0,0.0,1.0,26.0,0.0,2.3,12.0,310.0,3.0,1.0,8.4,44.4,2019-04-24T18:45:00Z,90.0,20.0,0.0,0.0,0.0,0.0,35.0,0.0,70516.0,1.0,3.0,37.0,8.0,-3811.0,140.0,3951.0,51.0,False,0.0,75.0,0.0,0.0,2.0,68.0,0.0,0.0,0.0,0.0,2.0,19100.0,0.0,24 Apr 19:45,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
22,0,1,0.035351403057575226,90,DC,Everton,Arsenal,1,0,2019-04-07,9524,2018,323225,0,0,0,0,0.035351403057575226,0.0420772023499012,0.0420772023499012,0.0,0.0,15.0,0.0,0.3,12.0,323.0,1.0,0.0,6.2,43.2,2019-04-07T13:05:00Z,90.0,8.0,0.0,0.0,0.0,0.0,33.0,0.0,80431.0,0.0,1.0,18.0,1.0,7310.0,8040.0,730.0,51.0,False,1.0,57.0,0.0,0.0,12.0,51.0,1.0,0.0,0.0,0.0,1.0,18043.0,0.0,07 Apr 14:05,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
23,0,1,0.023427821695804596,90,DC,Arsenal,Newcastle United,2,0,2019-04-01,9507,2018,321465,0,0,0,0,0.023427821695804596,0.12664197385311127,0.12664197385311127,0.0,0.0,27.0,1.0,0.2,12.0,311.0,0.0,0.0,1.6,12.0,2019-04-01T19:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,32.0,0.0,71334.0,0.0,2.0,4.0,6.0,1743.0,2410.0,667.0,51.0,True,0.0,52.0,0.0,0.0,5.0,47.0,0.0,0.0,0.0,0.0,1.0,17143.0,0.0,01 Apr 20:00,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0
24,0,1,0.031048230826854706,90,DC,Arsenal,Manchester United,2,0,2019-03-10,9496,2018,315346,0.061711426824331284,0,1,0,0.031048230826854706,0.2075071483850479,0.14579571783542633,0.0,0.0,25.0,1.0,10.5,12.0,291.0,0.0,0.0,4.1,12.2,2019-03-10T16:30:00Z,90.0,14.0,0.0,0.0,0.0,0.0,30.0,0.0,67673.0,0.0,2.0,18.0,5.0,308.0,954.0,646.0,51.0,True,1.0,30.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,2.0,16228.0,1.0,10 Mar 16:30,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
25,0,0,0,90,DC,Tottenham,Arsenal,1,1,2019-03-02,9480,2018,305225,0,0,0,0,0,0.13544324040412903,0.13544324040412903,0.0,0.0,10.0,0.0,0.0,12.0,287.0,1.0,0.0,1.1,11.4,2019-03-02T12:30:00Z,90.0,17.0,0.0,0.0,0.0,0.0,29.0,0.0,66995.0,1.0,1.0,0.0,2.0,-415.0,546.0,961.0,51.0,False,0.0,19.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,15622.0,0.0,02 Mar 12:30,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
26,0,0,0,90,DC,Arsenal,Bournemouth,5,1,2019-02-27,9470,2018,305046,0,0,0,0,0,1.0735493898391724,1.0735493898391724,0.0,0.0,6.0,0.0,1.5,12.0,271.0,1.0,0.0,1.4,10.0,2019-02-27T19:45:00Z,90.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,67340.0,1.0,5.0,2.0,1.0,1093.0,1430.0,337.0,51.0,True,1.0,66.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,15017.0,0.0,27 Feb 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,1,0.06887055933475494,90,DC,Arsenal,Southampton,2,0,2019-02-24,9466,2018,304907,0,0,0,0,0.06887055933475494,0.18587735295295715,0.18587735295295715,0.0,0.0,28.0,1.0,0.4,12.0,261.0,0.0,0.0,2.5,20.6,2019-02-24T14:05:00Z,90.0,16.0,0.0,0.0,0.0,0.0,27.0,0.0,67009.0,0.0,2.0,4.0,6.0,277.0,1755.0,1478.0,51.0,True,0.0,71.0,0.0,0.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,14533.0,0.0,24 Feb 14:05,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
28,0,1,0.04121866077184677,90,DC,Arsenal,Chelsea,2,0,2019-01-19,9426,2018,303782,0.4478936791419983,1,1,0,0.04121866077184677,0.4092835485935211,0.4092835485935211,1.0,2.0,39.0,1.0,14.6,12.0,221.0,0.0,0.0,5.6,37.8,2019-01-19T17:30:00Z,90.0,6.0,0.0,0.0,0.0,0.0,23.0,0.0,71125.0,0.0,2.0,4.0,11.0,-1900.0,696.0,2596.0,51.0,True,0.0,49.0,1.0,0.0,6.0,45.0,0.0,0.0,0.0,0.0,2.0,12117.0,1.0,19 Jan 17:30,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
29,0,0,0,90,DC,West Ham,Arsenal,1,0,2019-01-12,9407,2018,303334,0,0,0,0,0,0.29394903779029846,0.29394903779029846,0.0,0.0,14.0,0.0,0.3,12.0,220.0,1.0,0.0,2.1,20.4,2019-01-12T12:30:00Z,90.0,19.0,0.0,0.0,0.0,0.0,22.0,0.0,72717.0,0.0,1.0,0.0,2.0,-410.0,2120.0,2530.0,51.0,False,0.0,67.0,0.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,1.0,11543.0,0.0,12 Jan 12:30,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
30,0,1,0.05718982592225075,90,DC,Arsenal,Fulham,4,1,2019-01-01,9406,2018,303074,0.05050364136695862,1,1,0,0.05718982592225075,0.508776068687439,0.4515862762928009,1.0,0.0,21.0,0.0,10.4,12.0,201.0,1.0,0.0,6.2,33.4,2019-01-01T15:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,21.0,0.0,72204.0,1.0,4.0,18.0,5.0,113.0,2181.0,2068.0,51.0,True,0.0,44.0,0.0,0.0,7.0,37.0,1.0,0.0,0.0,0.0,4.0,10973.0,1.0,01 Jan 15:00,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0
31,0,0,0,90,DC,Liverpool,Arsenal,5,1,2018-12-29,9391,2018,291522,0.03592345491051674,0,1,0,0,0.0685722604393959,0.0685722604393959,0.0,0.0,12.0,0.0,10.1,12.0,196.0,5.0,0.0,2.7,17.0,2018-12-29T17:30:00Z,90.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,71329.0,1.0,5.0,0.0,-1.0,-2196.0,1108.0,3304.0,51.0,False,1.0,85.0,0.0,0.0,7.0,80.0,1.0,0.0,0.0,0.0,1.0,10405.0,1.0,29 Dec 17:30,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0
