,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,10,Sub,Udinese,Venezia,3,0,2021-08-27,16766,2021,478478,0,0,0,0,0,0.028811316937208176,0.028811316937208176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.0446489155292511,7,Sub,Udinese,Juventus,2,2,2021-08-22,16761,2021,477931,0.3497576117515564,1,1,0,0.0446489155292511,0.3944065272808075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,61,FW,Inter,Udinese,5,1,2021-05-23,15804,2020,473247,0,0,0,0,0,0.03772629052400589,0.03772629052400589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,74,FW,Udinese,Sampdoria,0,1,2021-05-16,15793,2020,471423,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,0.07142430543899536,77,FW,Napoli,Udinese,5,1,2021-05-11,15784,2020,469978,0.09079790115356445,0,1,1,0.07142430543899536,0.16222220659255981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,FW,Udinese,Bologna,1,1,2021-05-08,15767,2020,468487,0.013170233927667141,0,1,0,0,0.013170233927667141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.02364429086446762,90,FW,Udinese,Juventus,1,2,2021-05-02,15762,2020,467767,0,0,0,0,0.02364429086446762,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.09991269558668137,74,FW,Benevento,Udinese,2,4,2021-04-25,15754,2020,465705,0,0,0,0,0.09991269558668137,0.5925041437149048,0.4925914406776428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.04240988567471504,90,FW,Udinese,Cagliari,0,1,2021-04-21,15738,2020,464466,0,0,0,0,0.04240988567471504,0.09036144614219666,0.047951556742191315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.11437436193227768,90,FW,Crotone,Udinese,1,2,2021-04-17,15734,2020,462700,0,0,0,0,0.11437436193227768,0.3584561347961426,0.2440817952156067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,25,Sub,Udinese,Torino,0,1,2021-04-10,15725,2020,461431,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.045061565935611725,59,FW,Atalanta,Udinese,3,2,2021-04-03,15714,2020,459241,0,0,0,0,0.045061565935611725,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.5443756580352783,26,Sub,Udinese,Lazio,0,1,2021-03-21,15700,2020,458655,0,0,0,0,0.5443756580352783,0.06015031412243843,0.06015031412243843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,0.3301340341567993,29,Sub,Parma Calcio 1913,Udinese,2,2,2021-02-21,15654,2020,451024,0,0,0,1,0.3301340341567993,0.39523330330848694,0.06509925425052643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.09004851430654526,26,Sub,Roma,Udinese,3,0,2021-02-14,15645,2020,449398,0,0,0,0,0.09004851430654526,0.09004851430654526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,11,Sub,Udinese,Verona,2,0,2021-02-07,15635,2020,448237,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,FW,Udinese,Genoa,1,0,2020-11-22,15504,2020,428857,0.011415906250476837,0,1,0,0,0.09305525571107864,0.0816393494606018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,86,FW,Sassuolo,Udinese,0,0,2020-11-06,15494,2020,425916,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,71,FW,Udinese,AC Milan,1,2,2020-11-01,15484,2020,424888,0,0,0,0,0,0.10194755345582962,0.10194755345582962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,3,1.2216798067092896,90,FW,Fiorentina,Udinese,3,2,2020-10-25,15469,2020,423743,0.2505210340023041,0,1,2,1.2216798067092896,1.0468072891235352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,3,0.5366227030754089,90,FW,Udinese,Parma Calcio 1913,3,2,2020-10-18,15463,2020,422141,0.01978886127471924,1,1,0,0.5366227030754089,0.7807550430297852,0.22434347867965698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2,0.440907746553421,90,FW,Udinese,Roma,0,1,2020-10-03,15449,2020,419757,0,0,0,0,0.440907746553421,0.440907746553421,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
