,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Rennes,Nantes,3,0,2022-10-09,19746,2022,555017,0,0,0,0,0,0.16372288763523102,0.16372288763523102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Strasbourg,Rennes,1,3,2022-10-01,19735,2022,552466,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,GK,Marseille,Rennes,1,1,2022-09-18,19725,2022,551241,0,0,0,0,0,0.019197437912225723,0.019197437912225723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,GK,Rennes,Auxerre,5,0,2022-09-11,19716,2022,549866,0.9789037704467773,1,1,0,0,0.9789037704467773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,GK,Troyes,Rennes,1,1,2022-09-04,19707,2022,548073,0,0,0,0,0,1.11668860912323,1.11668860912323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,GK,Rennes,Brest,3,1,2022-08-31,19696,2022,546551,0,0,0,0,0,0.021177539601922035,0.021177539601922035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,50,GK,Monaco,Rennes,1,1,2022-08-13,19659,2022,540747,0,0,0,0,0,0.05761918053030968,0.05761918053030968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,GK,Rennes,Lorient,0,1,2022-08-07,19656,2022,540032,0,0,0,0,0,0.11473340541124344,0.11473340541124344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,GK,Marseille,Strasbourg,4,0,2022-05-21,18195,2021,537468,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,GK,Rennes,Marseille,2,0,2022-05-14,18186,2021,535769,0,0,0,0,0,0.06586834788322449,0.06586834788322449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,GK,Lorient,Marseille,0,3,2022-05-08,18177,2021,533680,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,GK,Reims,Marseille,0,1,2022-04-24,18159,2021,529697,0,0,0,0,0,0.029055017977952957,0.029055017977952957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,GK,Marseille,Montpellier,2,0,2022-04-10,18128,2021,525784,0,0,0,0,0,0.6579721570014954,0.6579721570014954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,GK,Marseille,Metz,0,0,2021-11-07,17946,2021,494407,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,GK,Marseille,Saint-Etienne,3,1,2021-08-28,17854,2021,479300,0.054429471492767334,0,1,0,0,0.16823585331439972,0.11380638182163239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,GK,Marseille,Bordeaux,2,2,2021-08-15,17841,2021,476413,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,GK,Montpellier,Marseille,2,3,2021-08-08,17831,2021,475096,0,0,0,0,0,0.17287211120128632,0.17287211120128632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,GK,Metz,Marseille,1,1,2021-05-23,16130,2020,473914,0,0,0,0,0,0.07769373804330826,0.07769373804330826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,GK,Marseille,Angers,3,2,2021-05-16,16120,2020,472049,0,0,0,0,0,0.45512115955352783,0.45512115955352783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,90,GK,Saint-Etienne,Marseille,1,0,2021-05-09,16114,2020,469067,0,0,0,0,0,0.10138630121946335,0.10138630121946335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,GK,Marseille,Strasbourg,1,1,2021-04-30,16100,2020,466737,0,0,0,0,0,0.016780419275164604,0.016780419275164604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,90,GK,Reims,Marseille,1,3,2021-04-23,16090,2020,465020,0,0,0,0,0,0.558808445930481,0.558808445930481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,90,GK,Marseille,Lorient,3,2,2021-04-17,16081,2020,463009,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,90,GK,Montpellier,Marseille,3,3,2021-04-10,16071,2020,461497,0,0,0,0,0,0.037696339190006256,0.037696339190006256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,GK,Marseille,Dijon,2,0,2021-04-04,16062,2020,460552,0,0,0,0,0,0.07383300364017487,0.07383300364017487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,GK,Nice,Marseille,3,0,2021-03-20,16046,2020,458183,0,0,0,0,0,0.05327507480978966,0.05327507480978966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,90,GK,Marseille,Brest,3,1,2021-03-13,16040,2020,456391,0,0,0,0,0,0.30563855171203613,0.30563855171203613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,90,GK,Marseille,Rennes,1,0,2021-03-10,15971,2020,455727,0,0,0,0,0,0.07733433693647385,0.07733433693647385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,90,GK,Lille,Marseille,2,0,2021-03-03,16028,2020,454007,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,90,GK,Marseille,Lyon,1,1,2021-02-28,16025,2020,453382,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,90,GK,Nantes,Marseille,1,1,2021-02-20,16010,2020,450771,0,0,0,0,0,0.4496459364891052,0.4496459364891052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,90,GK,Marseille,Nice,3,2,2021-02-17,15860,2020,450222,0,0,0,0,0,0.023768702521920204,0.023768702521920204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,90,GK,Bordeaux,Marseille,0,0,2021-02-14,15997,2020,450006,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,90,GK,Marseille,Paris Saint Germain,0,2,2021-02-07,15995,2020,448616,0,0,0,0,0,0.024041859433054924,0.024041859433054924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,90,GK,Lens,Marseille,2,2,2021-02-03,15978,2020,447139,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,90,GK,Monaco,Marseille,3,1,2021-01-23,15960,2020,444337,0,0,0,0,0,0.3160954713821411,0.3160954713821411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
