,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DMC,Tottenham,Southampton,3,1,2018-12-05,9346,2018,278160,0.45079314708709717,1,3,0,0,0.533798336982727,0.12865033745765686,1.0,63.0,1.0,0.0,2.0,33.0,0.0,6.0,60.0,41.3,0.0,0.0,337.0,0.0,0.0,150.0,2.0,3.0,0.0,8.1,7918.0,37.6,3.0,2018-12-05T20:00:00Z,05 Dec 20:00,0.0,0.0,90.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,7.0,0.0,15.0,0.0,3659.0,0.0,1.0,0.0,1.0,3.0,2.0,7.0,-48.0,38.0,86.0,46.0,False,0.0,0.0
1,0,0,0,1,Sub,Southampton,Manchester United,2,2,2018-12-01,9327,2018,277819,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.1,0.0,0.0,337.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,7362.0,0.2,0.0,2018-12-01T17:30:00Z,01 Dec 17:30,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,3698.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,-37.0,34.0,71.0,46.0,True,0.0,0.0
2,0,0,0,5,Sub,Southampton,Brighton,2,2,2018-09-17,9246,2018,259946,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.2,0.0,0.0,337.0,0.0,0.0,47.0,0.0,1.0,0.0,0.1,2457.0,1.0,0.0,2018-09-17T19:00:00Z,17 Sep 20:00,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4822.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,-463.0,134.0,597.0,48.0,True,0.0,0.0
3,0,0,0,32,Sub,Leicester,Southampton,0,0,2018-04-19,7464,2017,233900,0,0,0,0,0,0.01927271857857704,0.01927271857857704,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.4,0.0,0.0,316.0,0.0,0.0,346.0,0.0,0.0,0.0,0.1,19333.0,0.4,0.0,2018-04-19T18:45:00Z,19 Apr 19:45,0.0,0.0,32.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,81512.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1277.0,279.0,1556.0,47.0,False,0.0,0.0
4,0,0,0,9,Sub,Southampton,Liverpool,0,2,2018-02-11,7384,2017,215199,0,0,0,0,0,0,0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.6,0.0,0.0,316.0,0.0,0.0,266.0,0.0,0.0,0.0,0.2,15120.0,1.0,0.0,2018-02-11T16:30:00Z,11 Feb 16:30,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,113012.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,-8000.0,644.0,8644.0,48.0,True,0.0,0.0
5,0,1,0.011437587440013885,90,AMC,Southampton,Brighton,1,1,2018-01-31,7363,2017,215496,0.032807059586048126,0,1,0,0.011437587440013885,0.07697468250989914,0.06553709506988525,0.0,58.0,0.0,0.0,0.0,7.0,0.0,1.0,48.0,17.9,0.0,0.0,316.0,0.0,0.0,248.0,2.0,1.0,0.0,3.7,13882.0,7.8,1.0,2018-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,25.0,0.0,124856.0,4.0,0.0,0.0,1.0,1.0,11.0,2.0,-3987.0,3026.0,7013.0,48.0,True,0.0,0.0
6,0,0,0,9,Sub,Southampton,Tottenham,1,1,2018-01-21,7355,2017,209898,0,0,0,0,0,0.09805186092853546,0.09805186092853546,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.3,1.0,0.0,316.0,0.0,0.0,237.0,0.0,0.0,0.0,0.6,13279.0,5.6,0.0,2018-01-21T16:00:00Z,21 Jan 16:00,0.0,0.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,128687.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,-3987.0,4148.0,8135.0,48.0,True,0.0,0.0
7,0,0,0,64,AML,Watford,Southampton,2,2,2018-01-13,7347,2017,207756,0.17084939777851105,0,2,0,0,0.2444590926170349,0.1965349316596985,1.0,36.0,0.0,0.0,0.0,16.0,0.0,1.0,26.0,23.3,0.0,0.0,316.0,1.0,0.0,229.0,0.0,1.0,0.0,3.1,12681.0,4.0,2.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,62.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,132494.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,-15713.0,1456.0,17169.0,49.0,False,0.0,0.0
8,0,0,0,18,Sub,Southampton,Crystal Palace,1,2,2018-01-02,7336,2017,206559,0,0,0,0,0,0,0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,1.0,0.0,0.0,316.0,0.0,0.0,217.0,0.0,1.0,0.0,0.5,12029.0,4.0,0.0,2018-01-02T19:45:00Z,02 Jan 19:45,0.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,0.0,148064.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,-11910.0,2232.0,14142.0,49.0,True,0.0,0.0
9,0,1,0.0985245481133461,76,DMC,Southampton,Huddersfield,1,1,2017-12-23,7307,2017,203147,0,0,0,0,0.0985245481133461,0.594875156879425,0.49635058641433716,0.0,37.0,0.0,0.0,0.0,12.0,0.0,3.0,26.0,0.9,0.0,0.0,316.0,0.0,0.0,187.0,0.0,1.0,0.0,3.3,10332.0,13.8,0.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,71.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,190027.0,1.0,0.0,0.0,1.0,1.0,18.0,2.0,-14547.0,6919.0,21466.0,50.0,True,0.0,0.0
10,0,0,0,90,AMC,Southampton,Leicester,1,4,2017-12-13,7285,2017,202981,0,0,0,0,0,0.04658040404319763,0.04658040404319763,0.0,57.0,0.0,0.0,0.0,9.0,0.0,2.0,43.0,13.8,0.0,0.0,316.0,0.0,0.0,168.0,2.0,4.0,0.0,2.4,9174.0,10.4,0.0,2017-12-13T19:45:00Z,13 Dec 19:45,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0,0.0,217894.0,3.0,1.0,0.0,4.0,1.0,0.0,2.0,-12139.0,4977.0,17116.0,51.0,True,0.0,0.0
11,0,0,0,1,Sub,Southampton,Arsenal,1,1,2017-12-10,7278,2017,198943,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.1,0.0,0.0,316.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,8597.0,0.0,0.0,2017-12-10T12:00:00Z,10 Dec 12:00,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,229603.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-16435.0,5996.0,22431.0,51.0,True,0.0,0.0
12,0,1,0.035747796297073364,86,DMC,Bournemouth,Southampton,1,1,2017-12-03,7267,2017,179552,0,0,0,0,0.035747796297073364,0.20045994222164154,0.20045994222164154,0.0,71.0,0.0,0.0,0.0,15.0,0.0,3.0,59.0,12.9,2.0,0.0,316.0,0.0,0.0,142.0,0.0,1.0,0.0,2.7,8023.0,9.6,0.0,2017-12-03T13:30:00Z,03 Dec 13:30,0.0,0.0,84.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,245345.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,-6940.0,11702.0,18642.0,51.0,False,0.0,0.0
13,1,1,0.05547148734331131,90,DMC,Southampton,Everton,4,1,2017-11-26,7241,2017,179593,0.01750246435403824,0,1,1,0.05547148734331131,0.3125264644622803,0.23955251276493073,0.0,78.0,0.0,0.0,0.0,32.0,0.0,2.0,64.0,15.7,0.0,0.0,316.0,0.0,0.0,126.0,0.0,1.0,1.0,7.1,6882.0,48.0,1.0,2017-11-26T13:30:00Z,26 Nov 13:30,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,249745.0,0.0,0.0,0.0,1.0,4.0,7.0,7.0,-8135.0,13565.0,21700.0,51.0,True,0.0,0.0
14,0,0,0,90,DMC,Liverpool,Southampton,3,0,2017-11-18,7231,2017,178814,0,0,0,0,0,0,0,0.0,37.0,0.0,0.0,0.0,14.0,0.0,6.0,28.0,5.6,1.0,0.0,316.0,0.0,0.0,117.0,0.0,3.0,0.0,1.9,6313.0,13.2,0.0,2017-11-18T15:00:00Z,18 Nov 15:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,256888.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,-8380.0,16188.0,24568.0,51.0,False,0.0,0.0
15,0,2,0.11866942793130875,90,DMC,Southampton,Burnley,0,1,2017-11-04,7223,2017,179155,0,0,0,0,0.11866942793130875,0.17942295968532562,0.1146346926689148,0.0,79.0,0.0,0.0,0.0,16.0,0.0,0.0,72.0,13.3,1.0,0.0,316.0,0.0,0.0,105.0,0.0,1.0,0.0,3.0,5747.0,11.4,0.0,2017-11-04T15:00:00Z,04 Nov 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,263584.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,29906.0,41050.0,11144.0,51.0,True,0.0,0.0
16,1,1,0.29433220624923706,90,MC,Brighton,Southampton,1,1,2017-10-29,7211,2017,177659,0.012879387475550175,0,1,1,0.29433220624923706,0.06956323236227036,0.06956323236227036,0.0,57.0,0.0,0.0,3.0,31.0,0.0,2.0,51.0,16.4,2.0,0.0,316.0,0.0,0.0,93.0,1.0,1.0,1.0,8.0,5184.0,46.2,1.0,2017-10-29T13:30:00Z,29 Oct 13:30,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,231335.0,2.0,0.0,0.0,1.0,1.0,17.0,10.0,-27203.0,7226.0,34429.0,51.0,False,0.0,0.0
