,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,51,DR,Leeds,Manchester City,0,4,2022-04-30,16723,2021,530708,0,0,0,0,0,0,0,0,0,-2,0,0.5,188,343,1,0,0.0,0.0,2022-04-30T16:30:00Z,45,12,0,0,0,0,35,0,260691,4,0,0.0,1,-1165,778,1943,49,True,0
1,0,2,0.07083786278963089,90,DL,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529883,0.07425646483898163,0,1,0,0.07083786278963089,0.14509432017803192,0.07425646483898163,0,0,8,1,12.5,188,336,0,0,4.0,18.0,2022-04-25T19:00:00Z,90,7,0,0,0,0,34,0,261735,0,0,9.0,3,-1460,916,2376,49,False,0
2,0,0,0,90,DL,Watford,Leeds,0,3,2022-04-09,16686,2021,524649,0.15984629094600677,0,2,0,0,0.03482683375477791,0.03482683375477791,0,0,21,1,30.8,188,320,0,0,5.4,23.4,2022-04-09T14:00:00Z,90,18,0,0,0,0,32,0,267545,3,0,0.0,3,-1868,717,2585,49,False,0
3,0,1,0.06227187439799309,90,DL,Leeds,Southampton,1,1,2022-04-02,16681,2021,522807,0,0,0,0,0.06227187439799309,0.06227187439799309,0,0,0,11,0,3.2,188,305,1,0,4.2,17.4,2022-04-02T14:00:00Z,90,16,0,0,0,0,31,0,269350,1,1,21.0,2,-2226,1356,3582,49,True,0
4,0,0,0,90,DL,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520947,0,0,0,0,0,0.628646969795227,0.628646969795227,0,0,14,0,6.3,188,300,2,0,2.9,22.8,2022-03-18T20:00:00Z,90,20,0,0,0,0,30,0,270679,3,2,0.0,2,-257,1722,1979,49,False,0
5,0,0,0,90,DL,Leeds,Norwich,2,1,2022-03-13,16662,2021,520041,0.43488049507141113,0,1,0,0,0.8203153014183044,0.8203153014183044,0,0,12,0,20.0,188,287,1,0,3.1,8.8,2022-03-13T14:00:00Z,90,15,0,0,0,0,29,0,271116,1,2,2.0,2,-2993,2364,5357,49,True,0
6,0,0,0,90,DR,Leeds,Aston Villa,0,3,2022-03-10,16572,2021,518940,0,0,0,0,0,0,0,0,0,19,0,2.4,188,196,3,0,2.4,21.4,2022-03-10T19:45:00Z,90,2,0,0,0,0,28,0,274639,3,0,0.0,2,-1535,2856,4391,49,True,0
7,0,0,0,90,DR,Leicester,Leeds,1,0,2022-03-05,16648,2021,517266,0.1688726842403412,0,3,0,0,0.9120888710021973,0.9120888710021973,0,0,12,0,41.2,188,273,1,0,6.5,22.2,2022-03-05T12:30:00Z,90,9,0,0,0,0,28,0,274639,0,1,2.0,2,-1535,2856,4391,49,False,0
8,0,3,0.6399930715560913,90,MC,Leeds,Tottenham,0,4,2022-02-26,16642,2021,515726,0.443013459444046,0,1,0,0.6399930715560913,0.7340781688690186,0.09408508241176605,0,0,13,0,25.6,188,267,4,0,6.7,10.6,2022-02-26T12:30:00Z,90,17,0,0,0,0,27,0,275050,4,0,31.0,1,-3019,1240,4259,49,True,1
9,0,1,0.08646031469106674,90,DR,Liverpool,Leeds,6,0,2022-02-23,16559,2021,515356,0,0,0,0,0.08646031469106674,0.12249597162008286,0.03603566065430641,0,0,0,0,0.3,188,184,6,0,0.7,2.8,2022-02-23T19:45:00Z,90,11,0,0,0,0,26,0,276408,0,6,4.0,2,-12498,538,13036,49,False,0
10,0,0,0,90,DL,Leeds,Manchester United,2,4,2022-02-20,16630,2021,514683,0,0,0,0,0,0.0974472314119339,0.0974472314119339,0,0,16,0,1.7,188,255,4,0,2.8,25.8,2022-02-20T14:00:00Z,90,13,0,0,0,0,26,0,276408,4,2,0.0,2,-12498,538,13036,49,True,0
11,0,0,0,8,DL,Everton,Leeds,3,0,2022-02-12,16619,2021,512718,0,0,0,0,0,0,0,0,0,3,0,0.0,188,244,0,0,0.4,3.6,2022-02-12T15:00:00Z,8,8,0,0,0,0,25,0,290937,0,3,0.0,1,-4356,2772,7128,49,False,0
12,0,1,0.017088187858462334,90,DL,Aston Villa,Leeds,3,3,2022-02-09,16606,2021,512244,0.4755668342113495,0,1,0,0.017088187858462334,0.15792225301265717,0.14083407819271088,0,0,14,0,21.3,188,231,3,0,4.4,13.2,2022-02-09T20:00:00Z,90,2,0,0,0,0,24,0,295169,3,3,9.0,1,-5247,2683,7930,49,False,1
13,0,0,0,90,DL,Leeds,Newcastle United,0,1,2022-01-22,16601,2021,509704,0,0,0,0,0,0.07035187631845474,0.07035187631845474,0,0,10,0,10.7,188,226,1,0,3.3,22.4,2022-01-22T15:00:00Z,90,14,0,0,0,0,23,0,300472,1,0,0.0,1,-792,6077,6869,50,True,1
14,0,1,0.07245131582021713,90,DR,West Ham,Leeds,2,3,2022-01-16,16594,2021,508454,0.017374692484736443,0,1,0,0.07245131582021713,0.5161093473434448,0.4262833297252655,0,0,23,0,15.5,188,219,2,0,5.0,27.4,2022-01-16T14:00:00Z,90,19,0,0,0,0,22,0,298640,3,2,7.0,2,-2797,7468,10265,50,False,0
15,1,4,0.11868321895599365,90,DMR,Leeds,Burnley,3,1,2022-01-02,16581,2021,505624,0.028294498100876808,0,1,1,0.11868321895599365,0.3901404142379761,0.3618459105491638,0,3,32,0,15.2,188,206,1,1,11.6,58.6,2022-01-02T14:00:00Z,90,5,0,0,0,0,21,0,302619,1,3,42.0,10,-5803,3159,8962,50,True,0
16,0,0,0,90,DL,Leeds,Arsenal,1,4,2021-12-18,16548,2021,503848,0.028425049036741257,0,1,0,0,0.013727394863963127,0.013727394863963127,0,0,12,0,15.3,188,173,4,0,3.5,15.4,2021-12-18T17:30:00Z,90,1,0,0,0,0,18,0,341879,4,1,4.0,1,-3040,7095,10135,50,True,1
17,0,1,0.03872127830982208,90,DMC,Manchester City,Leeds,7,0,2021-12-14,16545,2021,503083,0,0,0,0,0.03872127830982208,0.03872127830982208,0,0,0,9,0,1.0,188,170,7,0,0.9,4.8,2021-12-14T20:00:00Z,90,12,0,0,0,0,17,0,340679,0,7,3.0,2,-14845,2765,17610,50,False,0
18,0,0,0,90,DR,Chelsea,Leeds,3,2,2021-12-11,16530,2021,501683,0,0,0,0,0,0.5565701127052307,0.5565701127052307,0,0,8,0,0.6,188,155,3,0,2.3,22.2,2021-12-11T15:00:00Z,90,6,0,0,0,0,16,0,354921,2,3,0.0,2,-19832,3049,22881,51,False,0
19,0,1,0.023475104942917824,90,DMR,Leeds,Brentford,2,2,2021-12-05,16518,2021,500482,0,0,0,0,0.023475104942917824,0.09072202444076538,0.09072202444076538,0,0,17,0,7.7,188,143,2,0,3.6,21.6,2021-12-05T14:00:00Z,90,3,0,0,0,0,15,0,375624,2,2,7.0,2,-17193,4441,21634,51,True,0
20,0,1,0.057385943830013275,90,DR,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498730,0.06193818897008896,0,1,0,0.057385943830013275,0.8761904239654541,0.8188045024871826,0,0,9,1,19.1,188,133,0,0,6.3,26.2,2021-11-30T20:15:00Z,90,7,0,0,0,0,14,0,392857,0,1,18.0,2,-3996,8718,12714,51,True,1
21,0,1,0.01260412484407425,90,MC,Brighton,Leeds,0,0,2021-11-27,16498,2021,497594,0.021249432116746902,0,1,0,0.01260412484407425,0.03385355696082115,0.021249432116746902,0,0,17,1,11.3,188,123,0,0,4.3,24.2,2021-11-27T17:30:00Z,90,4,0,0,0,0,13,0,396264,0,0,7.0,3,-9784,8184,17968,51,False,0
22,0,1,0.018096640706062317,90,MR,Tottenham,Leeds,2,1,2021-11-21,16493,2021,496617,0.28894364833831787,0,5,0,0.018096640706062317,0.13347680866718292,0.058833248913288116,0,2,28,0,62.7,188,118,2,0,9.7,27.0,2021-11-21T16:30:00Z,90,17,0,0,0,0,12,0,405212,1,2,7.0,4,-27530,5470,33000,51,False,0
23,0,0,0,90,DR,Leeds,Leicester,1,1,2021-11-07,16482,2021,494614,0.30430272221565247,0,2,0,0,0.29974257946014404,0.028714356943964958,0,0,15,0,30.1,188,107,1,0,5.1,20.6,2021-11-07T14:00:00Z,90,9,0,0,0,0,11,0,431844,1,1,0.0,2,-32634,3637,36271,52,True,0
24,0,2,0.06110978499054909,90,MC,Norwich,Leeds,1,2,2021-10-31,16472,2021,492832,0.5335612297058105,0,1,0,0.06110978499054909,0.5813944339752197,0.033236313611269,0,0,11,0,14.7,188,97,1,0,4.9,18.4,2021-10-31T14:00:00Z,90,15,0,0,0,0,10,0,464396,2,1,16.0,2,-29366,13033,42399,52,False,0
25,0,1,0.027935024350881577,90,DL,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,489996,0.06517256796360016,0,2,0,0.027935024350881577,0.08488043397665024,0.08488043397665024,0,1,22,0,31.4,188,87,1,0,6.4,24.2,2021-10-23T14:00:00Z,90,20,0,0,0,0,9,0,492237,1,1,8.0,3,-35157,6209,41366,52,True,0
26,0,0,0,90,MC,Southampton,Leeds,1,0,2021-10-16,16454,2021,488203,0,0,0,0,0,0.43510347604751587,0.43510347604751587,0,0,15,0,1.9,188,79,1,0,2.2,19.6,2021-10-16T14:00:00Z,90,16,0,0,0,0,8,0,526484,0,1,0.0,2,-66928,7730,74658,53,False,0
27,0,5,0.3427318036556244,80,MC,Leeds,Watford,1,0,2021-10-02,16440,2021,486443,0.050155822187662125,0,2,0,0.3427318036556244,0.6361488103866577,0.2432611882686615,0,0,14,1,24.3,188,65,0,0,8.3,9.4,2021-10-02T14:00:00Z,77,18,0,0,0,0,7,0,592359,0,1,49.0,3,-62009,11443,73452,53,True,0
28,0,3,0.17067401111125946,90,MC,Leeds,West Ham,1,2,2021-09-25,16429,2021,484735,0.09877912700176239,0,1,0,0.17067401111125946,0.4915485084056854,0.22209537029266357,0,0,8,0,19.6,188,56,2,0,5.4,8.0,2021-09-25T14:00:00Z,90,19,0,0,0,0,6,0,651985,2,1,26.0,2,-89376,12967,102343,54,True,0
29,0,0,0,90,DR,Newcastle United,Leeds,1,1,2021-09-17,16416,2021,481710,0.038143038749694824,0,1,0,0,0.11821913719177246,0.08007609844207764,0,0,11,0,15.4,188,46,1,0,2.6,10.2,2021-09-17T19:00:00Z,90,14,0,0,0,0,5,0,738888,1,1,0.0,2,-87524,36928,124452,54,False,0
30,0,0,0,90,MC,Leeds,Liverpool,0,3,2021-09-12,16414,2021,481182,0,0,0,0,0,0.07212793081998825,0.07212793081998825,0,0,12,0,4.3,188,36,3,0,1.4,6.0,2021-09-12T15:30:00Z,90,11,0,0,0,0,4,0,817782,3,0,4.0,2,-170248,40612,210860,55,True,0
31,0,1,0.014998146332800388,90,MC,Burnley,Leeds,1,1,2021-08-29,16403,2021,479553,0,0,0,0,0.014998146332800388,0.1466214507818222,0.131623312830925,0,0,11,0,2.1,188,29,1,0,2.0,7.4,2021-08-29T13:00:00Z,90,5,0,0,0,0,3,0,984820,1,1,10.0,2,-96116,36656,132772,55,False,0
32,0,0,0,90,MC,Leeds,Everton,2,2,2021-08-21,16390,2021,476990,0.06575489044189453,0,2,0,0,0.1509060561656952,0.0966539978981018,0,0,23,0,27.8,188,14,2,0,5.2,22.6,2021-08-21T14:00:00Z,90,8,0,0,0,0,2,0,1075755,2,2,2.0,2,-17385,54731,72116,55,True,0
33,0,0,0,90,DL,Manchester United,Leeds,5,1,2021-08-14,16377,2021,475280,0.021045027300715446,1,1,0,0,0.04392537847161293,0.022880351170897484,1,0,25,0,13.1,188,6,5,0,4.3,29.6,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,1045606,1,5,0.0,5,0,0,0,55,False,0
34,0,0,0,90,MC,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473314,0.016011154279112816,0,1,0,0,0.27119845151901245,0.27119845151901245,0,0,16,0,16.8,200,372,1,0,3.9,10.6,2021-05-23T15:00:00Z,90,18,0,0,0,0,38,0,2733260,1,3,12.0,2,160683,176111,15428,55,True,0
