,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,2,0.09522268176078796,90,DC,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554088,0,0,0,0,0.09522268176078796,0.11392063647508621,0.11392063647508621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.02233252301812172,90,DC,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552377,0.058340251445770264,0,1,0,0.02233252301812172,0.3953789472579956,0.3953789472579956,1.0,0.0,26.0,0.0,10.8,377.0,84.0,1.0,0.0,5.0,20.4,2022-10-01T14:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,190595.0,4.0,1.0,19.0,5.0,-18534.0,4548.0,23082.0,44.0,False,0.0
2,0,2,0.18097946047782898,90,DC,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547277,0,0,0,0,0.18097946047782898,0.11365681886672974,0.11365681886672974,0.0,0.0,24.0,1.0,0.7,377.0,57.0,0.0,0.0,6.2,14.6,2022-09-03T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,178010.0,0.0,0.0,47.0,6.0,-9181.0,8316.0,17497.0,44.0,True,0.0
3,0,0,0,90,DC,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545094,0,0,0,0,0,0.15184254944324493,0.15184254944324493,0.0,0.0,14.0,0.0,1.1,377.0,40.0,1.0,0.0,2.6,18.6,2022-08-28T13:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,193679.0,1.0,1.0,6.0,2.0,-4792.0,11686.0,16478.0,45.0,False,0.0
4,0,1,0.05489320307970047,90,DC,Newcastle United,Manchester City,3,3,2022-08-21,18230,2022,543263,0.5041122436523438,0,1,0,0.05489320307970047,0.05911966785788536,0.05911966785788536,0.0,0.0,12.0,0.0,10.4,377.0,28.0,3.0,0.0,2.5,8.6,2022-08-21T15:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,193303.0,3.0,3.0,6.0,1.0,-1829.0,15100.0,16929.0,45.0,True,0.0
5,0,0,0,90,DC,Brighton,Newcastle United,0,0,2022-08-13,18213,2022,540689,0,0,0,0,0,0,0,0.0,1.0,28.0,1.0,0.3,377.0,14.0,0.0,0.0,1.2,11.8,2022-08-13T14:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,186217.0,0.0,0.0,0.0,7.0,-19456.0,7074.0,26530.0,45.0,False,0.0
6,0,0,0,1,Sub,Newcastle United,Nottingham Forest,2,0,2022-08-06,18206,2022,539463,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,377.0,7.0,0.0,0.0,0.1,0.6,2022-08-06T14:00:00Z,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,191857.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,True,0.0
7,0,1,0.04020408168435097,90,DC,Lille,Rennes,2,2,2022-05-21,18193,2021,537409,0,0,0,0,0.04020408168435097,0.2722131311893463,0.2722131311893463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Lille,Monaco,1,2,2022-05-06,18179,2021,531964,0,0,0,0,0,0.4369274377822876,0.4369274377822876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Troyes,Lille,3,0,2022-05-01,18169,2021,530909,0,0,0,0,0,0.046545904129743576,0.046545904129743576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
