,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,61,FW,Bayer Leverkusen,Werder Bremen,1,1,2021-01-09,15268,2020,440869,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,12,Sub,Werder Bremen,Union Berlin,0,2,2021-01-02,15263,2020,438968,0.015920355916023254,0,1,0,0,0.015920355916023254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,18,Sub,Mainz 05,Werder Bremen,0,1,2020-12-19,15255,2020,435912,0.5342373251914978,1,1,0,0,0.5342373251914978,0.5342373251914978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,17,Sub,RasenBallsport Leipzig,Werder Bremen,2,0,2020-12-12,15231,2020,432987,0.10231556743383408,0,2,0,0,0.15122337639331818,0.0489078052341938,0.0,0.0,0.0,0.0,0.0,316.0,115.0,0.0,0.0,0.0,0.0,2020-12-12T17:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,945.0,0.0,0.0,0.0,0.0,-28.0,18.0,46.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,3,0.10131676495075226,90,AML,Werder Bremen,VfB Stuttgart,1,2,2020-12-06,15228,2020,432061,0,0,0,0,0.10131676495075226,0.26262837648391724,0.17921361327171326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,17,Sub,Wolfsburg,Werder Bremen,5,3,2020-11-27,15216,2020,429227,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,1,Sub,Bayern Munich,Werder Bremen,1,1,2020-11-21,15203,2020,427908,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,316.0,84.0,0.0,0.0,0.0,0.0,2020-11-21T20:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,971.0,0.0,1.0,0.0,0.0,-29.0,18.0,47.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,0.10654771327972412,16,Sub,Werder Bremen,FC Cologne,1,1,2020-11-06,15194,2020,425875,0,0,0,0,0.10654771327972412,0.10654771327972412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.01995946653187275,64,AMC,Eintracht Frankfurt,Werder Bremen,1,1,2020-10-31,15189,2020,424486,0,0,0,0,0.01995946653187275,0.11674561351537704,0.09678614884614944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,2,Sub,Werder Bremen,Hoffenheim,1,1,2020-10-25,15183,2020,423763,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.10099047422409058,14,Sub,Werder Bremen,Arminia Bielefeld,1,0,2020-10-03,15160,2020,419441,0,0,0,0,0.10099047422409058,0.10099047422409058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,1,Sub,Schalke 04,Werder Bremen,1,3,2020-09-26,14188,2020,417583,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,316.0,19.0,0.0,0.0,0.0,0.0,2020-09-26T11:30:00Z,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1172.0,3.0,2.0,0.0,0.0,-81.0,160.0,241.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,65,AMC,Werder Bremen,Hertha Berlin,1,4,2020-09-19,14177,2020,415667,0.054688625037670135,0,2,0,0,0.054688625037670135,0,0.0,0.0,0.0,0.0,0.0,316.0,15.0,0.0,0.0,0.0,0.0,2020-09-19T16:30:00Z,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1153.0,3.0,1.0,0.0,0.0,-142.0,115.0,257.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.07188171148300171,9,Sub,Manchester United,Watford,3,0,2020-02-23,11910,2019,387300,0,0,0,0,0.07188171148300171,0.07188171148300171,0,0.0,0.0,2.0,0.0,0.6,249.0,267.0,0.0,0.0,0.5,0.0,2020-02-23T14:00:00Z,10.0,18.0,0.0,0.0,0.0,0.0,27.0,0.0,46713.0,0.0,3.0,6.0,1.0,-972.0,353.0,1325.0,43.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,2,Sub,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357165,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.1,249.0,76.0,0.0,0.0,0.0,0.0,2019-10-06T15:30:00Z,4.0,13.0,0.0,0.0,0.0,0.0,8.0,0.0,46602.0,0.0,1.0,0.0,1.0,-2721.0,1185.0,3906.0,44.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
