,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,2,Sub,Montpellier,Monaco,0,2,2022-10-09,19741,2022,554547,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.04961114376783371,23,Sub,Monaco,Nantes,4,1,2022-10-02,19730,2022,553245,0,0,0,0,0.04961114376783371,0.05231726914644241,0.05231726914644241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.2916310429573059,22,Sub,Reims,Monaco,0,3,2022-09-18,19727,2022,551095,0.14149227738380432,1,1,1,0.2916310429573059,0.6027308106422424,0.16960746049880981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,49,AMC,Monaco,Troyes,2,4,2022-08-31,19688,2022,546229,0.2900121510028839,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,23,Sub,Paris Saint Germain,Monaco,1,1,2022-08-28,19683,2022,545697,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.6074008941650391,57,ML,Monaco,Lens,1,4,2022-08-20,19668,2022,542493,0,0,0,0,0.6074008941650391,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,4,0.20326651632785797,90,FWR,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536768,0.06919269263744354,0,1,1,0.20326651632785797,0.4073830842971802,0.13492387533187866,0.0,2.0,27.0,0.0,15.5,236.0,366.0,1.0,1.0,10.4,44.8,2022-05-17T18:45:00Z,90.0,16.0,0.0,0.0,0.0,0.0,37.0,0.0,5728.0,2.0,1.0,44.0,9.0,-27.0,33.0,60.0,51.0,False,0.0
7,0,0,0,1,Sub,Liverpool,Norwich,3,1,2022-02-19,16631,2021,514244,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,236.0,256.0,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,1.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,6436.0,1.0,3.0,0.0,1.0,-846.0,187.0,1033.0,51.0,True,0.0
8,0,0,0,1,Sub,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512292,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.5,236.0,237.0,0.0,0.0,0.1,0.2,2022-02-10T19:45:00Z,1.0,9.0,0.0,0.0,0.0,0.0,24.0,0.0,8877.0,0.0,2.0,0.0,1.0,-1458.0,584.0,2042.0,51.0,True,0.0
9,0,0,0,29,Sub,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510199,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.1,236.0,224.0,0.0,0.0,0.0,0.0,2022-01-23T14:00:00Z,30.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,10372.0,3.0,1.0,0.0,1.0,2132.0,3175.0,1043.0,51.0,False,0.0
10,1,2,0.644173800945282,15,Sub,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508478,0.4911211431026459,0,1,1,0.644173800945282,1.1352949142456055,0,0.0,0.0,28.0,0.0,13.9,236.0,214.0,0.0,1.0,7.9,37.6,2022-01-16T14:00:00Z,16.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,9499.0,0.0,3.0,27.0,6.0,2798.0,3912.0,1114.0,51.0,True,0.0
11,0,0,0,1,Sub,Liverpool,Aston Villa,1,0,2021-12-11,16533,2021,501651,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,1.3,236.0,158.0,0.0,0.0,0.0,0.0,2021-12-11T15:00:00Z,2.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,5194.0,0.0,1.0,0.0,1.0,-210.0,171.0,381.0,51.0,True,0.0
12,0,0,0,1,Sub,Everton,Liverpool,1,4,2021-12-01,16507,2021,499371,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.1,236.0,132.0,0.0,0.0,0.0,0.2,2021-12-01T20:15:00Z,2.0,8.0,0.0,0.0,0.0,0.0,14.0,0.0,5539.0,4.0,1.0,0.0,1.0,-201.0,271.0,472.0,51.0,False,0.0
13,0,0,0,7,Sub,Liverpool,Southampton,4,0,2021-11-27,16503,2021,497412,0,0,0,0,0,0.039430566132068634,0.039430566132068634,0.0,0.0,3.0,0.0,0.4,236.0,128.0,0.0,0.0,0.1,0.2,2021-11-27T15:00:00Z,9.0,16.0,0.0,0.0,0.0,0.0,13.0,0.0,5720.0,0.0,4.0,0.0,1.0,1015.0,1331.0,316.0,51.0,True,0.0
14,1,1,0.9159120321273804,13,Sub,Liverpool,Arsenal,4,0,2021-11-20,16489,2021,495939,0,0,0,1,0.9159120321273804,0.9159120321273804,0,0.0,0.0,20.0,0.0,0.9,236.0,114.0,0.0,1.0,6.7,33.2,2021-11-20T17:30:00Z,14.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,4533.0,0.0,4.0,33.0,6.0,62.0,237.0,175.0,51.0,True,0.0
15,0,0,0,3,Sub,West Ham,Liverpool,3,2,2021-11-07,16485,2021,494965,0,0,0,0,0,0.034541696310043335,0.034541696310043335,0.0,0.0,2.0,0.0,0.8,236.0,110.0,0.0,0.0,0.2,1.2,2021-11-07T16:30:00Z,10.0,19.0,0.0,0.0,0.0,0.0,11.0,0.0,4376.0,2.0,3.0,0.0,1.0,-83.0,101.0,184.0,51.0,False,0.0
16,0,0,0,1,Sub,Liverpool,Brighton,2,2,2021-10-30,16469,2021,492277,0,0,0,0,0,0.10493161529302597,0.10493161529302597,0.0,0.0,-2.0,0.0,0.3,236.0,94.0,0.0,0.0,0.0,0.0,2021-10-30T14:00:00Z,3.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,4349.0,2.0,2.0,0.0,0.0,-208.0,135.0,343.0,51.0,True,1.0
17,0,2,0.36747875809669495,63,FW,West Ham,Southampton,3,0,2021-05-23,14813,2020,473470,0.04830655828118324,0,1,0,0.36747875809669495,0.5872697830200195,0.17148445546627045,0.0,0.0,4.0,0.0,12.0,258.0,377.0,2.0,0.0,4.5,6.4,2021-05-23T15:00:00Z,61.0,19.0,0.0,0.0,0.0,0.0,38.0,0.0,24242.0,0.0,3.0,27.0,2.0,-724.0,413.0,1137.0,60.0,False,0.0
18,0,1,0.08316648006439209,77,MR,Southampton,Fulham,3,1,2021-05-15,14792,2020,470978,0.2541448175907135,0,1,0,0.08316648006439209,0.8340671062469482,0.49675580859184265,0.0,0.0,5.0,0.0,12.3,258.0,357.0,1.0,0.0,4.2,8.0,2021-05-15T14:00:00Z,75.0,8.0,0.0,0.0,0.0,0.0,36.0,0.0,25506.0,1.0,3.0,22.0,2.0,790.0,1466.0,676.0,60.0,True,0.0
