,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0.12077528983354568,90,FW,Norwich,Tottenham,0,5,2022-05-22,16755,2021,537950,0.08354546874761581,0,1,0,0.12077528983354568,0.2043207585811615,0,0,0,5,0,0.0,315,380,5,0,0.0,0.0,2022-05-22T15:00:00Z,90,17,0,0,0,0,38,0,865426,5,0,0.0,2,-27306,39387,66693,61,True,0
1,1,6,0.95600426197052,90,FW,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536049,0,0,0,1,0.95600426197052,0.95600426197052,0,0,2,21,0,1.2,315,370,1,1,10.5,38.4,2022-05-15T13:00:00Z,90,20,0,0,0,0,37,0,826729,1,1,65.0,8,-97046,20800,117846,61,False,0
2,0,2,0.514015793800354,90,FW,Leicester,Norwich,3,0,2022-05-11,16582,2021,534850,0.022438034415245056,0,1,0,0.514015793800354,0.5364538431167603,0,0,0,1,0,14.2,315,207,3,0,4.6,4.4,2022-05-11T18:45:00Z,90,9,0,0,0,0,36,0,1000502,0,3,27.0,2,19152,93675,74523,61,False,0
3,0,2,0.5179424285888672,90,FW,Norwich,West Ham,0,4,2022-05-08,16726,2021,533374,0,0,0,0,0.5179424285888672,0.5179424285888672,0,0,0,-1,0,3.5,315,360,4,0,2.6,0.4,2022-05-08T13:00:00Z,90,19,0,0,0,0,36,0,1000502,4,0,22.0,2,19152,93675,74523,61,True,0
4,0,0,0,90,FW,Aston Villa,Norwich,2,0,2022-04-30,16725,2021,530577,0.07228552550077438,0,1,0,0,0.07228552550077438,0,0,0,3,0,13.3,315,341,2,0,2.1,1.2,2022-04-30T14:00:00Z,90,2,0,0,0,0,35,0,982460,0,2,6.0,2,50932,101601,50669,61,False,0
5,0,1,0.09280381351709366,90,FW,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528706,0.14416898787021637,0,1,0,0.09280381351709366,0.23697279393672943,0,0,0,3,0,11.2,315,340,3,0,2.6,2.6,2022-04-23T14:00:00Z,90,14,0,0,0,0,34,0,943019,3,0,12.0,2,300372,315085,14713,60,True,0
6,1,4,0.7462928891181946,90,FW,Manchester United,Norwich,3,2,2022-04-16,16702,2021,526392,0.5974675416946411,1,2,1,0.7462928891181946,1.2818541526794434,0.5764029622077942,1,0,38,0,22.5,315,324,3,1,12.5,54.4,2022-04-16T14:00:00Z,90,13,0,0,0,0,33,0,620797,2,3,48.0,9,9921,43222,33301,59,False,0
7,1,7,0.9144788384437561,90,FW,Norwich,Burnley,2,0,2022-04-10,16688,2021,525250,0.5581130981445312,0,3,1,0.9144788384437561,1.0049548149108887,0.020716816186904907,0,3,38,1,31.2,315,318,0,1,16.4,41.6,2022-04-10T13:00:00Z,88,5,0,0,0,0,32,0,616639,0,2,91.0,9,25939,46849,20910,59,True,0
8,0,1,0.022801922634243965,90,FW,Brighton,Norwich,0,0,2022-04-02,16685,2021,522743,0.3304140567779541,0,1,0,0.022801922634243965,0.3532159626483917,0,0,0,9,1,10.8,315,301,0,0,2.2,4.4,2022-04-02T14:00:00Z,90,4,0,0,0,0,31,0,591390,0,0,7.0,2,67260,83355,16095,59,False,0
9,0,2,0.5522942543029785,90,FW,Leeds,Norwich,2,1,2022-03-13,16662,2021,520060,0.4889599084854126,1,1,0,0.5522942543029785,0.5620469450950623,0.07308702915906906,1,0,16,0,17.4,315,287,2,0,8.3,24.8,2022-03-13T14:00:00Z,90,10,0,0,0,0,29,0,531562,1,2,41.0,5,50820,71381,20561,58,False,0
10,1,2,0.796189546585083,90,FW,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518976,0,0,0,0,0.03502072021365166,0.03502072021365166,0,0,1,26,0,1.2,315,297,3,1,6.2,32.0,2022-03-10T19:30:00Z,90,6,0,0,0,0,28,0,475539,3,1,29.0,7,2859,36906,34047,58,True,0
11,1,4,0.26445919275283813,90,FW,Norwich,Brentford,1,3,2022-03-05,16652,2021,517585,0.061657167971134186,0,1,1,0.26445919275283813,0.3261163532733917,0,0,2,33,0,10.8,315,277,3,1,11.7,45.4,2022-03-05T15:00:00Z,90,3,0,0,0,0,28,0,475539,3,1,61.0,8,2859,36906,34047,58,True,0
12,0,1,0.08593014627695084,90,FW,Southampton,Norwich,2,0,2022-02-25,16644,2021,515595,0.08201108127832413,0,1,0,0.08593014627695084,0.2240331918001175,0.05609196051955223,0,0,2,0,17.8,315,269,2,0,5.0,2.2,2022-02-25T20:00:00Z,90,16,0,0,0,0,27,0,473105,0,2,30.0,1,29024,48254,19230,58,False,1
13,0,2,0.48884567618370056,90,FW,Liverpool,Norwich,3,1,2022-02-19,16631,2021,514255,0,0,0,0,0.48884567618370056,0.10541071742773056,0,0,0,-1,0,1.8,315,256,3,0,2.0,0.0,2022-02-19T15:00:00Z,90,11,0,0,0,0,26,0,434894,1,3,20.0,2,8064,37433,29369,58,False,0
14,0,1,0.08071722090244293,90,FW,Norwich,Manchester City,0,4,2022-02-12,16623,2021,512858,0,0,0,0,0.08071722090244293,0.18404191732406616,0.10332469642162323,0,0,3,0,2.2,315,248,4,0,2.7,4.2,2022-02-12T17:30:00Z,90,12,0,0,0,0,25,0,432471,4,0,21.0,2,27143,45004,17861,58,True,0
15,1,2,0.18383929133415222,90,FW,Norwich,Crystal Palace,1,1,2022-02-09,16609,2021,512152,0,0,0,1,0.18383929133415222,0.18383929133415222,0,0,3,28,0,0.3,315,234,1,1,7.1,34.0,2022-02-09T19:45:00Z,90,7,0,0,0,0,24,0,405002,1,1,37.0,9,15623,33947,18324,58,True,0
16,0,0,0,89,FW,Watford,Norwich,0,3,2022-01-21,16605,2021,509452,0.658725380897522,1,2,0,0,0.658725380897522,0,1,0,21,1,24.3,315,230,0,0,4.9,20.4,2022-01-21T20:00:00Z,86,18,0,0,0,0,23,0,385781,3,0,4.0,5,-15050,12632,27682,58,False,0
17,0,0,0,90,FW,Norwich,Everton,2,1,2022-01-15,16592,2021,508119,0,0,0,0,0,0,0,0,0,0,0,1.6,315,217,1,0,0.5,1.8,2022-01-15T15:00:00Z,90,8,0,0,0,0,22,0,376108,1,2,2.0,1,-64153,7622,71775,58,True,1
18,0,0,0,90,FW,West Ham,Norwich,2,0,2022-01-12,16554,2021,507781,0.026224229484796524,0,2,0,0,0.04317735880613327,0.016953131183981895,0,0,9,0,28.9,315,179,2,0,4.6,8.8,2022-01-12T19:45:00Z,90,19,0,0,0,0,21,0,435119,0,2,8.0,2,-115740,3170,118910,59,False,0
19,0,0,0,90,FW,Norwich,Arsenal,0,5,2021-12-26,16562,2021,505075,0.026469025760889053,0,1,0,0,0.026469025760889053,0,0,0,-3,0,11.8,315,187,5,0,1.2,0.4,2021-12-26T15:00:00Z,90,1,0,0,0,0,19,0,571555,5,0,0.0,2,27878,59636,31758,59,True,0
20,0,0,0,90,FW,Norwich,Aston Villa,0,2,2021-12-14,16541,2021,503044,0,0,0,0,0,0,0,0,0,3,0,0.8,315,167,2,0,0.6,0.0,2021-12-14T19:45:00Z,90,2,0,0,0,0,17,0,580933,2,0,6.0,2,58594,86091,27497,59,True,0
21,0,2,0.20401504635810852,90,FW,Norwich,Manchester United,0,1,2021-12-11,16535,2021,501859,0.021335719153285027,0,1,0,0.20401504635810852,0.2545323371887207,0.050517287105321884,0,0,7,0,12.3,315,160,1,0,6.3,5.6,2021-12-11T17:30:00Z,90,13,0,0,0,0,16,0,513683,1,0,45.0,2,-2910,44149,47059,59,True,0
22,0,2,0.21846245229244232,90,FW,Tottenham,Norwich,3,0,2021-12-05,16522,2021,500557,0.5555305480957031,0,1,0,0.21846245229244232,0.7877652645111084,0.01377224363386631,0,0,6,0,14.0,315,147,3,0,4.8,5.0,2021-12-05T14:00:00Z,90,17,0,0,0,0,15,0,516843,0,3,29.0,1,45300,75332,30032,59,False,1
23,1,3,0.17826098203659058,90,FW,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498664,0.014091459102928638,0,1,1,0.17826098203659058,0.17826098203659058,0,0,2,24,0,11.4,315,138,1,1,7.4,31.2,2021-11-30T19:30:00Z,90,14,0,0,0,0,14,0,467840,1,1,31.0,8,28151,48391,20240,58,False,0
24,0,5,0.6919631361961365,90,FW,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497383,0.02260506898164749,0,1,0,0.6919631361961365,0.7145681977272034,0,0,0,3,1,13.6,315,130,0,0,10.4,8.4,2021-11-27T15:00:00Z,90,20,0,0,0,0,13,0,438557,0,0,82.0,2,62648,75655,13007,58,True,0
25,1,2,0.14343838393688202,90,FW,Norwich,Southampton,2,1,2021-11-20,16492,2021,495793,0,0,0,1,0.14343838393688202,0.14343838393688202,0,0,2,31,0,1.5,315,117,1,1,9.6,38.2,2021-11-20T15:00:00Z,90,16,0,0,0,0,12,0,370592,1,2,56.0,8,36973,53880,16907,58,True,0
26,1,2,0.8893302083015442,81,FW,Brentford,Norwich,1,2,2021-11-06,16477,2021,494017,0,0,0,0,0.12819816172122955,0.14113964140415192,0.01294147502630949,0,3,26,0,1.6,315,102,1,1,6.0,29.0,2021-11-06T15:00:00Z,77,3,0,0,0,0,11,0,328642,2,1,29.0,9,-16453,10681,27134,58,False,0
27,0,1,0.055872149765491486,90,FW,Norwich,Leeds,1,2,2021-10-31,16472,2021,492821,0,0,0,0,0.055872149765491486,0.055872149765491486,0,0,0,6,0,1.3,315,97,2,0,0.5,0.4,2021-10-31T14:00:00Z,90,10,0,0,0,0,10,0,343759,2,1,3.0,2,-25568,17286,42854,58,True,0
