,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,51,DC,Norwich,Burnley,0,2,2020-07-18,12008,2019,409665,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,272.0,366.0,1.0,0.0,0.4,3.6,2020-07-18T16:30:00Z,45.0,5.0,0.0,0.0,0.0,0.0,46.0,0.0,2714.0,2.0,0.0,0.0,1.0,54.0,116.0,62.0,43.0,True,0.0
1,0,0,0,90,DC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408487,0,0,0,0,0,0,0,0.0,0.0,16.0,0.0,0.1,272.0,353.0,1.0,0.0,2.2,21.8,2020-07-14T19:15:00Z,90.0,6.0,0.0,0.0,0.0,0.0,45.0,0.0,2608.0,0.0,1.0,0.0,2.0,-11.0,84.0,95.0,43.0,False,0.0
2,0,0,0,90,DC,Norwich,West Ham,0,4,2020-07-11,11988,2019,407325,0,0,0,0,0,0.22260034084320068,0.22260034084320068,0.0,0.0,10.0,0.0,0.7,272.0,346.0,4.0,0.0,1.9,18.0,2020-07-11T11:30:00Z,90.0,19.0,0.0,0.0,0.0,0.0,44.0,0.0,2600.0,4.0,0.0,0.0,0.0,36.0,114.0,78.0,43.0,True,0.0
3,0,1,0.07122992724180222,90,DC,Watford,Norwich,2,1,2020-07-07,11981,2019,406228,0,0,0,0,0.07122992724180222,0.09971964359283447,0.09971964359283447,0.0,0.0,13.0,0.0,0.2,272.0,339.0,2.0,0.0,3.7,19.2,2020-07-07T17:00:00Z,90.0,18.0,0.0,0.0,0.0,0.0,43.0,0.0,2550.0,1.0,2.0,18.0,1.0,91.0,143.0,52.0,43.0,False,0.0
4,0,0,0,90,DC,Norwich,Brighton,0,1,2020-07-04,11969,2019,405061,0,0,0,0,0,0.14311644434928894,0.14311644434928894,0.0,0.0,12.0,0.0,0.6,272.0,327.0,1.0,0.0,2.0,19.6,2020-07-04T11:30:00Z,90.0,4.0,0.0,0.0,0.0,0.0,42.0,0.0,2434.0,1.0,0.0,0.0,2.0,69.0,120.0,51.0,43.0,True,0.0
5,0,0,0,90,DC,Norwich,Everton,0,1,2020-06-24,11948,2019,402335,0,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.8,272.0,307.0,1.0,0.0,2.6,25.0,2020-06-24T17:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,40.0,0.0,2301.0,1.0,0.0,0.0,2.0,14.0,95.0,81.0,43.0,True,0.0
6,0,2,0.16725851595401764,90,DC,Norwich,Southampton,0,3,2020-06-19,11937,2019,400715,0,0,0,0,0.16725851595401764,0,0,0.0,0.0,10.0,0.0,0.2,272.0,297.0,3.0,0.0,3.8,14.0,2020-06-19T17:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,39.0,0.0,2239.0,3.0,0.0,24.0,1.0,181.0,294.0,113.0,43.0,True,0.0
7,0,0,0,39,DC,Crystal Palace,Norwich,1,0,2016-04-09,399,2015,66706,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,2,0.5065154433250427,90,DC,Norwich,Newcastle United,3,2,2016-04-02,387,2015,66142,0,0,0,1,0.5065154433250427,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,West Bromwich Albion,Norwich,0,1,2016-03-19,378,2015,67094,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Norwich,Manchester City,0,0,2016-03-12,369,2015,65642,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DC,Swansea,Norwich,1,0,2016-03-05,361,2015,66402,0,0,0,0,0,0.10795613378286362,0.10795613378286362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.036949049681425095,90,DC,Norwich,Chelsea,1,2,2016-03-01,353,2015,67107,0,0,0,0,0.036949049681425095,0.036949049681425095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,DC,Leicester,Norwich,1,0,2016-02-27,343,2015,62159,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,DC,Norwich,West Ham,2,2,2016-02-13,333,2015,61759,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DC,Aston Villa,Norwich,2,0,2016-02-06,326,2015,61606,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,DC,Norwich,Tottenham,0,3,2016-02-02,313,2015,59508,0,0,0,0,0,0.04554815962910652,0.04554815962910652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1,0.09756981581449509,90,DC,VfB Stuttgart,Wolfsburg,3,1,2015-12-19,1171,2015,88837,0,0,0,0,0.09756981581449509,0.24282516539096832,0.14525534212589264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.09323684871196747,90,DC,Wolfsburg,Borussia Dortmund,1,2,2015-12-05,1153,2015,88296,0.019174650311470032,0,1,0,0.09323684871196747,0.0956476554274559,0.0956476554274559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,3,Sub,Augsburg,Wolfsburg,0,0,2015-11-29,1146,2015,88101,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,DC,Wolfsburg,Bayer Leverkusen,2,1,2015-10-31,1117,2015,87272,0,0,0,0,0,0.5506513118743896,0.5506513118743896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.015106195583939552,90,DC,Borussia M.Gladbach,Wolfsburg,2,0,2015-10-03,1085,2015,86593,0,0,0,0,0.015106195583939552,0.015106195583939552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,1,0.05686591938138008,90,DC,Wolfsburg,Schalke 04,3,0,2015-08-28,1039,2015,85297,0,0,0,1,0.05686591938138008,0.4000949561595917,0.4000949561595917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,90,DC,FC Cologne,Wolfsburg,1,1,2015-08-22,1034,2015,85115,0,0,0,0,0,0.1488683968782425,0.1488683968782425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,DC,Wolfsburg,Eintracht Frankfurt,2,1,2015-08-16,1028,2015,84823,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,DC,FC Cologne,Wolfsburg,2,2,2015-05-23,5186,2014,35338,0,0,0,0,0,0.05738901346921921,0.05738901346921921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,90,DC,Wolfsburg,Borussia Dortmund,2,1,2015-05-16,5179,2014,33742,0,0,0,0,0,0.18278969824314117,0.18278969824314117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,1,0.0949314534664154,90,DC,Paderborn,Wolfsburg,1,3,2015-05-10,5175,2014,33396,0,0,0,1,0.0949314534664154,0.7053654193878174,0.7053654193878174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,90,DC,Wolfsburg,Hannover 96,2,2,2015-05-02,5160,2014,34046,0,0,0,0,0,0.1852020025253296,0.1852020025253296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,1,0.13695211708545685,58,DC,Borussia M.Gladbach,Wolfsburg,1,0,2015-04-26,5230,2014,32954,0,0,0,0,0.13695211708545685,0.10260374844074249,0.10260374844074249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,90,DC,Wolfsburg,Schalke 04,1,1,2015-04-19,5221,2014,35406,0.05893471837043762,0,1,0,0,0.1515771895647049,0.1515771895647049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,90,DC,Mainz 05,Wolfsburg,1,1,2015-03-22,5258,2014,35364,0,0,0,0,0,0.02659694291651249,0.02659694291651249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,90,DC,Wolfsburg,Freiburg,3,0,2015-03-15,5249,2014,34350,0,0,0,0,0,0.9356620907783508,0.9356620907783508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,90,DC,Werder Bremen,Wolfsburg,3,5,2015-03-01,5232,2014,32901,0,0,0,0,0,1.6556817293167114,1.6556817293167114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,1,0.04308750480413437,90,DC,Wolfsburg,Augsburg,1,0,2014-10-05,5390,2014,29037,0,0,0,0,0.04308750480413437,0.03540554642677307,0.03540554642677307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,90,DC,Hertha Berlin,Wolfsburg,1,0,2014-09-24,5437,2014,28635,0,0,0,0,0,0.2923658490180969,0.2923658490180969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,0,1,Sub,Wolfsburg,Bayer Leverkusen,4,1,2014-09-21,5427,2014,28239,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,2019-08-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,1.0,0.0,0.0,0.0,0.0,2019-08-09T19:00:00Z,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,6486.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0
38,,,,,,,,,,2019-08-17,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,17.0,0.0,0.0,0.0,0.0,2019-08-17T14:00:00Z,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,5315.0,1.0,3.0,0.0,0.0,-1198.0,20.0,1218.0,45.0,True,0.0
39,,,,,,,,,,2019-08-24,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,26.0,0.0,0.0,0.0,0.0,2019-08-24T11:30:00Z,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,4618.0,3.0,2.0,0.0,0.0,-796.0,38.0,834.0,45.0,True,0.0
40,,,,,,,,,,2019-08-31,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,40.0,0.0,0.0,0.0,0.0,2019-08-31T14:00:00Z,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,4356.0,0.0,2.0,0.0,0.0,-531.0,299.0,830.0,45.0,False,0.0
41,,,,,,,,,,2019-09-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,46.0,0.0,0.0,0.0,0.0,2019-09-14T16:30:00Z,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,3528.0,2.0,3.0,0.0,0.0,-840.0,64.0,904.0,45.0,True,0.0
42,,,,,,,,,,2019-09-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,52.0,0.0,0.0,0.0,0.0,2019-09-21T14:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,3159.0,0.0,2.0,0.0,0.0,-405.0,12.0,417.0,45.0,False,0.0
43,,,,,,,,,,2019-09-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,64.0,0.0,0.0,0.0,0.0,2019-09-28T14:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,2877.0,0.0,2.0,0.0,0.0,-310.0,17.0,327.0,44.0,False,0.0
44,,,,,,,,,,2019-10-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,77.0,0.0,0.0,0.0,0.0,2019-10-05T14:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,2701.0,5.0,1.0,0.0,0.0,-180.0,11.0,191.0,44.0,True,0.0
45,,,,,,,,,,2019-10-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,82.0,0.0,0.0,0.0,0.0,2019-10-19T14:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2571.0,0.0,0.0,0.0,0.0,-146.0,16.0,162.0,44.0,False,0.0
46,,,,,,,,,,2019-10-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,97.0,0.0,0.0,0.0,0.0,2019-10-27T16:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,2479.0,3.0,1.0,0.0,0.0,-93.0,7.0,100.0,44.0,True,0.0
47,,,,,,,,,,2019-11-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,104.0,0.0,0.0,0.0,0.0,2019-11-02T15:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,2383.0,0.0,2.0,0.0,0.0,-99.0,15.0,114.0,44.0,False,0.0
48,,,,,,,,,,2019-11-08,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,272.0,117.0,0.0,0.0,0.0,0.0,2019-11-08T20:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,12.0,0.0,2317.0,2.0,0.0,0.0,0.0,-66.0,12.0,78.0,44.0,True,0.0
