,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.06234237551689148,16,Sub,West Ham,Fulham,3,1,2022-10-09,18301,2022,554765,0,0,0,0,0.06234237551689148,0.06234237551689148,0.06234237551689148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.035655368119478226,43,Sub,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552374,0,0,0,0,0.035655368119478226,0.5314463376998901,0.4957909882068634,0.0,,,,0.0,7.0,0.0,,,1.5,,,200.0,,,84.0,,1.0,0.0,1.0,,7.4,,2022-10-01T14:00:00Z,,,,45.0,,,15.0,0.0,,0.0,0.0,,0.0,9.0,0.0,5384.0,,,,4.0,1.0,1.0,1.0,-170.0,218.0,388.0,48.0,True,,0.0
2,0,0,0,6,Sub,Nottingham Forest,Fulham,2,3,2022-09-16,18273,2022,550269,0,0,0,0,0,0.11915816366672516,0.11915816366672516,0.0,,,,0.0,3.0,0.0,,,1.3,,,200.0,,,78.0,,0.0,0.0,0.2,,1.0,,2022-09-16T19:00:00Z,,,,7.0,,,16.0,0.0,,0.0,0.0,,0.0,8.0,0.0,5730.0,,,,3.0,2.0,0.0,1.0,-23.0,186.0,209.0,48.0,False,,0.0
3,0,1,0.06025572493672371,23,Sub,Tottenham,Fulham,2,1,2022-09-03,18255,2022,547181,0.020150700584053993,0,1,0,0.06025572493672371,0.18052101135253906,0.12026529014110565,0.0,,,,0.0,3.0,0.0,,,12.6,,,200.0,,,59.0,,1.0,0.0,3.5,,4.4,,2022-09-03T14:00:00Z,,,,29.0,,,18.0,0.0,,0.0,0.0,,0.0,6.0,0.0,5463.0,,,,1.0,2.0,18.0,1.0,-214.0,418.0,632.0,48.0,False,,0.0
4,0,1,0.07652921229600906,12,Sub,Fulham,Brighton,2,1,2022-08-30,18242,2022,545836,0,0,0,0,0.07652921229600906,0.07652921229600906,0,0.0,,,,0.0,4.0,0.0,,,1.7,,,200.0,,,44.0,,0.0,0.0,0.6,,0.0,,2022-08-30T18:30:00Z,,,,12.0,,,5.0,0.0,,0.0,0.0,,0.0,5.0,0.0,5506.0,,,,1.0,2.0,4.0,1.0,-387.0,221.0,608.0,48.0,True,,0.0
5,0,0,0,20,Sub,Arsenal,Fulham,2,1,2022-08-27,18238,2022,544672,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.8,,,200.0,,,31.0,,1.0,0.0,0.1,,0.2,,2022-08-27T16:30:00Z,,,,21.0,,,1.0,0.0,,0.0,0.0,,0.0,4.0,0.0,5711.0,,,,1.0,2.0,0.0,1.0,-815.0,204.0,1019.0,49.0,False,,0.0
6,0,0,0,11,Sub,Fulham,Brentford,3,2,2022-08-20,18225,2022,542409,0.2897240221500397,0,1,0,0,0.8629660606384277,0.5732420682907104,0.0,,,,0.0,7.0,0.0,,,10.8,,,200.0,,,24.0,,0.0,0.0,1.4,,3.2,,2022-08-20T14:00:00Z,,,,13.0,,,4.0,0.0,,0.0,0.0,,0.0,3.0,0.0,6339.0,,,,2.0,3.0,0.0,1.0,-744.0,405.0,1149.0,49.0,True,,0.0
7,0,0,0,2,Sub,Wolverhampton Wanderers,Fulham,0,0,2022-08-13,18216,2022,540643,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.3,,,200.0,,,20.0,,0.0,0.0,0.4,,3.2,,2022-08-13T14:00:00Z,,,,4.0,,,20.0,0.0,,0.0,0.0,,0.0,2.0,0.0,6675.0,,,,0.0,0.0,0.0,1.0,-805.0,326.0,1131.0,50.0,False,,0.0
8,0,0,0,1,Sub,Fulham,Liverpool,2,2,2022-08-06,18203,2022,539195,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,200.0,,,4.0,,0.0,0.0,0.2,,2.0,,2022-08-06T11:30:00Z,,,,1.0,,,12.0,0.0,,0.0,0.0,,0.0,1.0,0.0,6634.0,,,,2.0,2.0,0.0,1.0,0.0,0.0,0.0,50.0,True,,0.0
9,0,3,0.22356738150119781,66,AMC,Newcastle United,Fulham,1,1,2020-12-19,14571,2020,436291,0.09636078029870987,0,1,0,0.22356738150119781,0.19340501725673676,0.008645502850413322,0.0,,,,0.0,4.0,0.0,,,21.4,,,175.0,,,135.0,,1.0,0.0,5.9,,1.8,,2020-12-19T20:00:00Z,,,,64.0,,,14.0,0.0,,0.0,0.0,,0.0,14.0,0.0,10200.0,,,,1.0,1.0,36.0,2.0,-650.0,52.0,702.0,53.0,False,,0.0
