,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.025187648832798004,90,MC,Chelsea,Watford,2,1,2022-05-22,16750,2021,537791,0.14760908484458923,0,1,0,0.025187648832798004,0.3539864122867584,0.328798770904541,0.0,,,,0.0,19.0,0.0,,,0.0,,,381.0,,,375.0,,2.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,38.0,0.0,8465.0,,,,1.0,2.0,0.0,2.0,-103.0,56.0,159.0,48.0,False,,0.0
1,0,0,0,56,MC,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532548,0,0,0,0,0,0,0,0.0,,,,0.0,5.0,0.0,,,0.4,,,381.0,,,356.0,,1.0,0.0,0.3,,2.8,,2022-05-07T14:00:00Z,,,,51.0,,,7.0,0.0,,0.0,0.0,,0.0,36.0,0.0,8753.0,,,,0.0,1.0,0.0,1.0,-110.0,92.0,202.0,48.0,False,,0.0
2,0,0,0,90,MC,Manchester City,Watford,5,1,2022-04-23,16707,2021,528661,0,0,0,0,0,0,0,0.0,,,,0.0,8.0,0.0,,,1.3,,,381.0,,,339.0,,5.0,0.0,0.1,,0.0,,2022-04-23T14:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,34.0,0.0,8863.0,,,,1.0,5.0,0.0,2.0,-51.0,88.0,139.0,48.0,False,,0.0
3,0,0,0,4,Sub,Watford,Brentford,1,2,2022-04-16,16698,2021,526435,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.6,,,381.0,,,328.0,,1.0,0.0,0.3,,0.6,,2022-04-16T14:00:00Z,,,,6.0,,,3.0,0.0,,0.0,0.0,,0.0,33.0,0.0,8881.0,,,,2.0,1.0,2.0,1.0,-73.0,76.0,149.0,48.0,True,,0.0
4,0,0,0,10,Sub,Liverpool,Watford,2,0,2022-04-02,16680,2021,522476,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.1,,,381.0,,,306.0,,1.0,0.0,0.4,,4.2,,2022-04-02T11:30:00Z,,,,12.0,,,11.0,0.0,,0.0,0.0,,0.0,31.0,0.0,9017.0,,,,0.0,2.0,0.0,1.0,-116.0,71.0,187.0,48.0,False,,0.0
5,0,0,0,74,MC,Wolverhampton Wanderers,Watford,4,0,2022-03-10,16565,2021,518904,0,0,0,0,0,0.09127088636159897,0.09127088636159897,0.0,,,,0.0,6.0,0.0,,,1.2,,,381.0,,,190.0,,3.0,0.0,0.7,,6.0,,2022-03-10T19:30:00Z,,,,72.0,,,20.0,0.0,,0.0,0.0,,0.0,28.0,0.0,9427.0,,,,0.0,4.0,0.0,2.0,3.0,256.0,253.0,48.0,False,,0.0
6,0,1,0.06720823794603348,90,MC,Watford,Arsenal,2,3,2022-03-06,16654,2021,518302,0,0,0,0,0.06720823794603348,0.7917762994766235,0.7245680093765259,0.0,,,,0.0,4.0,0.0,,,2.9,,,381.0,,,279.0,,3.0,0.0,2.7,,7.2,,2022-03-06T14:00:00Z,,,,88.0,,,1.0,0.0,,0.0,0.0,,0.0,28.0,0.0,9427.0,,,,3.0,2.0,17.0,2.0,3.0,256.0,253.0,48.0,True,,0.0
7,0,0,0,81,MC,Manchester United,Watford,0,0,2022-02-26,16643,2021,516068,0.07995723932981491,0,1,0,0,0.1390768140554428,0.1390768140554428,0.0,,,,0.0,9.0,1.0,,,20.2,,,381.0,,,268.0,,0.0,0.0,2.7,,7.0,,2022-02-26T15:00:00Z,,,,79.0,,,13.0,0.0,,0.0,0.0,,0.0,27.0,0.0,9339.0,,,,0.0,0.0,0.0,3.0,-148.0,126.0,274.0,48.0,False,,0.0
8,0,0,0,76,MC,Watford,Crystal Palace,1,4,2022-02-23,16553,2021,515376,0.037853457033634186,0,1,0,0,0.037853457033634186,0,0.0,,,,0.0,6.0,0.0,,,14.3,,,381.0,,,178.0,,2.0,0.0,2.1,,6.4,,2022-02-23T19:30:00Z,,,,72.0,,,7.0,0.0,,0.0,0.0,,0.0,26.0,0.0,9647.0,,,,4.0,1.0,0.0,2.0,-10.0,315.0,325.0,48.0,True,,0.0
9,0,2,0.0906999334692955,90,ML,Aston Villa,Watford,0,1,2022-02-19,16627,2021,514310,0.017012814059853554,0,1,0,0.0906999334692955,1.0918573141098022,0.9841445684432983,0.0,,,,0.0,12.0,1.0,,,11.9,,,381.0,,,252.0,,0.0,0.0,5.4,,17.0,,2022-02-19T15:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,26.0,0.0,9647.0,,,,1.0,0.0,25.0,3.0,-10.0,315.0,325.0,48.0,False,,0.0
