,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.016811784356832504,90,MC,Hull,Tottenham,1,7,2017-05-21,3513,2016,125226,0.04605737328529358,0,2,0,0.016811784356832504,0.061756476759910583,0.01769053377211094,0.0,40.0,0.0,0.0,0.0,11.0,0.0,2.0,29.0,26.4,0.0,0.0,160.0,0.0,0.0,374.0,2.0,7.0,0.0,4.4,23165.0,10.8,2.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,38.0,0.0,10828.0,1.0,1.0,0.0,7.0,1.0,7.0,2.0,-247.0,71.0,318.0,45.0,True,0.0,0.0
1,0,0,0,24,Sub,Hull,Sunderland,0,2,2017-05-06,3494,2016,134910,0,0,0,0,0,0.1337142288684845,0.1337142288684845,0.0,21.0,0.0,0.0,0.0,6.0,0.0,4.0,17.0,1.9,0.0,0.0,160.0,0.0,0.0,355.0,0.0,2.0,0.0,0.9,21448.0,7.4,0.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,26.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,11356.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,-218.0,134.0,352.0,46.0,True,0.0,0.0
2,0,0,0,6,Sub,Southampton,Hull,0,0,2017-04-29,3484,2016,134483,0,0,0,0,0,0.09907216578722,0.09907216578722,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.4,0.0,0.0,160.0,0.0,0.0,345.0,0.0,0.0,0.0,0.1,20753.0,0.8,0.0,2017-04-29T14:00:00Z,29 Apr 15:00,0.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,11561.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,67.0,367.0,46.0,False,0.0,0.0
3,0,0,0,6,Sub,Hull,Watford,2,0,2017-04-22,3474,2016,134195,0,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.3,0.0,0.0,160.0,0.0,0.0,335.0,0.0,0.0,0.0,0.1,20035.0,0.4,0.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,11844.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-318.0,156.0,474.0,46.0,True,0.0,0.0
4,0,0,0,72,MC,Stoke,Hull,3,1,2017-04-15,3463,2016,134835,0.027804788202047348,0,1,0,0,0.6416252255439758,0.6416252255439758,0.0,42.0,0.0,0.0,0.0,11.0,0.0,2.0,32.0,14.1,1.0,0.0,160.0,0.0,0.0,326.0,1.0,2.0,0.0,2.6,19350.0,9.4,1.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,69.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,0.0,12147.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,-294.0,167.0,461.0,46.0,False,0.0,0.0
5,0,0,0,74,MC,Everton,Hull,4,0,2017-03-18,3427,2016,133294,0,0,0,0,0,0.0651635006070137,0.0651635006070137,0.0,36.0,0.0,0.0,0.0,3.0,0.0,3.0,30.0,1.8,0.0,0.0,160.0,0.0,0.0,283.0,2.0,4.0,0.0,0.6,16716.0,4.2,0.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,72.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,1.0,29.0,0.0,20358.0,0.0,0.0,0.0,0.0,4.0,0.0,-1.0,-2168.0,404.0,2572.0,46.0,False,0.0,0.0
6,0,3,0.06950719654560089,90,DMC,Hull,Swansea,2,1,2017-03-11,3417,2016,132651,0,0,0,0,0.06950719654560089,1.188591480255127,1.135155200958252,0.0,59.0,0.0,0.0,0.0,11.0,0.0,8.0,45.0,2.3,1.0,0.0,160.0,0.0,0.0,276.0,2.0,1.0,0.0,5.1,16380.0,26.4,0.0,2017-03-11T15:00:00Z,11 Mar 15:00,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,28.0,0.0,22502.0,1.0,1.0,0.0,1.0,2.0,22.0,1.0,2639.0,3955.0,1316.0,46.0,True,0.0,1.0
7,0,0,0,90,DMC,Leicester,Hull,3,1,2017-03-04,3400,2016,132170,0,0,0,0,0,0.1251973807811737,0.1251973807811737,0.0,48.0,0.0,0.0,0.0,5.0,0.0,4.0,41.0,2.9,1.0,0.0,160.0,0.0,0.0,261.0,3.0,3.0,0.0,0.9,15746.0,5.6,0.0,2017-03-04T15:00:00Z,04 Mar 15:00,0.0,0.0,90.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,8.0,0.0,27.0,0.0,19741.0,2.0,2.0,0.0,1.0,3.0,0.0,-1.0,7882.0,8596.0,714.0,46.0,False,0.0,1.0
8,1,1,0.7611688375473022,90,DMC,Hull,Burnley,1,1,2017-02-25,3394,2016,131686,0,0,0,0,0,0.2532152831554413,0.2532152831554413,0.0,72.0,0.0,0.0,3.0,31.0,0.0,9.0,58.0,2.8,0.0,0.0,160.0,0.0,0.0,254.0,1.0,1.0,1.0,8.7,15191.0,57.2,0.0,2017-02-25T15:00:00Z,25 Feb 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,26.0,0.0,11681.0,0.0,1.0,0.0,1.0,1.0,27.0,9.0,1077.0,1454.0,377.0,46.0,True,0.0,1.0
9,0,0,0,79,DMC,Arsenal,Hull,2,0,2017-02-11,3380,2016,130398,0,0,0,0,0,0.146108016371727,0.146108016371727,0.0,59.0,0.0,0.0,0.0,15.0,0.0,5.0,49.0,6.9,1.0,0.0,160.0,0.0,0.0,241.0,2.0,1.0,0.0,1.2,14569.0,5.4,0.0,2017-02-11T12:30:00Z,11 Feb 12:30,0.0,0.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,10492.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,901.0,1259.0,358.0,46.0,False,0.0,0.0
