,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,90,GK,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554708,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552270,0,0,0,0,0,0.07973816990852356,0.07973816990852356,0.0,0.0,10.0,0.0,0.0,152.0,83.0,2.0,0.0,1.1,10.8,2022-10-01T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,214794.0,2.0,1.0,0.0,1.0,76354.0,102245.0,25891.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,GK,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547290,0,0,0,0,0,0.011538556776940823,0.011538556776940823,0.0,0.0,29.0,1.0,0.0,152.0,57.0,0.0,0.0,4.2,42.4,2022-09-03T14:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,6.0,5.0,132882.0,0.0,0.0,0.0,7.0,-3991.0,5437.0,9428.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,GK,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545852,0,0,0,0,0,0.11976315826177597,0.11976315826177597,0.0,0.0,12.0,0.0,0.0,152.0,43.0,1.0,0.0,1.8,17.6,2022-08-30T18:30:00Z,90.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,134857.0,1.0,1.0,0.0,2.0,-41.0,7566.0,7607.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,GK,Manchester City,Crystal Palace,4,2,2022-08-27,18237,2022,544443,0,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,152.0,37.0,4.0,0.0,1.2,12.2,2022-08-27T14:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,4.0,1.0,131689.0,2.0,4.0,0.0,0.0,-9488.0,2906.0,12394.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,GK,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542425,0,0,0,0,0,0.28026169538497925,0.28026169538497925,0.0,0.0,16.0,0.0,0.0,152.0,22.0,1.0,0.0,2.9,29.4,2022-08-20T14:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,139859.0,1.0,3.0,0.0,3.0,3467.0,13727.0,10260.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,GK,Liverpool,Crystal Palace,1,1,2022-08-15,18221,2022,541887,0,0,0,0,0,0.4335341453552246,0.4335341453552246,0.0,0.0,13.0,0.0,0.0,152.0,16.0,1.0,0.0,2.6,26.4,2022-08-15T19:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,129964.0,1.0,1.0,0.0,2.0,-6586.0,2700.0,9286.0,45.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,GK,Crystal Palace,Arsenal,0,2,2022-08-05,18202,2022,539122,0,0,0,0,0,0.0250832661986351,0.0250832661986351,0.0,0.0,15.0,0.0,0.0,152.0,1.0,2.0,0.0,1.4,13.8,2022-08-05T19:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,120146.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,GK,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537798,0,0,0,0,0,0.07834828644990921,0.07834828644990921,0.0,3.0,28.0,1.0,0.0,146.0,376.0,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,38.0,4.0,505318.0,0.0,1.0,0.0,10.0,-15113.0,1827.0,16940.0,46.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,GK,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530539,0,0,0,0,0,0.02371838316321373,0.02371838316321373,0.0,0.0,16.0,0.0,0.0,146.0,346.0,1.0,0.0,1.9,18.6,2022-04-30T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,35.0,2.0,565219.0,2.0,1.0,0.0,2.0,5554.0,16999.0,11445.0,46.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,GK,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529865,0,0,0,0,0,0.15856385231018066,0.15856385231018066,0.0,1.0,25.0,1.0,0.0,146.0,336.0,0.0,0.0,1.7,16.6,2022-04-25T19:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,34.0,2.0,560336.0,0.0,0.0,0.0,7.0,9230.0,19362.0,10132.0,46.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,GK,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527899,0,0,0,0,0,0,0,0.0,0.0,16.0,0.0,0.0,146.0,296.0,1.0,0.0,2.0,20.0,2022-04-20T18:45:00Z,90.0,14.0,0.0,0.0,0.0,0.0,33.0,3.0,544423.0,0.0,1.0,0.0,3.0,2722.0,13225.0,10503.0,46.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,GK,Leicester,Crystal Palace,2,1,2022-04-10,16691,2021,525194,0,0,0,0,0,0.11976233124732971,0.11976233124732971,0.0,0.0,12.0,0.0,0.0,146.0,315.0,2.0,0.0,1.1,11.2,2022-04-10T13:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,32.0,1.0,546699.0,1.0,2.0,0.0,1.0,13604.0,18169.0,4565.0,46.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,GK,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523944,0,0,0,0,0,0.010493513196706772,0.010493513196706772,0.0,0.0,26.0,1.0,0.0,146.0,304.0,0.0,0.0,2.2,21.8,2022-04-04T19:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,31.0,3.0,531830.0,0.0,3.0,0.0,7.0,9510.0,19791.0,10281.0,46.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,GK,Crystal Palace,Manchester City,0,0,2022-03-14,16660,2021,520639,0,0,0,0,0,0,0,0.0,2.0,29.0,1.0,0.0,146.0,285.0,0.0,0.0,3.0,30.4,2022-03-14T20:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,29.0,4.0,524148.0,0.0,0.0,0.0,9.0,-14558.0,3275.0,17833.0,46.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,GK,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517618,0,0,0,0,0,0.24221989512443542,0.24221989512443542,0.0,2.0,29.0,1.0,0.0,146.0,280.0,0.0,0.0,3.3,32.8,2022-03-05T15:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,28.0,5.0,533763.0,2.0,0.0,0.0,8.0,-37819.0,1423.0,39242.0,46.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,49,GK,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514204,0,0,0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,146.0,254.0,0.0,0.0,1.2,12.2,2022-02-19T15:00:00Z,45.0,6.0,0.0,0.0,0.0,0.0,26.0,2.0,612492.0,1.0,0.0,0.0,1.0,-8367.0,12191.0,20558.0,46.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,GK,Brentford,Crystal Palace,0,0,2022-02-12,16616,2021,512658,0,0,0,0,0,0,0,0.0,0.0,24.0,1.0,0.0,146.0,241.0,0.0,0.0,1.8,18.2,2022-02-12T15:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,25.0,2.0,621190.0,0.0,0.0,0.0,6.0,-11947.0,10163.0,22110.0,46.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,GK,Norwich,Crystal Palace,1,1,2022-02-09,16609,2021,512157,0,0,0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,146.0,234.0,1.0,0.0,0.4,3.8,2022-02-09T19:45:00Z,90.0,15.0,0.0,0.0,0.0,0.0,24.0,0.0,634781.0,1.0,1.0,0.0,2.0,3414.0,23056.0,19642.0,46.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
