,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Everton,Manchester United,1,2,2022-10-09,18297,2022,555249,0,0,0,0,0,0.4253076910972595,0.4253076910972595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,51,Sub,Manchester City,Manchester United,6,3,2022-10-02,18289,2022,552945,0,0,0,0,0,0.11114594340324402,0.11114594340324402,0.0,,,,0.0,12.0,0.0,,,0.7,,,337.0,,,88.0,,3.0,0.0,1.2,,11.2,,2022-10-02T13:00:00Z,,,,50.0,,,13.0,0.0,,0.0,0.0,,0.0,9.0,0.0,8950.0,,,,3.0,6.0,0.0,0.0,-39.0,271.0,310.0,43.0,False,,0.0
2,0,0,0,90,DC,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537814,0,0,0,0,0,0,0,0.0,,,,0.0,13.0,0.0,,,0.0,,,284.0,,,376.0,,1.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,38.0,0.0,49230.0,,,,0.0,1.0,0.0,1.0,-130.0,752.0,882.0,48.0,False,,1.0
3,0,0,0,90,DC,Brighton,Manchester United,4,0,2022-05-07,16733,2021,534189,0,0,0,0,0,0,0,0.0,,,,0.0,14.0,0.0,,,0.4,,,284.0,,,353.0,,4.0,0.0,1.7,,16.6,,2022-05-07T16:30:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,36.0,0.0,51160.0,,,,0.0,4.0,0.0,0.0,-1431.0,1726.0,3157.0,48.0,False,,0.0
4,0,0,0,90,DC,Manchester United,Brentford,3,0,2022-05-02,16722,2021,531692,0,0,0,0,0,0.1514049768447876,0.1514049768447876,0.0,,,,0.0,27.0,1.0,,,0.4,,,284.0,,,344.0,,0.0,0.0,1.3,,13.0,,2022-05-02T19:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,35.0,0.0,52628.0,,,,0.0,3.0,0.0,6.0,-1597.0,1296.0,2893.0,48.0,True,,0.0
5,0,1,0.10022927820682526,90,DC,Manchester United,Chelsea,1,1,2022-04-28,16742,2021,529990,0,0,0,0,0.10022927820682526,0.012683862820267677,0.012683862820267677,0.0,,,,0.0,13.0,0.0,,,0.4,,,284.0,,,364.0,,1.0,0.0,4.0,,22.6,,2022-04-28T18:45:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,34.0,0.0,54388.0,,,,1.0,1.0,17.0,2.0,1077.0,4591.0,3514.0,48.0,True,,0.0
6,0,0,0,90,DC,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528386,0,0,0,0,0,0.5858314633369446,0.5858314633369446,0.0,,,,0.0,10.0,0.0,,,1.4,,,284.0,,,331.0,,3.0,0.0,0.7,,5.8,,2022-04-23T11:30:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,34.0,0.0,54388.0,,,,1.0,3.0,0.0,0.0,1077.0,4591.0,3514.0,48.0,False,,1.0
7,0,0,0,90,DC,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527540,0,0,0,0,0,0,0,0.0,,,,0.0,11.0,0.0,,,3.0,,,284.0,,,294.0,,4.0,0.0,1.5,,12.4,,2022-04-19T19:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,33.0,0.0,54334.0,,,,0.0,4.0,0.0,0.0,7320.0,8453.0,1133.0,48.0,False,,0.0
8,0,0,0,90,DC,Manchester United,Norwich,3,2,2022-04-16,16702,2021,526370,0,0,0,0,0,0.21241988241672516,0.21241988241672516,0.0,,,,0.0,18.0,0.0,,,2.9,,,284.0,,,324.0,,2.0,0.0,2.9,,21.6,,2022-04-16T14:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,33.0,0.0,54334.0,,,,2.0,3.0,4.0,1.0,7320.0,8453.0,1133.0,48.0,True,,0.0
9,0,0,0,90,DC,Everton,Manchester United,1,0,2022-04-09,16692,2021,524349,0,0,0,0,0,0.10674358904361725,0.10674358904361725,0.0,,,,0.0,12.0,0.0,,,1.2,,,284.0,,,314.0,,1.0,0.0,2.1,,13.6,,2022-04-09T11:30:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,32.0,0.0,45133.0,,,,0.0,1.0,6.0,2.0,113.0,776.0,663.0,48.0,False,,0.0
10,0,0,0,5,Sub,Manchester United,Tottenham,3,2,2022-03-12,16663,2021,519514,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,284.0,,,288.0,,0.0,0.0,0.1,,0.6,,2022-03-12T17:30:00Z,,,,7.0,,,17.0,0.0,,0.0,0.0,,0.0,29.0,0.0,45627.0,,,,2.0,3.0,0.0,1.0,0.0,1421.0,1421.0,48.0,True,,0.0
11,0,0,0,90,DC,Manchester City,Manchester United,4,1,2022-03-06,16650,2021,518460,0,0,0,0,0,0.13309994339942932,0.13309994339942932,0.0,,,,0.0,12.0,0.0,,,0.5,,,284.0,,,275.0,,4.0,0.0,1.1,,10.6,,2022-03-06T16:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,28.0,0.0,45179.0,,,,1.0,4.0,0.0,0.0,-207.0,1178.0,1385.0,48.0,False,,0.0
12,0,1,0.07682952284812927,90,DC,Manchester United,Watford,0,0,2022-02-26,16643,2021,516050,0.01828407123684883,0,1,0,0.07682952284812927,0.2922876179218292,0.2740035355091095,0.0,,,,3.0,28.0,1.0,,,12.7,,,284.0,,,268.0,,0.0,0.0,4.7,,16.2,,2022-02-26T15:00:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,27.0,0.0,46479.0,,,,0.0,0.0,18.0,9.0,749.0,1500.0,751.0,48.0,True,,0.0
13,0,0,0,90,DC,Leeds,Manchester United,2,4,2022-02-20,16630,2021,514695,0.02463890239596367,0,1,0,0,0.5533642172813416,0.5533642172813416,0.0,,,,0.0,16.0,0.0,,,10.8,,,284.0,,,255.0,,2.0,0.0,2.9,,18.2,,2022-02-20T14:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,26.0,0.0,43724.0,,,,4.0,2.0,0.0,1.0,-1136.0,457.0,1593.0,48.0,False,,0.0
14,0,0,0,90,DC,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513758,0,0,0,0,0,0,0,0.0,,,,0.0,24.0,1.0,,,0.5,,,284.0,,,174.0,,0.0,0.0,0.8,,7.2,,2022-02-15T20:15:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,25.0,0.0,45243.0,,,,0.0,2.0,0.0,6.0,-494.0,1037.0,1531.0,48.0,True,,0.0
15,0,0,0,90,DC,Brentford,Manchester United,1,3,2022-01-19,16537,2021,509202,0,0,0,0,0,0.5941383838653564,0.5941383838653564,0.0,,,,0.0,15.0,0.0,,,1.2,,,284.0,,,162.0,,1.0,0.0,3.0,,27.0,,2022-01-19T20:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,22.0,0.0,55578.0,,,,3.0,1.0,2.0,2.0,3165.0,6624.0,3459.0,48.0,False,,0.0
16,0,0,0,90,DC,Aston Villa,Manchester United,2,2,2022-01-15,16586,2021,508242,0,0,0,0,0,0.0668475329875946,0.0668475329875946,0.0,,,,0.0,21.0,0.0,,,0.2,,,284.0,,,211.0,,2.0,0.0,2.3,,20.6,,2022-01-15T17:30:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,22.0,0.0,55578.0,,,,2.0,2.0,2.0,1.0,3165.0,6624.0,3459.0,48.0,False,,0.0
17,0,0,0,75,DC,Norwich,Manchester United,0,1,2021-12-11,16535,2021,501866,0,0,0,0,0,0,0,0.0,,,,1.0,29.0,1.0,,,1.3,,,284.0,,,160.0,,0.0,0.0,1.4,,12.2,,2021-12-11T17:30:00Z,,,,73.0,,,15.0,0.0,,0.0,0.0,,0.0,16.0,0.0,67669.0,,,,1.0,0.0,0.0,7.0,16474.0,18719.0,2245.0,48.0,False,,0.0
18,0,0,0,90,DC,Manchester United,Crystal Palace,1,0,2021-12-05,16519,2021,500508,0,0,0,0,0,0.4312690198421478,0.4312690198421478,0.0,,,,0.0,22.0,1.0,,,3.0,,,284.0,,,144.0,,0.0,0.0,1.2,,9.4,,2021-12-05T14:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,15.0,0.0,48793.0,,,,0.0,1.0,0.0,5.0,6960.0,8274.0,1314.0,48.0,True,,1.0
19,0,1,0.012779193930327892,90,DC,Manchester United,Arsenal,3,2,2021-12-02,16512,2021,499465,0,0,0,0,0.012779193930327892,0.14332224428653717,0.14332224428653717,0.0,,,,0.0,16.0,0.0,,,1.0,,,284.0,,,134.0,,2.0,0.0,3.6,,18.0,,2021-12-02T20:15:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,14.0,0.0,41053.0,,,,2.0,3.0,17.0,1.0,848.0,1799.0,951.0,48.0,True,,0.0
