,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,87,DC,Brighton,Manchester City,1,4,2019-05-12,9576,2018,332218,0,0,0,0,0,0.36351096630096436,0.36351096630096436,0.0,83.0,0.0,0.0,0.0,16.0,0.0,1.0,82.0,3.2,2.0,0.0,263.0,0.0,0.0,371.0,1.0,1.0,0.0,1.8,21430.0,14.4,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,85.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,0.0,108988.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,30091.0,31010.0,919.0,52.0,False,0.0,0.0
1,1,1,0.016918685287237167,90,DC,Manchester City,Leicester,1,0,2019-05-06,9560,2018,331342,0,0,0,1,0.016918685287237167,0.14828811585903168,0.1313694268465042,0.0,84.0,0.0,0.0,2.0,37.0,1.0,4.0,76.0,3.6,0.0,0.0,263.0,0.0,0.0,367.0,2.0,0.0,1.0,6.4,20814.0,51.2,0.0,2019-05-06T19:00:00Z,06 May 20:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,0.0,75139.0,0.0,0.0,0.0,0.0,1.0,9.0,13.0,3117.0,3597.0,480.0,52.0,True,1.0,1.0
2,0,0,0,90,DC,Burnley,Manchester City,0,1,2019-04-28,9555,2018,329034,0,0,0,0,0,0.19859714806079865,0.19859714806079865,0.0,69.0,0.0,0.0,0.0,26.0,1.0,11.0,62.0,1.0,0.0,0.0,263.0,0.0,0.0,352.0,2.0,0.0,0.0,2.9,20199.0,25.8,0.0,2019-04-28T13:05:00Z,28 Apr 14:05,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,71732.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,826.0,1426.0,600.0,52.0,False,0.0,0.0
3,0,0,0,90,DC,Manchester United,Manchester City,0,2,2019-04-24,9501,2018,327649,0,0,0,0,0,0.2588663697242737,0.2588663697242737,0.0,87.0,0.0,0.0,0.0,26.0,1.0,6.0,78.0,0.1,1.0,0.0,263.0,0.0,0.0,306.0,1.0,0.0,0.0,2.2,19389.0,21.6,0.0,2019-04-24T19:00:00Z,24 Apr 20:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,35.0,0.0,70760.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,533.0,1191.0,658.0,52.0,False,0.0,1.0
4,0,0,0,90,DC,Crystal Palace,Manchester City,1,3,2019-04-14,9534,2018,324884,0,0,0,0,0,0.6668384075164795,0.6668384075164795,0.0,89.0,0.0,0.0,0.0,15.0,0.0,7.0,84.0,1.8,0.0,0.0,263.0,0.0,0.0,333.0,0.0,1.0,0.0,3.3,18714.0,29.0,0.0,2019-04-14T13:05:00Z,14 Apr 14:05,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,0.0,69975.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,-737.0,233.0,970.0,52.0,False,0.0,0.0
5,0,1,0.014300267212092876,90,DC,Manchester City,Watford,3,1,2019-03-09,9489,2018,314682,0,0,0,0,0.014300267212092876,0.2217850685119629,0.20748479664325714,0.0,82.0,0.0,0.0,0.0,13.0,0.0,5.0,76.0,4.8,0.0,0.0,263.0,0.0,0.0,298.0,2.0,1.0,0.0,3.3,16479.0,20.6,0.0,2019-03-09T17:30:00Z,09 Mar 17:30,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,73577.0,0.0,0.0,0.0,1.0,3.0,8.0,2.0,390.0,2121.0,1731.0,52.0,True,0.0,0.0
6,0,1,0.11173313856124878,39,Sub,Bournemouth,Manchester City,0,1,2019-03-02,9486,2018,305373,0,0,0,0,0.11173313856124878,0.16083693504333496,0.16083693504333496,0.0,46.0,0.0,0.0,0.0,7.0,0.0,0.0,43.0,1.5,0.0,0.0,263.0,0.0,0.0,281.0,0.0,0.0,0.0,0.9,15873.0,3.6,0.0,2019-03-02T15:00:00Z,02 Mar 15:00,0.0,0.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,72904.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,3124.0,3680.0,556.0,52.0,False,0.0,0.0
7,0,0,0,90,DC,Manchester City,West Ham,1,0,2019-02-27,9475,2018,305100,0,0,0,0,0,0.4398634433746338,0.4398634433746338,0.0,82.0,0.0,0.0,0.0,26.0,1.0,3.0,75.0,1.6,0.0,0.0,263.0,0.0,0.0,278.0,0.0,0.0,0.0,1.6,15268.0,14.2,0.0,2019-02-27T20:00:00Z,27 Feb 20:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,69709.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4232.0,4498.0,266.0,52.0,True,0.0,0.0
8,0,0,0,90,DC,Manchester City,Liverpool,2,1,2019-01-03,9400,2018,303291,0,0,0,0,0,0.11064901947975159,0.11064901947975159,0.0,78.0,0.0,0.0,0.0,16.0,0.0,7.0,71.0,0.5,0.0,0.0,263.0,0.0,0.0,207.0,1.0,1.0,0.0,1.7,11224.0,16.8,0.0,2019-01-03T20:00:00Z,03 Jan 20:00,0.0,0.0,87.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,69735.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,29.0,886.0,857.0,52.0,True,0.0,1.0
9,0,1,0.0502549447119236,90,DC,Southampton,Manchester City,1,3,2018-12-30,9389,2018,291604,0,0,0,0,0.0502549447119236,1.2687991857528687,1.2687991857528687,0.0,108.0,0.0,0.0,0.0,14.0,0.0,5.0,105.0,2.3,0.0,0.0,263.0,0.0,0.0,198.0,4.0,1.0,0.0,4.3,10656.0,22.8,0.0,2018-12-30T14:15:00Z,30 Dec 14:15,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,0.0,69354.0,0.0,3.0,0.0,3.0,1.0,18.0,1.0,-1907.0,66.0,1973.0,52.0,False,0.0,1.0
