,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Leeds,Burnley,3,1,2022-01-02,16581,2021,505633,0,0,0,0,0,0,0,0.0,,,,0.0,17.0,0.0,,,0.0,,,480.0,,,206.0,,3.0,0.0,3.4,,34.0,,2022-01-02T14:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,21.0,4.0,16519.0,,,,1.0,3.0,0.0,2.0,410.0,761.0,351.0,45.0,False,,0.0
1,0,0,0,90,GK,Manchester United,Burnley,3,1,2021-12-30,16574,2021,505408,0.1527586430311203,0,3,0,0,0.07922413945198059,0,0.0,,,,0.0,20.0,0.0,,,30.0,,,480.0,,,198.0,,3.0,0.0,5.9,,28.8,,2021-12-30T20:15:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,20.0,4.0,15572.0,,,,1.0,3.0,0.0,2.0,-60.0,77.0,137.0,45.0,False,,0.0
2,0,0,0,90,GK,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402533,0,0,0,0,0,0,0,0.0,,,,0.0,16.0,0.0,,,0.0,,,132.0,,,304.0,,4.0,0.0,2.3,,23.0,,2020-06-24T19:15:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,40.0,3.0,42620.0,,,,0.0,4.0,0.0,1.0,-415.0,358.0,773.0,42.0,False,,0.0
3,0,0,0,90,GK,Arsenal,Crystal Palace,2,2,2019-10-27,11733,2019,360291,0,0,0,0,0,0.11491350084543228,0.11491350084543228,0.0,,,,0.0,15.0,0.0,,,0.0,,,132.0,,,91.0,,2.0,0.0,3.2,,32.2,,2019-10-27T16:30:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,10.0,4.0,47319.0,,,,2.0,2.0,0.0,2.0,771.0,1487.0,716.0,44.0,False,,0.0
4,0,0,0,90,GK,Crystal Palace,Manchester City,0,2,2019-10-19,11726,2019,358085,0,0,0,0,0,0,0,0.0,,,,0.0,27.0,0.0,,,0.0,,,132.0,,,84.0,,2.0,0.0,5.5,,55.2,,2019-10-19T16:30:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,9.0,9.0,46047.0,,,,2.0,0.0,0.0,4.0,-1774.0,458.0,2232.0,44.0,True,,0.0
5,0,0,0,90,GK,Burnley,Crystal Palace,1,3,2019-03-02,9484,2018,305305,0,0,0,0,0,0.046294957399368286,0.046294957399368286,0.0,37.0,0.0,0.0,0.0,16.0,0.0,4.0,15.0,0.0,0.0,0.0,135.0,0.0,0.0,283.0,0.0,1.0,0.0,2.5,15745.0,25.0,0.0,2019-03-02T15:00:00Z,02 Mar 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,29.0,3.0,175157.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,-3805.0,400.0,4205.0,45.0,False,0.0,0.0
6,0,0,0,46,Sub,Crystal Palace,Watford,1,2,2019-01-12,9412,2018,303358,0,0,0,0,0,0,0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,135.0,0.0,0.0,215.0,0.0,2.0,0.0,0.0,11666.0,0.4,0.0,2019-01-12T15:00:00Z,12 Jan 15:00,0.0,0.0,45.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,0.0,258633.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-26325.0,2741.0,29066.0,45.0,True,0.0,0.0
7,0,0,0,90,GK,West Ham,Crystal Palace,3,2,2018-12-08,9347,2018,278210,0,0,0,0,0,0.028204718604683876,0.028204718604683876,0.0,27.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,135.0,1.0,0.0,160.0,0.0,3.0,0.0,1.8,8274.0,18.0,0.0,2018-12-08T15:00:00Z,08 Dec 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,3.0,397069.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,-194.0,9521.0,9715.0,45.0,False,0.0,0.0
8,0,0,0,90,GK,Brighton,Crystal Palace,3,1,2018-12-04,9337,2018,277932,0,0,0,0,0,0.05487162619829178,0.05487162619829178,0.0,21.0,0.0,0.0,0.0,7.0,0.0,1.0,13.0,0.0,0.0,0.0,135.0,0.0,0.0,142.0,0.0,3.0,0.0,0.2,7716.0,2.4,0.0,2018-12-04T19:45:00Z,04 Dec 19:45,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,398504.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,18709.0,24685.0,5976.0,45.0,False,0.0,0.0
9,0,0,0,90,GK,Crystal Palace,Burnley,2,0,2018-12-01,9333,2018,277779,0,0,0,0,0,0.14873164892196655,0.14873164892196655,0.0,25.0,0.0,0.0,0.0,21.0,1.0,0.0,16.0,0.0,0.0,0.0,135.0,0.0,0.0,134.0,0.0,0.0,0.0,0.3,7160.0,3.2,0.0,2018-12-01T15:00:00Z,01 Dec 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,0.0,380136.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,28184.0,31087.0,2903.0,45.0,True,0.0,0.0
10,0,0,0,90,GK,Manchester United,Crystal Palace,0,0,2018-11-24,9319,2018,277435,0,0,0,0,0,0.02037326991558075,0.02037326991558075,0.0,23.0,0.0,0.0,3.0,34.0,1.0,4.0,7.0,0.0,0.0,0.0,135.0,0.0,0.0,126.0,0.0,0.0,0.0,3.4,6607.0,34.4,0.0,2018-11-24T15:00:00Z,24 Nov 15:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,5.0,345342.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-12227.0,1361.0,13588.0,45.0,False,0.0,0.0
11,0,0,0,90,GK,Crystal Palace,Tottenham,0,1,2018-11-10,9312,2018,277226,0,0,0,0,0,0.01517385896295309,0.01517385896295309,0.0,22.0,0.0,0.0,0.0,11.0,0.0,2.0,9.0,0.0,0.0,0.0,135.0,0.0,0.0,114.0,0.0,1.0,0.0,0.8,6055.0,7.8,0.0,2018-11-10T17:30:00Z,10 Nov 17:30,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,1.0,357474.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-15906.0,1075.0,16981.0,46.0,True,0.0,0.0
12,0,0,0,90,GK,Chelsea,Crystal Palace,3,1,2018-11-04,9305,2018,277047,0,0,0,0,0,0.10132592171430588,0.10132592171430588,0.0,26.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,135.0,0.0,0.0,104.0,0.0,3.0,0.0,1.8,5505.0,17.8,0.0,2018-11-04T16:00:00Z,04 Nov 16:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,3.0,371843.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,-37140.0,915.0,38055.0,46.0,False,0.0,0.0
13,0,0,0,90,GK,Crystal Palace,Arsenal,2,2,2018-10-28,9294,2018,276698,0,0,0,0,0,0,0,0.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,135.0,0.0,0.0,93.0,0.0,2.0,0.0,0.1,4957.0,1.2,0.0,2018-10-28T13:30:00Z,28 Oct 13:30,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,407811.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,-32343.0,2819.0,35162.0,46.0,True,0.0,0.0
14,0,0,0,90,GK,Everton,Crystal Palace,2,0,2018-10-21,9285,2018,276493,0,0,0,0,0,0,0,0.0,29.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,135.0,0.0,0.0,85.0,0.0,2.0,0.0,1.8,4411.0,17.6,0.0,2018-10-21T15:00:00Z,21 Oct 16:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,2.0,440689.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-18203.0,12688.0,30891.0,46.0,False,0.0,0.0
15,0,0,0,90,GK,Crystal Palace,Wolverhampton Wanderers,0,1,2018-10-06,9271,2018,276092,0,0,0,0,0,0.009517453610897064,0.009517453610897064,0.0,36.0,0.0,0.0,0.0,9.0,0.0,0.0,19.0,0.0,0.0,0.0,135.0,0.0,0.0,73.0,0.0,1.0,0.0,1.2,3869.0,11.8,0.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,460160.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30084.0,40811.0,10727.0,46.0,True,0.0,0.0
