,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.013224680908024311,64,AMC,Huddersfield,Everton,0,2,2018-04-28,7471,2017,235788,0,0,0,0,0.013224680908024311,0.3647918105125427,0.3515671193599701,0.0,39.0,0.0,0.0,0.0,9.0,1.0,3.0,29.0,14.9,0.0,0.0,161.0,0.0,0.0,353.0,0.0,0.0,0.0,2.4,20318.0,6.2,0.0,2018-04-28T14:00:00Z,28 Apr 15:00,0.0,0.0,62.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,36.0,0.0,580044.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,-5943.0,5440.0,11383.0,71.0,False,0.0,0.0
1,0,2,0.03349035233259201,90,MC,Everton,Newcastle United,1,0,2018-04-23,7461,2017,235328,0.10180746763944626,0,2,0,0.03349035233259201,0.07437904924154282,0,0.0,54.0,0.0,0.0,0.0,16.0,1.0,6.0,40.0,36.9,0.0,0.0,161.0,0.0,0.0,345.0,0.0,0.0,0.0,6.8,19846.0,22.4,2.0,2018-04-23T19:00:00Z,23 Apr 20:00,0.0,0.0,90.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,35.0,0.0,589038.0,2.0,1.0,1.0,0.0,1.0,9.0,2.0,7227.0,15288.0,8061.0,71.0,True,0.0,0.0
2,0,2,0.09569144248962402,89,AMC,Swansea,Everton,1,1,2018-04-14,7456,2017,232114,0.03408234938979149,0,1,0,0.09569144248962402,0.7727957367897034,0.7399147748947144,0.0,44.0,0.0,0.0,0.0,5.0,0.0,1.0,38.0,19.8,0.0,0.0,161.0,0.0,0.0,338.0,2.0,1.0,0.0,2.7,19119.0,4.8,1.0,2018-04-14T14:00:00Z,14 Apr 15:00,0.0,0.0,86.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,575441.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,-13265.0,6447.0,19712.0,72.0,False,0.0,0.0
3,0,1,0.014556501992046833,57,MC,Everton,Liverpool,0,0,2018-04-07,7443,2017,230353,0,0,0,0,0.014556501992046833,0.014556501992046833,0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,3.0,12.0,0.9,0.0,0.0,161.0,0.0,0.0,325.0,1.0,0.0,0.0,1.5,18393.0,6.4,0.0,2018-04-07T11:30:00Z,07 Apr 12:30,0.0,0.0,56.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,0.0,589654.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,-15993.0,7084.0,23077.0,72.0,True,0.0,0.0
4,0,0,0,58,DMC,Everton,Manchester City,1,3,2018-03-31,7433,2017,227086,0.060853876173496246,0,1,0,0,0,0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,14.3,1.0,0.0,161.0,0.0,0.0,315.0,0.0,3.0,0.0,1.9,17756.0,4.4,1.0,2018-03-31T16:30:00Z,31 Mar 17:30,0.0,0.0,56.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,604436.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,-34752.0,10493.0,45245.0,72.0,True,0.0,0.0
5,0,2,0.05678097903728485,88,DMC,Stoke,Everton,1,2,2018-03-17,7425,2017,224003,0.3926498293876648,0,5,0,0.05678097903728485,0.6287742853164673,0.47901618480682373,0.0,60.0,2.0,0.0,1.0,26.0,0.0,3.0,50.0,58.4,0.0,0.0,161.0,0.0,0.0,307.0,0.0,1.0,0.0,10.0,17404.0,27.4,5.0,2018-03-17T15:00:00Z,17 Mar 15:00,0.0,0.0,86.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,31.0,0.0,723679.0,3.0,1.0,0.0,2.0,1.0,14.0,3.0,47803.0,61843.0,14040.0,72.0,False,0.0,0.0
6,0,3,0.7941974997520447,90,MC,Everton,Brighton,2,0,2018-03-10,7412,2017,222351,0.07384421676397324,0,2,0,0.033028628677129745,0.1958073228597641,0.1496138870716095,0.0,66.0,0.0,1.0,0.0,4.0,1.0,6.0,53.0,25.7,0.0,0.0,161.0,0.0,0.0,294.0,2.0,0.0,0.0,6.9,16855.0,17.2,2.0,2018-03-10T15:00:00Z,10 Mar 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,30.0,0.0,589260.0,1.0,0.0,1.0,0.0,2.0,26.0,0.0,-16599.0,8062.0,24661.0,72.0,True,0.0,0.0
7,0,0,0,29,Sub,Burnley,Everton,2,1,2018-03-03,7400,2017,220715,0,0,0,0,0,0.0800139531493187,0.0800139531493187,0.0,22.0,0.0,0.0,0.0,3.0,0.0,1.0,19.0,1.9,0.0,0.0,161.0,0.0,0.0,282.0,0.0,1.0,0.0,0.9,16222.0,6.8,0.0,2018-03-03T12:30:00Z,03 Mar 12:30,0.0,0.0,31.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,570854.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-13166.0,8625.0,21791.0,72.0,False,0.0,0.0
8,0,1,0.03586641326546669,83,MC,Watford,Everton,1,0,2018-02-24,7392,2017,219337,0,0,0,0,0.03586641326546669,0.1877141147851944,0.151847705245018,0.0,40.0,0.0,0.0,0.0,11.0,0.0,4.0,28.0,2.8,1.0,0.0,161.0,0.0,0.0,279.0,0.0,1.0,0.0,1.6,15592.0,7.0,0.0,2018-02-24T17:30:00Z,24 Feb 17:30,0.0,0.0,81.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,0.0,583095.0,3.0,1.0,1.0,0.0,1.0,6.0,2.0,-31679.0,15814.0,47493.0,72.0,False,0.0,0.0
9,0,1,0.04990005865693092,90,DMC,Everton,Crystal Palace,3,1,2018-02-10,7380,2017,215083,0,0,0,0,0.04990005865693092,0.01520549040287733,0.01520549040287733,0.0,46.0,0.0,0.0,0.0,11.0,0.0,3.0,39.0,6.7,0.0,0.0,161.0,0.0,0.0,262.0,3.0,1.0,0.0,2.1,14965.0,6.2,0.0,2018-02-10T15:00:00Z,10 Feb 15:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,611973.0,0.0,1.0,0.0,1.0,3.0,8.0,2.0,-58274.0,17035.0,75309.0,73.0,True,0.0,0.0
