,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,1,Sub,Leicester,Southampton,4,1,2022-05-22,16752,2021,537882,0,0,0,0,0,0,0,0,0,3,0,0.0,347,377,1,0,0.0,0.0,2022-05-22T15:00:00Z,1,9,0,0,0,0,38,0,1825,1,4,0.0,1,3,35,32,45,False,0
1,0,0,0,15,Sub,Southampton,Chelsea,0,6,2022-04-09,16687,2021,524615,0,0,0,0,0,0,0,0,0,5,0,0.5,347,319,0,0,0.3,2.6,2022-04-09T14:00:00Z,17,6,0,0,0,0,32,0,1801,6,0,0.0,1,25,46,21,45,True,0
2,0,0,0,48,FW,Southampton,Watford,1,2,2022-03-13,16664,2021,520133,0,0,0,0,0,0,0,0,0,6,0,1.0,347,289,2,0,0.2,1.2,2022-03-13T14:00:00Z,45,18,0,0,0,0,29,0,1759,2,1,0.0,1,-36,23,59,45,True,0
3,0,1,0.06670796126127243,72,MR,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503264,0.05095229297876358,0,1,0,0.06670796126127243,0.06670796126127243,0,0,0,11,0,14.2,347,165,2,0,2.6,3.4,2021-12-15T19:30:00Z,69,7,0,0,0,0,17,0,1572,2,2,8.0,2,-116,48,164,45,False,0
4,0,1,0.046092383563518524,63,ML,Leicester,Southampton,2,0,2021-01-16,14619,2020,442498,0,0,0,0,0.046092383563518524,0.16256141662597656,0.11646902561187744,0,0,9,0,3.3,379,183,1,0,2.2,9.6,2021-01-16T20:00:00Z,60,9,0,0,0,0,19,0,14214,0,2,9.0,2,-456,100,556,44,False,0
5,0,0,0,32,Sub,Southampton,Tottenham,2,5,2020-09-20,14100,2020,416211,0,0,0,0,0,0.024052973836660385,0.024052973836660385,0,0,4,0,0.9,379,17,3,0,0.6,5.0,2020-09-20T11:00:00Z,35,17,0,0,0,0,2,0,36698,5,2,0.0,1,5527,12240,6713,45,True,0
6,0,0,0,79,MR,Crystal Palace,Southampton,1,0,2020-09-12,14087,2020,414577,0,0,0,0,0,0,0,0,0,4,0,3.2,379,1,1,0,0.5,2.2,2020-09-12T14:00:00Z,76,6,0,0,0,0,1,0,23808,0,1,0.0,2,0,0,0,45,False,0
7,0,2,0.03840358182787895,61,Sub,Southampton,Sheffield United,3,1,2020-07-26,12015,2019,411426,0.08274481445550919,1,1,0,0.03840358182787895,0.31709831953048706,0.21503058075904846,1,1,23,1,12.4,584,379,0,0,4.1,22.2,2020-07-26T15:00:00Z,60,15,0,0,0,0,47,0,1550,1,3,6.0,7,29,193,164,45,True,0
8,0,0,0,81,MR,Southampton,Brighton,1,1,2020-07-16,12002,2019,409458,0.050492823123931885,0,1,0,0,0.06507814675569534,0.014585325494408607,0,0,14,0,17.4,584,359,1,0,2.2,4.8,2020-07-16T19:15:00Z,77,4,0,0,0,0,45,0,1350,1,1,0.0,2,23,109,86,45,True,0
9,0,0,0,17,Sub,Manchester United,Southampton,2,2,2020-07-13,11987,2019,408410,0,0,0,0,0,0,0,0,0,3,0,1.8,584,345,0,0,0.5,0.8,2020-07-13T19:00:00Z,21,12,0,0,0,0,44,0,1340,2,2,2.0,1,211,326,115,45,False,0
10,0,0,0,1,Sub,Everton,Southampton,1,1,2020-07-09,11978,2019,407020,0,0,0,0,0,0,0,0,0,3,0,0.3,584,336,0,0,0.0,0.0,2020-07-09T17:00:00Z,2,8,0,0,0,0,43,0,1114,1,1,0.0,1,112,218,106,45,False,0
11,0,0,0,1,Sub,Southampton,Manchester City,1,0,2020-07-05,11970,2019,406016,0,0,0,0,0,0,0,0,0,3,0,0.0,584,328,0,0,0.0,0.0,2020-07-05T18:00:00Z,1,11,0,0,0,0,42,0,995,0,1,0.0,1,334,443,109,45,True,0
