,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,65,DC,Nottingham Forest,Fulham,2,3,2022-09-16,18273,2022,550243,0,0,0,0,0,0.07709718495607376,0.07709718495607376,0,0,5,0,0.0,474,78,3,0,0.9,8.8,2022-09-16T19:00:00Z,63,9,0,0,0,0,8,0,19067,3,2,0.0,0,-283,238,521,43,True,1,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537900,0,0,0,0,0,0.29462411999702454,0.29462411999702454,0,0,23,0,0.0,428,378,3,0,0.0,0.0,2022-05-22T15:00:00Z,90,11,0,0,0,0,38,0,11106,1,3,0.0,1,-638,363,1001,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DC,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536027,0,0,0,0,0,0.49808937311172485,0.49808937311172485,0,0,15,0,2.0,428,370,1,0,2.4,19.8,2022-05-15T13:00:00Z,90,15,0,0,0,0,37,0,12514,1,1,2.0,2,1234,1856,622,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DC,Wolverhampton Wanderers,Manchester City,1,5,2022-05-11,16696,2021,534888,0,0,0,0,0,0,0,0,0,12,0,0.1,428,330,5,0,0.8,8.0,2022-05-11T19:15:00Z,90,12,0,0,0,0,36,0,10382,5,1,0.0,0,220,817,597,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534272,0.0629572719335556,0,1,0,0,0.6246952414512634,0.6246952414512634,0,0,18,0,10.6,428,355,2,0,3.5,24.6,2022-05-07T14:00:00Z,90,6,0,0,0,0,36,0,10382,2,2,0.0,1,220,817,597,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,0.08892803639173508,90,DC,Wolverhampton Wanderers,Brighton,0,3,2022-04-30,16716,2021,530475,0,0,0,0,0.08892803639173508,0.025506189092993736,0.025506189092993736,0,0,12,0,0.5,428,350,3,0,2.9,7.0,2022-04-30T14:00:00Z,90,4,0,0,0,0,35,0,10154,3,0,21.0,1,615,905,290,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529310,0,0,0,0,0,0.226065531373024,0.226065531373024,0,0,23,0,1.3,428,334,1,0,3.9,35.2,2022-04-24T13:00:00Z,90,5,0,0,0,0,34,0,9421,0,1,2.0,2,477,713,236,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524202,0,0,0,0,0,0,0,0,0,11,0,0.9,428,317,1,0,1.2,11.4,2022-04-08T19:00:00Z,90,14,0,0,0,0,32,0,9061,0,1,0.0,2,241,428,187,49,False,0,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Wolverhampton Wanderers,Aston Villa,2,1,2022-04-02,16676,2021,522834,0,0,0,0,0,0.16290146112442017,0.16290146112442017,0,0,15,0,0.7,428,310,1,0,2.3,22.6,2022-04-02T14:00:00Z,90,2,0,0,0,0,31,0,8710,1,2,0.0,2,-464,147,611,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520931,0,0,0,0,0,0.44710415601730347,0.44710415601730347,0,0,12,0,0.8,428,300,3,0,1.7,16.2,2022-03-18T20:00:00Z,90,10,0,0,0,0,30,0,12261,3,2,0.0,0,1138,1488,350,49,True,1,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Wolverhampton Wanderers,Watford,4,0,2022-03-10,16565,2021,518886,0,0,0,0,0,0.2710414528846741,0.2710414528846741,0,0,24,1,1.1,428,190,0,0,1.6,12.4,2022-03-10T19:30:00Z,90,18,0,0,0,0,28,0,7709,0,4,2.0,6,323,566,243,49,True,0,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.012515347450971603,90,DC,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473476,0,0,0,0,0.012515347450971603,0.15402132272720337,0.14150598645210266,0,0,11,0,1.7,458,378,2,0,1.4,11.2,2021-05-23T15:00:00Z,90,13,0,0,0,0,38,0,93387,2,1,1.0,0,-82,375,457,54,True,1,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.019170094281435013,80,DC,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472502,0,0,0,0,0.019170094281435013,0,0,0,0,11,0,0.6,458,363,1,0,3.0,7.8,2021-05-19T17:00:00Z,79,7,0,0,0,0,37,0,93421,0,1,22.0,2,-255,156,411,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,DC,Wolverhampton Wanderers,Burnley,0,4,2021-04-25,14764,2020,465769,0.057026490569114685,0,1,0,0,0.057026490569114685,0,0,0,13,0,10.3,458,328,4,0,2.5,14.8,2021-04-25T11:00:00Z,90,4,0,0,0,0,33,0,98582,4,0,0.0,0,4992,5484,492,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.11542987078428268,90,DC,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463102,0,0,0,0,0.11542987078428268,0.07262488454580307,0.07262488454580307,0,0,24,1,0.3,458,318,0,0,4.5,24.8,2021-04-17T19:15:00Z,90,15,0,0,0,0,32,0,92893,0,1,20.0,6,-1046,127,1173,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.025179674848914146,90,DC,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,14714,2020,457420,0,0,0,0,0.025179674848914146,0.042834676802158356,0.042834676802158356,0,0,12,0,1.3,458,278,1,0,4.0,16.6,2021-03-15T20:00:00Z,90,11,0,0,0,0,28,0,94225,1,0,22.0,2,-633,324,957,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,0.04729079827666283,90,DC,Wolverhampton Wanderers,Arsenal,2,1,2021-02-02,14650,2020,446685,0,0,0,0,0.04729079827666283,0.6350359916687012,0.6350359916687012,0,0,15,0,1.1,458,215,1,0,3.4,26.0,2021-02-02T18:00:00Z,90,1,0,0,0,0,22,0,115879,1,2,7.0,2,259,3537,3278,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,DC,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445692,0,0,0,0,0,0.026532499119639397,0.026532499119639397,0,0,22,0,0.6,458,202,1,0,2.4,23.4,2021-01-30T15:00:00Z,90,6,0,0,0,0,21,0,115294,0,1,0.0,2,4412,6176,1764,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,DC,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445077,0,0,0,0,0,0,0,0,0,22,1,0.1,458,194,0,0,1.7,17.0,2021-01-27T18:00:00Z,90,5,0,0,0,0,20,0,110286,0,0,0.0,6,1758,3987,2229,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
19,1,6,0.7411370873451233,90,DC,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442074,0.4690481424331665,1,1,1,0.7411370873451233,0.21793867647647858,0.11240985989570618,1,2,35,0,10.8,458,188,3,1,15.4,68.8,2021-01-16T12:30:00Z,90,18,0,0,0,0,19,0,107161,3,2,74.0,12,-5356,86,5442,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,DC,Wolverhampton Wanderers,Chelsea,2,1,2020-12-15,14562,2020,434291,0,0,0,0,0,0.015011422336101532,0.015011422336101532,0,0,17,0,0.5,458,126,1,0,2.4,23.2,2020-12-15T18:00:00Z,90,5,0,0,0,0,13,0,175409,1,2,0.0,2,-15297,1054,16351,55,True,0,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432303,0,0,0,0,0,0.030498741194605827,0.030498741194605827,0,0,9,0,0.3,458,103,4,0,2.1,18.8,2020-12-06T19:15:00Z,90,11,0,0,0,0,11,0,197429,0,4,2.0,0,-8747,4389,13136,55,False,0,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,90,DC,Arsenal,Wolverhampton Wanderers,1,2,2020-11-29,14525,2020,430674,0,0,0,0,0,0.6508771181106567,0.6508771181106567,0,0,8,0,0.5,458,89,1,0,1.3,12.8,2020-11-29T19:15:00Z,90,1,0,0,0,0,10,0,206225,2,1,0.0,1,-4080,5497,9577,55,False,1,,,,,,,,,,,,,,,,,,,,,,,
23,0,1,0.01099466998130083,90,DC,Wolverhampton Wanderers,Southampton,1,1,2020-11-23,14524,2020,429141,0,0,0,0,0.01099466998130083,0.19270062446594238,0.19270062446594238,0,0,11,0,0.3,458,88,1,0,2.0,13.2,2020-11-23T20:00:00Z,90,16,0,0,0,0,9,0,210804,1,1,6.0,2,3542,13918,10376,55,True,0,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,DC,Leicester,Wolverhampton Wanderers,1,0,2020-11-08,14510,2020,427065,0.02522078901529312,0,1,0,0,0.04482234641909599,0.04482234641909599,0,0,18,0,11.8,458,74,1,0,3.7,25.6,2020-11-08T14:00:00Z,90,9,0,0,0,0,8,0,203765,0,1,0.0,2,10280,18706,8426,55,False,0,,,,,,,,,,,,,,,,,,,,,,,
25,0,1,0.09632275998592377,90,DC,Wolverhampton Wanderers,Crystal Palace,2,0,2020-10-30,14504,2020,424163,0,0,0,0,0.09632275998592377,0.053416360169649124,0.053416360169649124,0,0,24,1,0.3,458,68,0,0,1.7,10.6,2020-10-30T20:00:00Z,90,6,0,0,0,0,7,0,191602,0,2,6.0,6,8602,17362,8760,55,True,0,,,,,,,,,,,,,,,,,,,,,,,
