,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503259,0,0,0,0,0,0,0,0.0,,,,0.0,13.0,0.0,,,0.0,,,641.0,,,165.0,,2.0,0.0,3.6,,35.6,,2021-12-15T19:30:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,17.0,4.0,3332.0,,,,2.0,2.0,0.0,1.0,902.0,1502.0,600.0,45.0,False,,1.0
1,0,0,0,90,GK,Arsenal,Southampton,3,0,2021-12-11,16526,2021,501710,0,0,0,0,0,0,0,0.0,,,,0.0,10.0,0.0,,,0.0,,,641.0,,,151.0,,3.0,0.0,1.8,,17.6,,2021-12-11T15:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,16.0,2.0,2374.0,,,,0.0,3.0,0.0,1.0,2126.0,2252.0,126.0,45.0,False,,0.0
2,0,0,0,90,GK,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417598,0,0,0,0,0,0.14356312155723572,0.14356312155723572,0.0,,,,0.0,7.0,0.0,,,0.0,,,101.0,,,27.0,,3.0,0.0,0.4,,4.2,,2020-09-26T16:30:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,3.0,0.0,21775.0,,,,3.0,3.0,0.0,1.0,-1955.0,1763.0,3718.0,49.0,False,,0.0
3,0,0,0,90,GK,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411260,0,0,0,0,0,0.06673698872327805,0.06673698872327805,0.0,,,,0.0,25.0,1.0,,,0.0,,,112.0,,,373.0,,0.0,0.0,1.0,,10.2,,2020-07-26T15:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,47.0,1.0,18058.0,,,,0.0,2.0,0.0,6.0,38.0,218.0,180.0,48.0,True,,0.0
4,0,0,0,90,GK,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387492,0,0,0,0,0,0,0,0.0,,,,0.0,12.0,0.0,,,0.0,,,112.0,,,272.0,,2.0,0.0,2.8,,27.8,,2020-02-29T15:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,28.0,3.0,23093.0,,,,2.0,2.0,0.0,2.0,4366.0,4826.0,460.0,48.0,False,,0.0
5,0,0,0,90,GK,Chelsea,Tottenham,2,1,2020-02-22,11906,2019,387125,0,0,0,0,0,0,0,0.0,,,,0.0,16.0,0.0,,,0.0,,,112.0,,,263.0,,1.0,0.0,2.3,,23.0,,2020-02-22T12:30:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,27.0,3.0,15900.0,,,,1.0,2.0,0.0,3.0,369.0,568.0,199.0,48.0,True,,0.0
6,0,0,0,90,GK,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387070,0,0,0,0,0,0.023380545899271965,0.023380545899271965,0.0,,,,0.0,10.0,0.0,,,0.0,,,112.0,,,254.0,,2.0,0.0,1.2,,12.0,,2020-02-17T20:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,26.0,1.0,15371.0,,,,2.0,0.0,0.0,1.0,315.0,435.0,120.0,48.0,True,,0.0
7,0,0,0,90,GK,Leicester,Chelsea,2,2,2020-02-01,11886,2019,386591,0,0,0,0,0,0.05686303228139877,0.05686303228139877,0.0,,,,0.0,11.0,0.0,,,0.0,,,112.0,,,244.0,,2.0,0.0,1.7,,17.2,,2020-02-01T12:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,25.0,2.0,14954.0,,,,2.0,2.0,0.0,1.0,-72.0,56.0,128.0,48.0,False,,0.0
8,0,0,0,90,GK,Leicester,Chelsea,0,0,2019-05-12,9572,2018,332327,0,0,0,0,0,0.14864927530288696,0.14864927530288696,0.0,27.0,0.0,0.0,0.0,26.0,1.0,1.0,24.0,1.0,0.0,0.0,112.0,0.0,0.0,375.0,0.0,0.0,0.0,2.2,21279.0,21.0,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,38.0,3.0,8465.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-50.0,35.0,85.0,47.0,False,0.0,0.0
9,0,0,0,90,GK,Chelsea,Tottenham,2,0,2019-02-27,9474,2018,305153,0,0,0,0,0,0.2673094570636749,0.2673094570636749,0.0,27.0,0.0,0.0,0.0,19.0,1.0,1.0,18.0,0.0,0.0,0.0,112.0,0.0,0.0,276.0,0.0,0.0,0.0,0.4,15117.0,3.6,0.0,2019-02-27T20:00:00Z,27 Feb 20:00,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,7596.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,187.0,246.0,59.0,47.0,True,0.0,0.0
