,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.030624492093920708,26,DC,Swansea,West Ham,4,1,2018-03-03,7406,2017,220982,0,0,0,0,0.030624492093920708,0,0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,442.0,0.0,0.0,288.0,1.0,1.0,0.0,0.5,16503.0,0.0,0.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,26.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,35459.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,-81.0,79.0,160.0,48.0,False,0.0,0.0
1,0,0,0,90,DC,Tottenham,West Ham,1,1,2018-01-04,7326,2017,206699,0,0,0,0,0,0,0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,11.0,9.0,0.1,0.0,0.0,442.0,0.0,0.0,208.0,1.0,1.0,0.0,3.3,12180.0,32.4,0.0,2018-01-04T20:00:00Z,04 Jan 20:00,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,41902.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2032.0,2972.0,940.0,48.0,False,0.0,0.0
2,0,0,0,90,DC,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206520,0,0,0,0,0,0.16867785155773163,0.16867785155773163,0.0,46.0,0.0,0.0,0.0,18.0,0.0,15.0,38.0,0.9,0.0,0.0,442.0,0.0,0.0,220.0,0.0,1.0,0.0,3.7,12181.0,31.8,0.0,2018-01-02T19:45:00Z,02 Jan 19:45,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,0.0,41902.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2032.0,2972.0,940.0,48.0,True,0.0,0.0
3,0,0,0,90,DC,West Ham,Newcastle United,2,3,2017-12-23,7300,2017,205362,0.11051006615161896,0,3,0,0,0.43915504217147827,0.3286449909210205,0.0,61.0,0.0,0.0,0.0,18.0,0.0,8.0,49.0,32.0,0.0,0.0,442.0,0.0,0.0,190.0,1.0,3.0,0.0,6.3,10458.0,24.8,3.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,0.0,40736.0,1.0,1.0,0.0,3.0,2.0,6.0,1.0,2376.0,3042.0,666.0,48.0,True,0.0,0.0
4,0,0,0,90,DC,West Ham,Arsenal,0,0,2017-12-13,7286,2017,202755,0,0,0,0,0,0,0,0.0,18.0,0.0,0.0,0.0,20.0,1.0,10.0,11.0,0.1,0.0,0.0,442.0,0.0,0.0,170.0,1.0,0.0,0.0,2.1,9300.0,16.6,0.0,2017-12-13T20:00:00Z,13 Dec 20:00,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,39152.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,402.0,700.0,298.0,48.0,True,0.0,1.0
5,0,0,0,90,DC,West Ham,Chelsea,1,0,2017-12-09,7269,2017,199016,0,0,0,0,0,0.11405710130929947,0.11405710130929947,0.0,22.0,0.0,0.0,0.0,21.0,1.0,13.0,14.0,0.2,0.0,0.0,442.0,0.0,0.0,159.0,1.0,0.0,0.0,2.2,8723.0,20.2,0.0,2017-12-09T12:30:00Z,09 Dec 12:30,0.0,0.0,90.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,38654.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,-1732.0,24.0,1756.0,48.0,True,0.0,1.0
6,0,0,0,79,DC,Everton,West Ham,4,0,2017-11-29,7256,2017,179218,0,0,0,0,0,0,0,0.0,55.0,0.0,0.0,0.0,16.0,0.0,4.0,46.0,0.3,0.0,0.0,442.0,0.0,0.0,138.0,0.0,3.0,0.0,1.6,7578.0,15.8,0.0,2017-11-29T20:00:00Z,29 Nov 20:00,0.0,0.0,76.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,42455.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,-717.0,135.0,852.0,49.0,False,0.0,0.0
7,0,0,0,90,DC,West Ham,Leicester,1,1,2017-11-24,7247,2017,178576,0.1265721470117569,0,1,0,0,0.07156067341566086,0.07156067341566086,0.0,25.0,0.0,0.0,0.0,9.0,0.0,4.0,15.0,10.8,0.0,0.0,442.0,0.0,0.0,129.0,0.0,1.0,0.0,2.4,7008.0,9.0,1.0,2017-11-24T20:00:00Z,24 Nov 20:00,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,43117.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,-711.0,281.0,992.0,49.0,True,0.0,0.0
8,0,1,0.02686736360192299,90,DC,Watford,West Ham,2,0,2017-11-19,7230,2017,178947,0,0,0,0,0.02686736360192299,0,0,0.0,41.0,0.0,0.0,0.0,11.0,0.0,7.0,32.0,0.5,0.0,0.0,442.0,0.0,0.0,119.0,1.0,2.0,0.0,2.2,6439.0,15.8,0.0,2017-11-19T16:00:00Z,19 Nov 16:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,43733.0,0.0,1.0,1.0,0.0,2.0,6.0,1.0,-1362.0,277.0,1639.0,49.0,False,0.0,0.0
9,0,0,0,90,DC,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179478,0,0,0,0,0,0.5484766364097595,0.5484766364097595,0.0,47.0,0.0,0.0,0.0,9.0,0.0,5.0,37.0,0.9,0.0,0.0,442.0,0.0,0.0,109.0,2.0,4.0,0.0,1.7,5873.0,15.8,0.0,2017-11-04T17:30:00Z,04 Nov 17:30,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,44958.0,1.0,1.0,0.0,4.0,1.0,0.0,-1.0,-3961.0,54.0,4015.0,49.0,True,0.0,1.0
