,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,2,0.6802577972412109,39,Sub,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537754,0,0,0,0,0.6802577972412109,0.6103140711784363,0.03264995291829109,0.0,0.0,-1.0,0.0,0.0,700.0,374.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,45.0,14.0,0.0,0.0,0.0,0.0,38.0,0.0,349634.0,2.0,1.0,0.0,1.0,-48159.0,12721.0,60880.0,62.0,True,0.0
1,0,1,0.5317316055297852,18,Sub,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536827,0,0,0,0,0.5317316055297852,0.6581331491470337,0.12640154361724854,0.0,0.0,-1.0,0.0,0.3,700.0,171.0,0.0,0.0,2.3,4.6,2022-05-19T19:00:00Z,19.0,2.0,0.0,0.0,0.0,0.0,37.0,0.0,392325.0,1.0,1.0,18.0,1.0,1545.0,41461.0,39916.0,63.0,False,0.0
2,0,0,0,4,Sub,Tottenham,Burnley,1,0,2022-05-15,16739,2021,536023,0.07969679683446884,0,1,0,0,0,0,0.0,0.0,3.0,0.0,10.3,700.0,367.0,0.0,0.0,1.5,1.0,2022-05-15T11:00:00Z,12.0,17.0,0.0,0.0,0.0,0.0,37.0,0.0,392325.0,0.0,1.0,4.0,1.0,1545.0,41461.0,39916.0,63.0,False,0.0
3,0,3,0.1718965619802475,90,FW,Burnley,Aston Villa,1,3,2022-05-07,16732,2021,534236,0.05551730468869209,0,2,0,0.1718965619802475,0.19532689452171326,0.02991485968232155,0.0,0.0,3.0,0.0,23.3,700.0,354.0,3.0,0.0,4.7,4.0,2022-05-07T14:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,382722.0,3.0,1.0,20.0,2.0,-140172.0,14012.0,154184.0,63.0,True,0.0
4,0,1,0.06020794436335564,61,FW,Watford,Burnley,1,2,2022-04-30,16718,2021,530521,0,0,0,0,0.06020794436335564,0.10883237421512604,0.0486244261264801,0.0,0.0,2.0,0.0,7.1,700.0,348.0,1.0,0.0,2.0,1.2,2022-04-30T14:00:00Z,59.0,18.0,0.0,0.0,0.0,0.0,35.0,0.0,549521.0,2.0,1.0,12.0,1.0,2281.0,49547.0,47266.0,64.0,False,0.0
5,0,5,0.29397162795066833,90,FW,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529303,0.7051103115081787,1,3,0,0.29397162795066833,1.0918173789978027,0.15138551592826843,1.0,0.0,15.0,1.0,32.1,700.0,334.0,0.0,0.0,12.8,29.8,2022-04-24T13:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,34.0,0.0,541222.0,0.0,1.0,66.0,5.0,-61570.0,24381.0,85951.0,64.0,True,0.0
6,0,2,0.8884984254837036,80,FW,Burnley,Southampton,2,0,2022-04-21,16667,2021,528256,0.10690926760435104,0,1,0,0.8884984254837036,0.45019930601119995,0,0.0,0.0,-2.0,1.0,12.7,700.0,292.0,0.0,0.0,5.2,5.4,2022-04-21T18:45:00Z,77.0,16.0,0.0,0.0,0.0,0.0,33.0,0.0,578563.0,0.0,2.0,34.0,2.0,-48853.0,20980.0,69833.0,64.0,True,0.0
7,1,1,0.691409707069397,90,FW,West Ham,Burnley,1,1,2022-04-17,16697,2021,526994,0.09967391192913055,0,1,1,0.691409707069397,0.09967391192913055,0,0.0,3.0,30.0,0.0,14.3,700.0,329.0,1.0,1.0,9.7,42.0,2022-04-17T13:15:00Z,90.0,19.0,0.0,0.0,0.0,0.0,33.0,0.0,578563.0,1.0,1.0,41.0,8.0,-48853.0,20980.0,69833.0,64.0,False,1.0
8,0,1,0.06476408243179321,58,FW,Norwich,Burnley,2,0,2022-04-10,16688,2021,525263,0,0,0,0,0.06476408243179321,0.06476408243179321,0,0.0,0.0,3.0,0.0,1.1,700.0,318.0,1.0,0.0,2.9,5.8,2022-04-10T13:00:00Z,55.0,15.0,0.0,0.0,0.0,0.0,32.0,0.0,654755.0,0.0,2.0,22.0,1.0,-2770.0,46103.0,48873.0,64.0,False,0.0
9,0,1,0.017808496952056885,83,FW,Burnley,Everton,3,2,2022-04-06,16558,2021,524137,0.051898304373025894,0,1,0,0.017808496952056885,0.08875437825918198,0.0190475732088089,0.0,0.0,4.0,0.0,11.3,700.0,183.0,2.0,0.0,2.0,1.6,2022-04-06T18:30:00Z,79.0,8.0,0.0,0.0,0.0,0.0,31.0,0.0,659713.0,2.0,3.0,7.0,2.0,267720.0,290995.0,23275.0,64.0,True,0.0
