,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,3,Sub,West Ham,Everton,3,1,2018-05-13,7489,2017,240143,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.3,1.0,0.0,147.0,0.0,0.0,380.0,1.0,0.0,0.0,0.1,21968.0,0.4,0.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,7.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,12099.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,-391.0,172.0,563.0,64.0,False,0.0,0.0
1,0,1,0.052772216498851776,47,AMR,Everton,Southampton,1,1,2018-05-05,7486,2017,237741,0,0,0,0,0.052772216498851776,0.052772216498851776,0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,4.3,0.0,0.0,147.0,0.0,0.0,365.0,0.0,0.0,0.0,2.8,21012.0,6.8,0.0,2018-05-05T16:30:00Z,05 May 17:30,0.0,0.0,45.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,0.0,12386.0,4.0,0.0,0.0,1.0,1.0,17.0,1.0,-1425.0,87.0,1512.0,64.0,True,0.0,0.0
2,0,1,0.08193203061819077,59,FWL,Everton,Newcastle United,1,0,2018-04-23,7461,2017,235331,0,0,0,0,0.08193203061819077,0.18878525495529175,0.10685322433710098,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,10.1,1.0,0.0,147.0,0.0,0.0,345.0,1.0,0.0,0.0,3.2,19833.0,3.6,0.0,2018-04-23T19:00:00Z,23 Apr 20:00,0.0,0.0,58.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,0.0,15487.0,3.0,0.0,0.0,0.0,1.0,18.0,1.0,1633.0,2205.0,572.0,64.0,True,0.0,0.0
3,0,3,0.11241590976715088,78,AML,Swansea,Everton,1,1,2018-04-14,7456,2017,232115,0.03288096562027931,0,1,0,0.11241590976715088,0.1452968716621399,0.03288096562027931,0.0,26.0,0.0,0.0,0.0,5.0,0.0,1.0,14.0,12.4,1.0,0.0,147.0,0.0,0.0,338.0,0.0,1.0,0.0,6.8,19103.0,11.8,1.0,2018-04-14T14:00:00Z,14 Apr 15:00,0.0,0.0,75.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,34.0,0.0,12635.0,7.0,1.0,0.0,1.0,1.0,44.0,2.0,-122.0,1018.0,1140.0,64.0,False,0.0,0.0
4,0,1,0.018677102401852608,61,FWL,Everton,Liverpool,0,0,2018-04-07,7443,2017,230356,0,0,0,0,0.018677102401852608,0.018677102401852608,0,0.0,17.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,5.3,0.0,0.0,147.0,0.0,0.0,325.0,1.0,0.0,0.0,1.6,18379.0,4.0,0.0,2018-04-07T11:30:00Z,07 Apr 12:30,0.0,0.0,60.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,33.0,0.0,12781.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,557.0,1397.0,840.0,64.0,True,0.0,0.0
5,1,2,0.3838111460208893,90,AML,Everton,Manchester City,1,3,2018-03-31,7433,2017,227089,0,0,0,1,0.3838111460208893,0.3838111460208893,0,0.0,6.0,0.0,1.0,0.0,19.0,0.0,4.0,5.0,1.8,0.0,0.0,147.0,0.0,0.0,315.0,3.0,3.0,1.0,5.1,17742.0,36.4,0.0,2018-03-31T16:30:00Z,31 Mar 17:30,0.0,0.0,90.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,11984.0,1.0,1.0,1.0,3.0,1.0,13.0,7.0,-3025.0,224.0,3249.0,64.0,True,0.0,0.0
6,0,4,0.7049839496612549,90,AML,Stoke,Everton,1,2,2018-03-17,7425,2017,224006,0.23115324974060059,0,2,0,0.7049839496612549,0.8240826725959778,0.4602471888065338,0.0,15.0,1.0,1.0,0.0,8.0,0.0,0.0,7.0,29.3,2.0,0.0,147.0,0.0,0.0,307.0,1.0,1.0,0.0,8.5,17392.0,7.6,2.0,2018-03-17T15:00:00Z,17 Mar 15:00,0.0,0.0,90.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,33510.0,2.0,0.0,2.0,2.0,1.0,48.0,2.0,6241.0,6803.0,562.0,64.0,False,0.0,0.0
7,0,4,0.5489263534545898,79,FWL,Everton,Brighton,2,0,2018-03-10,7412,2017,222355,0,0,0,0,0.5489263534545898,0.09796455502510071,0,1.0,20.0,0.0,1.0,0.0,17.0,1.0,1.0,10.0,5.6,2.0,0.0,147.0,0.0,0.0,294.0,0.0,0.0,0.0,3.4,16841.0,1.6,0.0,2018-03-10T15:00:00Z,10 Mar 15:00,0.0,0.0,77.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,0.0,8451.0,0.0,2.0,4.0,0.0,2.0,27.0,6.0,-70.0,189.0,259.0,64.0,True,0.0,0.0
8,0,0,0,5,Sub,Burnley,Everton,2,1,2018-03-03,7400,2017,220713,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,16208.0,0.0,0.0,2018-03-03T12:30:00Z,03 Mar 12:30,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,8275.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-205.0,111.0,316.0,64.0,False,0.0,0.0
9,0,0,0,7,Sub,Watford,Everton,1,0,2018-02-24,7392,2017,219342,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.1,0.0,0.0,147.0,0.0,0.0,279.0,0.0,0.0,0.0,1.4,15578.0,2.0,1.0,2018-02-24T17:30:00Z,24 Feb 17:30,0.0,0.0,8.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,8358.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,-350.0,251.0,601.0,64.0,False,0.0,0.0
