,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,79,DC,Everton,Chelsea,0,1,2022-08-06,18208,2022,539609,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.2,188.0,3.0,1.0,0.0,1.2,11.8,2022-08-06T16:30:00Z,69.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,17595.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,17,DC,Leicester,Everton,1,2,2022-05-08,16729,2021,533440,0,0,0,0,0,0.49708688259124756,0.49708688259124756,0.0,0.0,2.0,0.0,0.0,175.0,357.0,1.0,0.0,0.5,5.2,2022-05-08T13:00:00Z,17.0,9.0,0.0,0.0,0.0,0.0,36.0,0.0,33184.0,2.0,1.0,0.0,1.0,8049.0,8350.0,301.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DC,Everton,Chelsea,1,0,2022-05-01,16724,2021,531045,0.025555642321705818,0,1,0,0,0.025555642321705818,0,0.0,0.0,23.0,1.0,10.1,175.0,342.0,0.0,0.0,3.3,21.0,2022-05-01T13:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,35.0,0.0,23723.0,0.0,1.0,2.0,6.0,165.0,305.0,140.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.0367463082075119,90,DC,Everton,Leicester,1,1,2022-04-20,16547,2021,527860,0,0,0,0,0.0367463082075119,0.0367463082075119,0,0.0,0.0,11.0,0.0,4.3,175.0,172.0,1.0,0.0,4.8,24.6,2022-04-20T18:45:00Z,90.0,9.0,0.0,0.0,0.0,0.0,33.0,0.0,23294.0,1.0,1.0,19.0,1.0,-95.0,39.0,134.0,49.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.0803871676325798,34,DC,Newcastle United,Everton,3,1,2022-02-08,16612,2021,512077,0,0,0,0,0.0803871676325798,0,0,0.0,0.0,-1.0,0.0,0.3,175.0,239.0,0.0,0.0,0.2,0.0,2022-02-08T19:45:00Z,34.0,14.0,0.0,0.0,0.0,0.0,24.0,0.0,26796.0,1.0,3.0,4.0,1.0,2162.0,2580.0,418.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,0.0765954777598381,90,DC,Everton,Aston Villa,0,1,2022-01-22,16600,2021,509459,0,0,0,0,0.0765954777598381,0.08239103108644485,0.04680502414703369,0.0,0.0,14.0,0.0,1.6,175.0,225.0,1.0,0.0,1.8,6.6,2022-01-22T12:30:00Z,90.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,24061.0,1.0,0.0,10.0,1.0,229.0,364.0,135.0,49.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,35,Sub,Norwich,Everton,2,1,2022-01-15,16592,2021,508135,0,0,0,0,0,0.1117921695113182,0.1117921695113182,0.0,0.0,9.0,0.0,0.3,175.0,217.0,0.0,0.0,1.4,10.0,2022-01-15T15:00:00Z,36.0,15.0,0.0,0.0,0.0,0.0,22.0,0.0,23660.0,1.0,2.0,4.0,1.0,-295.0,37.0,332.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,30,DC,Everton,Arsenal,2,1,2021-12-06,16517,2021,501139,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.2,175.0,142.0,0.0,0.0,0.1,0.6,2021-12-06T20:00:00Z,30.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,25811.0,1.0,2.0,0.0,1.0,-652.0,25.0,677.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.021424854174256325,90,DC,Manchester United,Everton,1,1,2021-10-02,16442,2021,486206,0,0,0,0,0.021424854174256325,0.02405400387942791,0.02405400387942791,0.0,0.0,12.0,0.0,0.3,175.0,67.0,1.0,0.0,1.8,13.6,2021-10-02T11:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,39316.0,1.0,1.0,4.0,2.0,-2044.0,2213.0,4257.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Everton,Norwich,2,0,2021-09-25,16428,2021,484701,0,0,0,0,0,0.06619410961866379,0.06619410961866379,0.0,0.0,26.0,1.0,0.4,175.0,55.0,0.0,0.0,2.2,21.6,2021-09-25T14:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,41077.0,0.0,2.0,0.0,6.0,3065.0,6813.0,3748.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Aston Villa,Everton,3,0,2021-09-18,16422,2021,482374,0,0,0,0,0,0,0,0.0,0.0,13.0,0.0,0.3,175.0,41.0,3.0,0.0,2.0,18.0,2021-09-18T16:30:00Z,90.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,35909.0,0.0,3.0,2.0,1.0,-544.0,2435.0,2979.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.021611135452985764,90,DC,Everton,Burnley,3,1,2021-09-13,16415,2021,481573,0,0,0,0,0.021611135452985764,0.06533878296613693,0.06533878296613693,0.0,0.0,9.0,0.0,0.3,175.0,35.0,1.0,0.0,3.4,17.0,2021-09-13T19:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,34258.0,1.0,3.0,17.0,2.0,-12095.0,1001.0,13096.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,DC,Leeds,Everton,2,2,2021-08-21,16390,2021,476999,0,0,0,0,0,0.057307884097099304,0.057307884097099304,0.0,0.0,9.0,0.0,0.1,175.0,14.0,2.0,0.0,2.9,24.6,2021-08-21T14:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,47667.0,2.0,2.0,4.0,0.0,-4045.0,2259.0,6304.0,50.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,6,Sub,Everton,Southampton,3,1,2021-08-14,16380,2021,475510,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,175.0,4.0,0.0,0.0,0.2,2.0,2021-08-14T14:00:00Z,7.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,41893.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,50.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
14,0,2,0.035647109150886536,90,DC,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472489,0,0,0,0,0.035647109150886536,0.17367756366729736,0.17367756366729736,0.0,1.0,27.0,1.0,1.2,162.0,363.0,0.0,0.0,3.0,20.8,2021-05-19T17:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,37.0,0.0,137933.0,0.0,1.0,8.0,7.0,-1880.0,99.0,1979.0,55.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.11938131600618362,64,DC,West Ham,Everton,0,1,2021-05-09,14783,2020,469525,0,0,0,0,0.11938131600618362,0,0,0.0,1.0,26.0,1.0,0.0,162.0,347.0,0.0,0.0,2.4,19.6,2021-05-09T15:30:00Z,61.0,19.0,0.0,0.0,0.0,0.0,35.0,0.0,140150.0,1.0,0.0,4.0,7.0,718.0,1792.0,1074.0,55.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,1,Sub,Arsenal,Everton,0,1,2021-04-23,14755,2020,465058,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,162.0,319.0,0.0,0.0,0.4,4.0,2021-04-23T19:00:00Z,1.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,139172.0,1.0,0.0,0.0,1.0,-850.0,752.0,1602.0,55.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
